frame,t,norm,peak_density,Fz,pop_c1,pop_c2,pop_c3,pop_c4,pop_c5,pop_c6,pop_c7,pop_c8,pop_c9,pop_c10,pop_c11,pop_c12,pop_c13
20,5.000000e-01,9.998572e-01,1.042631e-02,5.981762e+00,9.829539e-01,1.671397e-02,3.268959e-04,5.141372e-06,6.214407e-08,5.729499e-10,4.015081e-12,2.121309e-14,8.309817e-17,2.337466e-19,4.493956e-22,1.529912e-24,4.675819e-25
21,5.200000e-01,9.998501e-01,1.033025e-02,5.980119e+00,9.814170e-01,1.818782e-02,3.883735e-04,6.676041e-06,8.823150e-08,8.895060e-10,6.814943e-12,3.935239e-14,1.684180e-16,5.176733e-19,1.086490e-21,2.306922e-24,4.386723e-25
22,5.400000e-01,9.998431e-01,1.023066e-02,5.978430e+00,9.798419e-01,1.969255e-02,4.568705e-04,8.540969e-06,1.228078e-07,1.347050e-09,1.122674e-11,7.049834e-14,3.279717e-16,1.095752e-18,2.497343e-21,4.213646e-24,4.203919e-25
23,5.600000e-01,9.998363e-01,1.012781e-02,5.976698e+00,9.782316e-01,2.122482e-02,5.326448e-04,1.078041e-05,1.678771e-07,1.994344e-09,1.799869e-11,1.223466e-13,6.158748e-16,2.225921e-18,5.483119e-21,8.661928e-24,4.151677e-25
24,5.800000e-01,9.998295e-01,1.002201e-02,5.974926e+00,9.765888e-01,2.278155e-02,6.159294e-04,1.344065e-05,2.257392e-07,2.892366e-09,2.814801e-11,2.062542e-13,1.118708e-15,4.355128e-18,1.154563e-20,1.855776e-23,4.258340e-25
25,6.000000e-01,9.998227e-01,9.913658e-03,5.973116e+00,9.749163e-01,2.435989e-02,7.069333e-04,1.656980e-05,2.990031e-07,4.116188e-09,4.303028e-11,3.385780e-13,1.971078e-15,8.232677e-18,2.339712e-20,3.960663e-23,4.558757e-25
26,6.200000e-01,9.998161e-01,9.803220e-03,5.971270e+00,9.732164e-01,2.595719e-02,8.058426e-04,2.021749e-05,3.905991e-07,5.756930e-09,6.441934e-11,5.423576e-13,3.376828e-15,1.507726e-17,4.577075e-20,8.255651e-23,5.100194e-25
27,6.400000e-01,9.998095e-01,9.691283e-03,5.969391e+00,9.714912e-01,2.757106e-02,9.128218e-04,2.443468e-05,5.037866e-07,7.923743e-09,9.459761e-11,8.493871e-13,5.637267e-15,2.681643e-17,8.666903e-20,1.668972e-22,5.995874e-25
28,6.600000e-01,9.998030e-01,9.578536e-03,5.967479e+00,9.697428e-01,2.919931e-02,1.028014e-03,2.927340e-05,6.421609e-07,1.074583e-08,1.364571e-10,1.302722e-12,9.187955e-15,4.642126e-17,1.592317e-19,3.267776e-22,7.524731e-25
29,6.800000e-01,9.997966e-01,9.465767e-03,5.965536e+00,9.679729e-01,3.083996e-02,1.151544e-03,3.478648e-05,8.096564e-07,1.437444e-08,1.936104e-10,1.959664e-12,1.464566e-14,7.836333e-17,2.844562e-19,6.201677e-22,1.029600e-24
30,7.000000e-01,9.997903e-01,9.353835e-03,5.963563e+00,9.661832e-01,3.249123e-02,1.283518e-03,4.102738e-05,1.010547e-06,1.898484e-08,2.705112e-10,2.895248e-12,2.286720e-14,1.292252e-16,4.950623e-19,1.142698e-21,1.550284e-24
31,7.200000e-01,9.997840e-01,9.243646e-03,5.961563e+00,9.643751e-01,3.415155e-02,1.424024e-03,4.804990e-05,1.249444e-06,2.477822e-08,3.725839e-10,4.206283e-12,3.502200e-14,2.084999e-16,8.408573e-19,2.047953e-21,2.528783e-24
