q	B_gauss	seed	E	grad	conv	stop	fz	fperp	fz2	Lz	Sz	Jz	n_pop	pr	m_peak	p_peak
0.05	0.0622030397	transverse	13.2253734254	8.542e-07	true	tol	1.2683886e-14	5.9533993	2.7243701	7.1545279e-19	1.2786213e-14	1.2786929e-14	5	5.8866	0	0.248441
0.05	0.0622030397	polar	20.0970171397	6.072e-07	true	tol	0	0	0	4.9688768e-16	0	4.9688768e-16	1	1	0	1
0.05	0.0622030397	flower	14.4949503215	8.053e-07	true	tol	-1.6617206e-08	5.8903862	2.3188954	1.9725677e-08	-1.6617206e-08	3.1084706e-09	5	5.374	0	0.279783
0.09463494676	0.08557607767	transverse	13.3426295108	7.854e-07	true	tol	-7.327525e-15	5.9468524	2.5365788	2.907278e-19	-7.4006556e-15	-7.4003649e-15	5	5.6675	0	0.258916
0.09463494676	0.08557607767	polar	20.0970171397	6.072e-07	true	tol	0	0	0	4.9688768e-16	0	4.9688768e-16	1	1	0	1
0.09463494676	0.08557607767	flower	14.5948490404	9.256e-07	true	tol	4.4674442e-09	5.8803828	2.1629161	-1.7090485e-10	4.4674442e-09	4.2965393e-09	5	5.1805	0	0.290454
0.179115463	0.117731627	transverse	13.544912039	8.297e-07	true	tol	2.5277393e-17	5.9297828	2.2669687	-2.368872e-18	1.2170169e-16	1.1933282e-16	5	5.3366	0	0.276381
0.179115463	0.117731627	polar	20.0970171397	6.072e-07	true	tol	0	0	0	4.9688768e-16	0	4.9688768e-16	1	1	0	1
0.179115463	0.117731627	flower	14.7675221662	9.962e-07	true	tol	-4.8712256e-08	5.8575823	1.9368997	4.9487159e-08	-4.8712256e-08	7.7490325e-10	5	4.8843	0	0.308417
0.339011646	0.1619697511	transverse	13.8776965874	9.839e-07	true	tol	-2.9450734e-18	5.8895075	1.9212883	-2.7528044e-20	-2.6834004e-18	-2.7109284e-18	5	4.88	0	0.30411
0.339011646	0.1619697511	polar	20.0970171397	6.072e-07	true	tol	0	0	0	4.9688768e-16	0	4.9688768e-16	1	1	0	1
0.339011646	0.1619697511	flower	15.0521125332	8.508e-07	true	tol	2.0490086e-08	5.8064921	1.6440908	-2.0685635e-08	2.0490086e-08	-1.9554973e-10	5	4.4692	0	0.337279
0.6416469814	0.2228305251	transverse	14.3942073631	9.361e-07	true	tol	5.9597283e-18	5.8027447	1.529534	5.6695319e-19	-1.1248598e-18	-5.5790656e-19	5	4.3087	0	0.345975
0.6416469814	0.2228305251	polar	20.0970171397	6.072e-07	true	tol	0	0	0	4.9688768e-16	0	4.9688768e-16	1	1	0	1
