atom	q	B_gauss	mode	mult	omega	omega_hz	over_q	resid_vs_qm2
151Eu	0.001	0.008796838237	1	2	0.006136195284	0.6749814812	6.1361953	0.0021362
151Eu	0.001	0.008796838237	2	2	0.006954545455	0.765	6.9545455	-0.00204545
151Eu	0.001	0.008796838237	3	2	0.01236363636	1.36	12.363636	0.00336364
151Eu	0.001	0.008796838237	4	2	0.01931818182	2.125	19.318182	0.00331818
151Eu	0.001	0.008796838237	5	2	0.02781818182	3.06	27.818182	0.00281818
151Eu	0.001	0.008796838237	6	2	6.814301527	749.5731679	6814.3015	6.7783
151Eu	0.01	0.02781804504	1	2	0.0433989755	4.773887305	4.3398975	0.00339898
151Eu	0.01	0.02781804504	2	2	0.08795454545	9.675	8.7954545	-0.00204545
151Eu	0.01	0.02781804504	3	2	0.1563636364	17.2	15.636364	-0.00363636
151Eu	0.01	0.02781804504	4	2	0.2443181818	26.875	24.431818	-0.00568182
151Eu	0.01	0.02781804504	5	2	0.3518181818	38.7	35.181818	-0.00818182
151Eu	0.01	0.02781804504	6	2	6.823330784	750.5663863	682.33308	6.46333
151Eu	0.1	0.08796838237	1	2	0.403610769	44.3971846	4.0361077	0.00361077
151Eu	0.1	0.08796838237	2	2	0.8979545455	98.775	8.9795455	-0.00204545
151Eu	0.1	0.08796838237	3	2	1.596363636	175.6	15.963636	-0.00363636
151Eu	0.1	0.08796838237	4	2	2.494318182	274.375	24.943182	-0.00568182
151Eu	0.1	0.08796838237	5	2	3.591818182	395.1	35.918182	-0.00818182
151Eu	0.1	0.08796838237	6	2	6.913619163	760.4981079	69.136192	3.31362
151Eu	1	0.2781804504	1	2	4.003633783	440.3997162	4.0036338	0.00363378
151Eu	1	0.2781804504	2	2	7.816137109	859.775082	7.8161371	-1.18386
151Eu	1	0.2781804504	3	2	8.997954545	989.775	8.9979545	-0.00204545
151Eu	1	0.2781804504	4	2	15.99636364	1759.6	15.996364	-0.00363636
151Eu	1	0.2781804504	5	2	24.99431818	2749.375	24.994318	-0.00568182
151Eu	1	0.2781804504	6	2	35.99181818	3959.1	35.991818	-0.00818182
151Eu	10	0.8796838237	1	2	16.82648784	1850.913663	1.6826488	6.82649
151Eu	10	0.8796838237	2	2	40.00363611	4400.399972	4.0003636	0.00363611
151Eu	10	0.8796838237	3	2	89.99795455	9899.775	8.9997955	-0.00204545
151Eu	10	0.8796838237	4	2	159.9963636	17599.6	15.999636	-0.00363636
151Eu	10	0.8796838237	5	2	249.9943182	27499.375	24.999432	-0.00568182
151Eu	10	0.8796838237	6	2	359.9918182	39599.1	35.999182	-0.00818182
153Eu	0.001	0.005827485228	1	2	0.006136195284	0.6749814812	6.1361953	0.0021362
153Eu	0.001	0.005827485228	2	2	0.006954545455	0.765	6.9545455	-0.00204545
153Eu	0.001	0.005827485228	3	2	0.01236363636	1.36	12.363636	0.00336364
153Eu	0.001	0.005827485228	4	2	0.01931818182	2.125	19.318182	0.00331818
153Eu	0.001	0.005827485228	5	2	0.02781818182	3.06	27.818182	0.00281818
153Eu	0.001	0.005827485228	6	2	6.850654408	753.5719849	6850.6544	6.81465
153Eu	0.01	0.01842812635	1	2	0.0433989755	4.773887305	4.3398975	0.00339898
153Eu	0.01	0.01842812635	2	2	0.08795454545	9.675	8.7954545	-0.00204545
153Eu	0.01	0.01842812635	3	2	0.1563636364	17.2	15.636364	-0.00363636
153Eu	0.01	0.01842812635	4	2	0.2443181818	26.875	24.431818	-0.00568182
153Eu	0.01	0.01842812635	5	2	0.3518181818	38.7	35.181818	-0.00818182
153Eu	0.01	0.01842812635	6	2	6.859695085	754.5664594	685.96951	6.4997
153Eu	0.1	0.05827485228	1	2	0.403610769	44.3971846	4.0361077	0.00361077
153Eu	0.1	0.05827485228	2	2	0.8979545455	98.775	8.9795455	-0.00204545
153Eu	0.1	0.05827485228	3	2	1.596363636	175.6	15.963636	-0.00363636
153Eu	0.1	0.05827485228	4	2	2.494318182	274.375	24.943182	-0.00568182
153Eu	0.1	0.05827485228	5	2	3.591818182	395.1	35.918182	-0.00818182
153Eu	0.1	0.05827485228	6	2	6.950096049	764.5105653	69.50096	3.3501
153Eu	1	0.1842812635	1	2	4.003633783	440.3997162	4.0036338	0.00363378
153Eu	1	0.1842812635	2	2	7.853599128	863.8959041	7.8535991	-1.1464
153Eu	1	0.1842812635	3	2	8.997954545	989.775	8.9979545	-0.00204545
153Eu	1	0.1842812635	4	2	15.99636364	1759.6	15.996364	-0.00363636
153Eu	1	0.1842812635	5	2	24.99431818	2749.375	24.994318	-0.00568182
153Eu	1	0.1842812635	6	2	35.99181818	3959.1	35.991818	-0.00818182
153Eu	10	0.5827485228	1	2	16.8680426	1855.484686	1.6868043	6.86804
153Eu	10	0.5827485228	2	2	40.00363611	4400.399972	4.0003636	0.00363611
153Eu	10	0.5827485228	3	2	89.99795455	9899.775	8.9997955	-0.00204545
153Eu	10	0.5827485228	4	2	159.9963636	17599.6	15.999636	-0.00363636
153Eu	10	0.5827485228	5	2	249.9943182	27499.375	24.999432	-0.00568182
153Eu	10	0.5827485228	6	2	359.9918182	39599.1	35.999182	-0.00818182
