t_ms,N_K3_0,N_K3_1e40,E_K3_0,E_K3_1e40,Fz_K3_0,Fz_K3_1e40,B_uG
1.808578856353111,1.0000000000001736,0.9888914596793353,-846.6147862475711,-837.2622781404533,-5.999983732025618,-5.999983844264382,9674.45580585644
3.617157712706191,1.0000000000003435,0.9778888351592642,-817.7153031020728,-799.7382114922085,-5.999982524956145,-5.99998276587044,9348.911611712887
5.4257365690592705,1.0000000000005087,0.9671927812956512,-788.8158257809571,-763.0891993998567,-5.999981202190418,-5.999981634976899,9023.36741756933
7.23431542541235,1.0000000000006728,0.9566266201631082,-759.9163549491352,-727.1562347441995,-5.9999797565463995,-5.9999802905872395,8697.823223425776
9.04289428176543,1.0000000000008418,0.9463646441566376,-731.0168913466225,-692.0537771968089,-5.999978169139213,-5.999979095884574,8372.279029282223
10.851473138118509,1.0000000000010212,0.936191553968109,-702.11743580705,-657.6062352120531,-5.999976327214827,-5.9999773058892005,8046.734835138668
12.660051994471779,1.0000000000012115,0.9263075453839147,-673.2179893619207,-623.9389184869141,-5.999974240431959,-5.99997573774383,7721.190640995079
14.46863085082518,1.000000000001396,0.9165449977589647,-644.3185533858564,-590.9203432166865,-5.999972306530944,-5.9999739760000095,7395.646446851467
16.27720970717858,1.0000000000015574,0.9070210872628306,-615.4191289170351,-558.6109199826274,-5.999969428201054,-5.999971597292666,7070.102252707855
18.08578856353198,1.0000000000017384,0.897610741775745,-586.5197179200534,-526.9177893505699,-5.999966452379604,-5.999968794474225,6744.558058564244
19.894367419885384,1.0000000000019298,0.8884466800525412,-557.620322420371,-495.90400365542797,-5.999963202533663,-5.999966429524477,6419.013864420632
21.702946276238784,1.0000000000021123,0.8793919897343934,-528.7209446980452,-465.47695753993054,-5.999958963858477,-5.999962259278871,6093.46967027702
23.511525132592055,1.0000000000022833,0.8705374850637301,-499.82158795429456,-435.67175407868035,-5.999954429865657,-5.9999588561028,5767.9254761334305
