nu_Hz,n0_initial_m3,N0_final,survival_fraction
200.0,9.579776477414328e20,489.073366783876,0.00489073366783876
143.0,6.405051500279944e20,1308.0591655788303,0.013080591655788303
100.0,4.1698399043320014e20,3622.76278359083,0.0362276278359083
70.0,2.7179222510144664e20,9373.10287009314,0.0937310287009314
45.0,1.599463734881122e20,25430.33745315777,0.2543033745315777
30.0,9.832521093746636e19,48429.577836089426,0.48429577836089427
20.0,6.044430326903163e19,69939.45252890346,0.6993945252890347
