nu_Hz,hold_s,value
10.0,0.1,0.9870791742522099
10.0,0.2,0.9743889432221347
10.0,0.3,0.9619237376228948
10.0,0.4,0.9496781606404758
10.0,0.5,0.9376469814085999
10.0,0.6,0.9258251287748168
10.0,0.7,0.9142076853428037
10.0,0.8,0.9027898817770083
10.0,0.9,0.8915670913560153
10.0,1.0,0.8805348247624825
10.0,1.1,0.8696887250975291
10.0,1.2,0.8590245631086765
10.0,1.3,0.8485382326206655
10.0,1.4,0.8382257461592731
10.0,1.5,0.8280832307587852
10.0,1.6,0.8181069239442056
10.0,1.7,0.8082931698798032
10.0,1.8,0.7986384156761679
10.0,1.9,0.7891392078481246
10.0,2.0,0.7797921889165499
10.0,2.1,0.7705940941472573
10.0,2.2,0.7615417484206628
10.0,2.3,0.7526320632261252
10.0,2.4,0.743862033775322
10.0,2.5,0.7352287362291375
10.0,2.6,0.726729325033034
10.0,2.7,0.7183610303559078
10.0,2.8,0.710121155627918
10.0,2.9,0.7020070751727598
10.0,3.0,0.6940162319303449
16.153846153846153,0.1,0.9737552976906103
16.153846153846153,0.2,0.9485936509474778
16.153846153846153,0.3,0.9244526402411509
16.153846153846153,0.4,0.9012744524123972
16.153846153846153,0.5,0.8790054684980252
16.153846153846153,0.6,0.8575958946946974
16.153846153846153,0.7,0.8369994313121338
16.153846153846153,0.8,0.8171729752548935
16.153846153846153,0.9,0.7980763521581566
16.153846153846153,1.0,0.7796720748044643
16.153846153846153,1.1,0.7619251248779236
16.153846153846153,1.2,0.7448027554818012
16.153846153846153,1.3,0.7282743121635402
16.153846153846153,1.4,0.7123110704659289
16.153846153846153,1.5,0.6968860882609625
16.153846153846153,1.6,0.6819740713290903
16.153846153846153,1.7,0.6675512508259105
16.153846153846153,1.8,0.6535952714344851
16.153846153846153,1.9,0.6400850891377803
16.153846153846153,2.0,0.6270008776649372
16.153846153846153,2.1,0.6143239427695666
16.153846153846153,2.2,0.6020366435899583
16.153846153846153,2.3,0.5901223204217493
16.153846153846153,2.4,0.5785652283046445
16.153846153846153,2.5,0.5673504758875297
16.153846153846153,2.6,0.556463969091723
16.153846153846153,2.7,0.5458923591411828
16.153846153846153,2.8,0.5356229945720958
16.153846153846153,2.9,0.5256438768728238
16.153846153846153,3.0,0.5159436194396797
22.307692307692307,0.1,0.9516929772199484
22.307692307692307,0.2,0.9072015312877101
22.307692307692307,0.3,0.866107739028284
22.307692307692307,0.4,0.828051492823171
22.307692307692307,0.5,0.7927209387538081
22.307692307692307,0.6,0.7598447391331037
22.307692307692307,0.7,0.7291857677014479
22.307692307692307,0.8,0.7005359387040665
22.307692307692307,0.9,0.6737119399776994
22.307692307692307,1.0,0.6485516917524459
22.307692307692307,1.1,0.624911391822029
22.307692307692307,1.2,0.6026630373916614
22.307692307692307,1.3,0.5816923366707119
22.307692307692307,1.4,0.5618969408723876
22.307692307692307,1.5,0.5431849409805586
22.307692307692307,1.6,0.525473584379439
22.307692307692307,1.7,0.5086881749080797
22.307692307692307,1.8,0.4927611266185042
22.307692307692307,1.9,0.47763114687556846
22.307692307692307,2.0,0.4632425287355863
22.307692307692307,2.1,0.44954453600714434
22.307692307692307,2.2,0.43649086720633956
22.307692307692307,2.3,0.4240391869052553
22.307692307692307,2.4,0.4121507148423286
22.307692307692307,2.5,0.40078986469891736
22.307692307692307,2.6,0.3899239257128069
22.307692307692307,2.7,0.3795227813477286
22.307692307692307,2.8,0.3695586601093856
22.307692307692307,2.9,0.3600059143250772
22.307692307692307,3.0,0.3508408233124063
28.46153846153846,0.1,0.9207785096452998
28.46153846153846,0.2,0.8518334765059917
28.46153846153846,0.3,0.7913503173288334
28.46153846153846,0.4,0.7379114826706378
28.46153846153846,0.5,0.6903944454806299
28.46153846153846,0.6,0.6478994283738677
28.46153846153846,0.7,0.6096972629161028
28.46153846153846,0.8,0.5751911544907161
28.46153846153846,0.9,0.5438882276978819
28.46153846153846,1.0,0.5153780647823316
28.46153846153846,1.1,0.48931631930312547
28.46153846153846,1.2,0.46541206384590245
28.46153846153846,1.3,0.4434179196549465
28.46153846153846,1.4,0.42312228290034737
28.46153846153846,1.5,0.4043431480496723
28.46153846153846,1.6,0.3869231599156062
28.46153846153846,1.7,0.3707256196683581
28.46153846153846,1.8,0.35563123789272927
28.46153846153846,1.9,0.34153547735108536
28.46153846153846,2.0,0.3283463647516002
28.46153846153846,2.1,0.3159826781574129
28.46153846153846,2.2,0.3043724372530858
28.46153846153846,2.3,0.2934516393120863
28.46153846153846,2.4,0.2831631956700145
28.46153846153846,2.5,0.27345603273268454
28.46153846153846,2.6,0.26428432871288765
28.46153846153846,2.7,0.25560686289216433
28.46153846153846,2.8,0.24738645861309538
28.46153846153846,2.9,0.23958950469864518
28.46153846153846,3.0,0.23218554277513706
34.61538461538461,0.1,0.881686745703268
34.61538461538461,0.2,0.7859195455221702
34.61538461538461,0.3,0.7069886412184899
34.61538461538461,0.4,0.6409373157250795
34.61538461538461,0.5,0.5849420380187819
34.61538461538461,0.6,0.5369370083097892
34.61538461538461,0.7,0.49537797273317585
34.61538461538461,0.8,0.4590887486492992
34.61538461538461,0.9,0.42715864942392406
34.61538461538461,1.0,0.39887221689064006
34.61538461538461,1.1,0.3736600257396809
34.61538461538461,1.2,0.3510635664853744
34.61538461538461,1.3,0.33070973882551696
34.61538461538461,1.4,0.31229203302376574
34.61538461538461,1.5,0.29555644733650865
34.61538461538461,1.6,0.28029081262680816
34.61538461538461,1.7,0.26631660373120547
34.61538461538461,1.8,0.2534825898924759
34.61538461538461,1.9,0.24165986185106925
34.61538461538461,2.0,0.23073790103857
34.61538461538461,2.1,0.2206214458221239
34.61538461538461,2.2,0.21122797325193257
34.61538461538461,2.3,0.20248566037976654
34.61538461538461,2.4,0.19433172236264795
34.61538461538461,2.5,0.18671104891099893
34.61538461538461,2.6,0.1795750787016162
34.61538461538461,2.7,0.17288086490135138
34.61538461538461,2.8,0.16659029516601206
34.61538461538461,2.9,0.16066943726346516
34.61538461538461,3.0,0.1550879874466248
40.76923076923077,0.1,0.8357157149234702
40.76923076923077,0.2,0.7137794268400748
40.76923076923077,0.3,0.6200646669569453
40.76923076923077,0.4,0.5460304978009078
40.76923076923077,0.5,0.4862264006344884
40.76923076923077,0.6,0.4370197304365476
40.76923076923077,0.7,0.39590148081663007
40.76923076923077,0.8,0.3610862066995571
40.76923076923077,0.9,0.3312707247231339
40.76923076923077,1.0,0.30548287061747526
40.76923076923077,1.1,0.2829835278172028
40.76923076923077,1.2,0.26320132614745323
40.76923076923077,1.3,0.24568801512766905
40.76923076923077,1.4,0.2300872861582835
40.76923076923077,1.5,0.21611255908236
40.76923076923077,1.6,0.2035308752109307
