t_s,T_over_Tc
0.0029999999999779092,0.8185700061907374
0.008399999999977315,0.8083312212970659
0.01379999999997672,0.802040303762857
0.019199999999976125,0.7966183426473714
0.02459999999997553,0.7915487921978582
0.029999999999974936,0.7868039927526037
0.03539999999997434,0.7823705776759398
0.040799999999973746,0.7782384697612533
0.04619999999997315,0.7743933262964962
0.05159999999997256,0.7708195542831571
0.05699999999997196,0.767501596082348
0.06239999999997137,0.7644252260627354
0.06779999999997077,0.7615770220328325
0.07319999999997018,0.7589431999397355
0.07859999999996958,0.7565100059954265
0.08399999999996899,0.7542654560133861
0.0893999999999684,0.7521988685053275
0.0947999999999678,0.750299522990486
0.1001999999999672,0.7485564306207377
0.10559999999996661,0.7469598144782168
0.11099999999996601,0.7455014076630354
0.11639999999996542,0.7441733521916646
0.12179999999996483,0.7429673902682806
0.12719999999996423,0.7418755723753083
0.13259999999996364,0.7408915455382926
0.13799999999996304,0.7400097496861451
0.14339999999996245,0.7392241261785815
0.14879999999996185,0.738528250774213
0.15419999999996126,0.7379171708606544
0.15959999999996066,0.7373869036996851
0.16499999999996007,0.7369331311610271
0.17039999999995947,0.7365508485807865
0.17579999999995888,0.7362357495700534
0.18119999999995828,0.7359847316994051
0.1865999999999577,0.7357949037452577
0.1919999999999571,0.7356625983982785
0.1973999999999565,0.7355839529339754
0.2027999999999559,0.7355564441073613
0.2081999999999553,0.7355782093643903
0.21359999999995471,0.7356466534973525
0.21899999999995412,0.7357584487805554
0.22439999999995353,0.7359113496439332
0.22979999999995293,0.7361040683464267
0.23519999999995234,0.7363349125953363
0.24059999999995174,0.7366012919557307
0.24599999999995115,0.7369009698038174
0.25139999999995055,0.7372328938586717
0.25679999999994996,0.7375961924200284
0.26219999999994936,0.7379890263013764
0.26759999999994877,0.7384090465849216
0.2729999999999482,0.7388551737630857
0.2783999999999476,0.73932702916971
0.283799999999947,0.7398234431259096
0.2891999999999464,0.7403423028850131
0.2945999999999458,0.740882377042688
0.2999999999999452,0.7414434259408548
0.3053999999999446,0.742024903688564
0.310799999999944,0.7426252488691617
0.3161999999999434,0.7432428746917743
0.3215999999999428,0.7438774564600549
0.3269999999999422,0.7445290136250664
0.33239999999994163,0.7451965435007978
0.33779999999994104,0.7458782788576026
0.34319999999994044,0.7465736917852746
0.34859999999993985,0.7472830594569178
0.35399999999993925,0.7480059118761236
0.35939999999993866,0.7487406727476671
0.36479999999993806,0.7494864556566623
0.37019999999993747,0.7502434565417617
0.3755999999999369,0.7510117414911561
0.3809999999999363,0.7517902618953443
0.3863999999999357,0.7525776393953743
0.3917999999999351,0.7533738472438943
0.3971999999999345,0.7541793804791951
0.4025999999999339,0.7549936783479304
0.4079999999999333,0.7558152133685317
0.4133999999999327,0.7566436132207874
0.4187999999999321,0.7574794690445258
0.4241999999999315,0.7583227096683004
0.4295999999999309,0.7591720777053644
0.43499999999993033,0.7600267178685768
0.44039999999992974,0.7608869900058042
0.44579999999992914,0.7617533569618848
0.45119999999992855,0.762625063649791
0.45659999999992795,0.7635007792430005
0.46199999999992736,0.764380582367679
0.46739999999992676,0.7652652625269307
0.47279999999992617,0.7661545420268183
0.4781999999999256,0.7670470006655413
0.483599999999925,0.767942237243776
0.4889999999999244,0.7688409993445852
0.4943999999999238,0.7697435018675549
0.4997999999999232,0.770648702869887
0.5051999999999226,0.7715556475489432
0.510599999999922,0.7724647519002216
