x,z,n,fz,localF
3.37500,-2.62500,1.933116e-04,4.619541e-04,5.99979
3.62500,-2.62500,1.220359e-04,2.311183e-04,5.99786
3.87500,-2.62500,8.391187e-05,1.840202e-04,5.99059
4.12500,-2.62500,1.259582e-04,2.765255e-04,5.99948
4.37500,-2.62500,1.107666e-04,2.029513e-04,5.99848
4.62500,-2.62500,3.682865e-05,6.077915e-05,5.99527
4.87500,-2.62500,3.178908e-05,5.917073e-05,5.99529
5.12500,-2.62500,3.585536e-05,6.276583e-05,5.98648
5.37500,-2.62500,2.255903e-05,4.516601e-05,5.99986
5.62500,-2.62500,3.118849e-05,8.374097e-05,5.99924
5.87500,-2.62500,1.818884e-05,4.989078e-05,5.99953
-5.87500,-2.37500,4.171029e-05,1.083902e-04,5.99802
-5.62500,-2.37500,5.625281e-05,1.443307e-04,5.98733
-5.37500,-2.37500,2.168169e-05,6.065498e-05,5.99410
-5.12500,-2.37500,3.158205e-05,1.003031e-04,5.98915
-4.87500,-2.37500,1.600096e-05,4.548316e-05,5.98314
-4.62500,-2.37500,1.761761e-05,3.597121e-05,5.99963
-4.37500,-2.37500,1.284984e-04,3.355738e-04,5.99998
-4.12500,-2.37500,2.391825e-04,6.149651e-04,6.00000
-3.87500,-2.37500,1.996471e-04,4.706736e-04,5.99994
-3.62500,-2.37500,2.175177e-04,5.011970e-04,5.99993
-3.37500,-2.37500,4.332090e-04,1.034143e-03,5.99995
-3.12500,-2.37500,7.296895e-04,1.737848e-03,5.99992
-2.87500,-2.37500,8.434531e-04,2.046504e-03,5.99996
-2.62500,-2.37500,1.150511e-03,2.840665e-03,5.99999
-2.37500,-2.37500,1.609203e-03,3.880365e-03,5.99999
-2.12500,-2.37500,1.301311e-03,2.940154e-03,5.99992
-1.87500,-2.37500,9.559530e-04,1.990610e-03,5.99961
-1.62500,-2.37500,1.514384e-03,3.175213e-03,5.99990
-1.37500,-2.37500,1.945919e-03,4.177743e-03,5.99997
-1.12500,-2.37500,1.823260e-03,4.228497e-03,5.99999
-0.87500,-2.37500,1.721006e-03,4.132672e-03,6.00000
-0.62500,-2.37500,2.062225e-03,4.859274e-03,5.99999
-0.37500,-2.37500,2.294893e-03,5.335218e-03,5.99987
-0.12500,-2.37500,2.312306e-03,5.428554e-03,5.99996
0.12500,-2.37500,2.318747e-03,5.798249e-03,5.99996
0.37500,-2.37500,2.317273e-03,5.821314e-03,5.99988
0.62500,-2.37500,2.076370e-03,5.159317e-03,5.99999
0.87500,-2.37500,1.733028e-03,4.241064e-03,6.00000
1.12500,-2.37500,1.848914e-03,4.661450e-03,5.99999
1.37500,-2.37500,1.952285e-03,5.237766e-03,5.99997
1.62500,-2.37500,1.514499e-03,4.135377e-03,5.99991
1.87500,-2.37500,9.539850e-04,2.621065e-03,5.99961
2.12500,-2.37500,1.293171e-03,3.327707e-03,5.99992
2.37500,-2.37500,1.611387e-03,3.904297e-03,5.99999
2.62500,-2.37500,1.149803e-03,2.728931e-03,5.99999
2.87500,-2.37500,8.259823e-04,1.997996e-03,5.99995
3.12500,-2.37500,7.073670e-04,1.744410e-03,5.99992
3.37500,-2.37500,4.152549e-04,1.024338e-03,5.99995
3.62500,-2.37500,2.069038e-04,5.281884e-04,5.99993
3.87500,-2.37500,1.942414e-04,4.853238e-04,5.99994
4.12500,-2.37500,2.391293e-04,5.442559e-04,6.00000
4.37500,-2.37500,1.274867e-04,2.859711e-04,5.99998
4.62500,-2.37500,1.671456e-05,4.761376e-05,5.99943
4.87500,-2.37500,1.438357e-05,2.652608e-05,5.97920
5.12500,-2.37500,2.909874e-05,4.456882e-05,5.98789
5.37500,-2.37500,1.953458e-05,3.728328e-05,5.99212
5.62500,-2.37500,5.348055e-05,1.158865e-04,5.98630
5.87500,-2.37500,4.006776e-05,9.036020e-05,5.99793
-5.87500,-2.12500,3.191676e-05,1.017449e-04,5.99673
-5.62500,-2.12500,3.385914e-05,1.160401e-04,5.94690
-5.37500,-2.12500,1.415457e-05,4.276009e-05,5.99710
-5.12500,-2.12500,1.228786e-05,2.733121e-05,5.99627
-4.87500,-2.12500,1.138832e-05,2.287069e-05,5.99989
-4.62500,-2.12500,7.042979e-05,1.489774e-04,5.99989
-4.37500,-2.12500,1.869056e-04,4.216032e-04,5.99999
-4.12500,-2.12500,3.336601e-04,7.831721e-04,5.99984
-3.87500,-2.12500,4.107517e-04,9.711405e-04,5.99965
-3.62500,-2.12500,3.512949e-04,8.054830e-04,5.99988
-3.37500,-2.12500,7.042652e-04,1.587302e-03,5.99997
-3.12500,-2.12500,1.413220e-03,3.329135e-03,5.99999
-2.87500,-2.12500,1.576178e-03,3.939604e-03,5.99999
-2.62500,-2.12500,1.797646e-03,4.668004e-03,5.99997
-2.37500,-2.12500,2.346939e-03,6.018412e-03,5.99997
-2.12500,-2.12500,2.241152e-03,5.524648e-03,5.99999
-1.87500,-2.12500,1.894456e-03,4.313372e-03,5.99988
-1.62500,-2.12500,2.385769e-03,5.225419e-03,5.99999
-1.37500,-2.12500,2.739497e-03,6.038505e-03,5.99998
-1.12500,-2.12500,2.711292e-03,6.540180e-03,6.00000
-0.87500,-2.12500,2.785191e-03,7.104904e-03,6.00000
-0.62500,-2.12500,2.884627e-03,7.203888e-03,5.99999
-0.37500,-2.12500,2.879382e-03,7.038334e-03,5.99999
-0.12500,-2.12500,2.805837e-03,6.809620e-03,6.00000
0.12500,-2.12500,2.819106e-03,6.796518e-03,6.00000
0.37500,-2.12500,2.900693e-03,6.955881e-03,5.99999
0.62500,-2.12500,2.890530e-03,6.791271e-03,5.99999
0.87500,-2.12500,2.790738e-03,6.403354e-03,6.00000
1.12500,-2.12500,2.718152e-03,6.603733e-03,6.00000
1.37500,-2.12500,2.728315e-03,7.179699e-03,5.99998
1.62500,-2.12500,2.379920e-03,6.302069e-03,5.99999
1.87500,-2.12500,1.890454e-03,4.854277e-03,5.99988
2.12500,-2.12500,2.241371e-03,5.325254e-03,5.99999
2.37500,-2.12500,2.352730e-03,5.347285e-03,5.99997
2.62500,-2.12500,1.785027e-03,4.004008e-03,5.99997
2.87500,-2.12500,1.537840e-03,3.606077e-03,5.99999
3.12500,-2.12500,1.373960e-03,3.427342e-03,5.99999
3.37500,-2.12500,6.787330e-04,1.765349e-03,5.99996
3.62500,-2.12500,3.368392e-04,8.576846e-04,5.99983
3.87500,-2.12500,4.002055e-04,9.922983e-04,5.99961
4.12500,-2.12500,3.259720e-04,8.148140e-04,5.99983
4.37500,-2.12500,1.818301e-04,4.714820e-04,5.99999
4.62500,-2.12500,6.728621e-05,1.839134e-04,5.99986
4.87500,-2.12500,1.017601e-05,2.885771e-05,5.99981
5.12500,-2.12500,1.073366e-05,2.762032e-05,5.99586
5.37500,-2.12500,1.404205e-05,2.324617e-05,5.99537
5.62500,-2.12500,3.378851e-05,3.961507e-05,5.94506
5.87500,-2.12500,3.219007e-05,5.227338e-05,5.99708
-5.87500,-1.87500,7.661008e-05,1.834709e-04,5.99991
-5.62500,-1.87500,1.753476e-05,4.425960e-05,5.99539
-5.37500,-1.87500,3.728136e-05,8.966425e-05,5.99753
-5.12500,-1.87500,5.679272e-05,1.043822e-04,5.99918
-4.87500,-1.87500,4.502259e-05,1.318745e-04,5.99900
-4.62500,-1.87500,1.319340e-04,3.590007e-04,5.99952
-4.37500,-1.87500,2.967814e-04,7.358914e-04,5.99998
-4.12500,-1.87500,5.103284e-04,1.228824e-03,5.99993
-3.87500,-1.87500,7.869982e-04,2.001349e-03,5.99991
-3.62500,-1.87500,8.352220e-04,2.193509e-03,5.99992
