x,z,n,fz,localF
3.12500,-2.62500,5.413412e-04,1.007818e-03,4.26340
3.37500,-2.62500,5.044910e-04,-3.422978e-04,4.11359
3.62500,-2.62500,4.479069e-04,-4.560040e-04,3.87809
3.87500,-2.62500,2.275815e-04,3.285295e-04,3.67670
4.12500,-2.62500,4.598781e-04,7.542805e-04,4.25877
4.37500,-2.62500,2.417830e-04,7.450931e-05,2.96372
4.62500,-2.62500,8.086460e-04,1.445605e-03,4.76405
4.87500,-2.62500,1.185295e-03,1.139361e-03,4.87977
5.12500,-2.62500,8.144515e-04,5.276772e-04,4.21474
5.37500,-2.62500,9.138588e-04,-7.951631e-04,4.91930
5.62500,-2.62500,1.001402e-03,2.731020e-04,4.74505
5.87500,-2.62500,4.254768e-04,2.003026e-04,4.70139
-5.87500,-2.37500,3.003018e-04,4.086553e-04,3.58802
-5.62500,-2.37500,8.002550e-04,-1.872047e-04,3.94111
-5.37500,-2.37500,5.566859e-04,4.461590e-04,3.87259
-5.12500,-2.37500,3.735206e-04,5.575946e-04,3.64426
-4.87500,-2.37500,5.754100e-04,4.207935e-04,3.85341
-4.62500,-2.37500,4.649613e-04,-1.294569e-04,2.97208
-4.37500,-2.37500,3.962183e-04,2.138570e-04,2.81216
-4.12500,-2.37500,5.121639e-04,5.122380e-04,2.89213
-3.87500,-2.37500,9.121791e-04,7.254044e-04,4.81210
-3.62500,-2.37500,5.247180e-04,-3.176504e-04,4.21153
-3.37500,-2.37500,1.138212e-03,1.028769e-03,3.96843
-3.12500,-2.37500,4.101237e-04,-2.231764e-04,2.91196
-2.87500,-2.37500,7.277303e-04,3.356094e-04,4.12119
-2.62500,-2.37500,2.816528e-04,3.962991e-05,2.78199
-2.37500,-2.37500,9.399793e-04,9.090774e-04,4.89440
-2.12500,-2.37500,1.167509e-03,7.390674e-04,4.66034
-1.87500,-2.37500,1.995625e-03,-6.166993e-04,4.83859
-1.62500,-2.37500,1.591628e-03,2.562960e-03,5.10835
-1.37500,-2.37500,3.965994e-04,3.090328e-04,3.98122
-1.12500,-2.37500,5.133378e-04,-5.568849e-04,3.64586
-0.87500,-2.37500,6.652435e-04,5.357828e-04,3.93940
-0.62500,-2.37500,4.408759e-04,-5.327223e-04,4.03427
-0.37500,-2.37500,7.851918e-04,1.956054e-03,4.30538
-0.12500,-2.37500,1.110756e-03,2.505205e-03,5.08812
0.12500,-2.37500,1.275576e-03,2.393140e-03,5.08584
0.37500,-2.37500,8.769235e-04,6.915661e-04,4.58928
0.62500,-2.37500,7.797301e-04,1.250817e-03,3.93899
0.87500,-2.37500,1.611487e-03,1.959784e-03,4.80461
1.12500,-2.37500,1.631867e-03,2.607970e-03,5.38313
1.37500,-2.37500,1.692461e-03,1.048716e-03,4.64980
1.62500,-2.37500,6.459630e-04,-7.995765e-04,4.63133
1.87500,-2.37500,5.837195e-04,5.850298e-04,4.94995
2.12500,-2.37500,4.832850e-04,8.263401e-04,4.15392
2.37500,-2.37500,1.107739e-03,1.392546e-03,3.73069
2.62500,-2.37500,8.165357e-04,-9.718812e-04,4.61064
2.87500,-2.37500,5.525136e-04,8.388834e-04,4.22356
3.12500,-2.37500,3.492949e-04,2.566449e-04,3.80036
3.37500,-2.37500,2.688496e-04,3.088868e-04,4.17390
3.62500,-2.37500,6.499706e-04,6.192458e-04,4.05621
3.87500,-2.37500,7.010430e-04,1.524416e-03,3.77484
4.12500,-2.37500,2.982653e-04,4.772380e-05,3.27564
4.37500,-2.37500,4.742770e-04,7.028734e-04,3.41426
4.62500,-2.37500,6.863317e-04,1.106041e-03,4.13551
4.87500,-2.37500,4.170699e-04,7.999581e-04,4.20725
5.12500,-2.37500,7.890448e-04,-3.479561e-04,4.60179
5.37500,-2.37500,6.922828e-04,-2.358010e-04,3.85714
