which,t_s,N,N0,Nth,T_nK
ramp_only,5.328000e-01,9.253952e+05,0.000000e+00,9.253952e+05,21380.9915
ramp_only,5.402000e-01,9.238372e+05,0.000000e+00,9.238372e+05,21318.1775
ramp_only,5.476000e-01,9.222981e+05,0.000000e+00,9.222981e+05,21255.3830
ramp_only,5.550000e-01,9.207777e+05,0.000000e+00,9.207777e+05,21192.5761
ramp_only,5.624000e-01,9.192757e+05,0.000000e+00,9.192757e+05,21129.7046
ramp_only,5.698000e-01,9.177920e+05,0.000000e+00,9.177920e+05,21066.7135
ramp_only,5.772000e-01,9.163262e+05,0.000000e+00,9.163262e+05,21003.5669
ramp_only,5.846000e-01,9.148782e+05,0.000000e+00,9.148782e+05,20940.2432
ramp_only,5.920000e-01,9.134479e+05,0.000000e+00,9.134479e+05,20876.7394
ramp_only,5.994000e-01,9.120349e+05,0.000000e+00,9.120349e+05,20813.0235
ramp_only,6.068000e-01,9.106391e+05,0.000000e+00,9.106391e+05,20749.0535
ramp_only,6.142000e-01,9.092603e+05,0.000000e+00,9.092603e+05,20684.7588
ramp_only,6.216000e-01,9.078983e+05,0.000000e+00,9.078983e+05,20620.0964
ramp_only,6.290000e-01,9.065531e+05,0.000000e+00,9.065531e+05,20555.0322
ramp_only,6.364000e-01,9.052242e+05,0.000000e+00,9.052242e+05,20489.5678
ramp_only,6.438000e-01,9.039101e+05,0.000000e+00,9.039101e+05,20411.3142
ramp_only,6.512000e-01,9.025976e+05,0.000000e+00,9.025976e+05,20315.1624
ramp_only,6.586000e-01,9.012815e+05,0.000000e+00,9.012815e+05,20215.6073
ramp_only,6.660000e-01,8.999588e+05,0.000000e+00,8.999588e+05,20113.1633
ramp_only,6.734000e-01,8.986268e+05,0.000000e+00,8.986268e+05,20007.6236
ramp_only,6.808000e-01,8.972822e+05,0.000000e+00,8.972822e+05,19898.8009
ramp_only,6.882000e-01,8.959213e+05,0.000000e+00,8.959213e+05,19786.4911
ramp_only,6.956000e-01,8.945404e+05,0.000000e+00,8.945404e+05,19670.4412
ramp_only,7.030000e-01,8.931350e+05,0.000000e+00,8.931350e+05,19550.3553
ramp_only,7.104000e-01,8.917005e+05,0.000000e+00,8.917005e+05,19425.8970
ramp_only,7.178000e-01,8.902318e+05,0.000000e+00,8.902318e+05,19296.7558
ramp_only,7.252000e-01,8.887233e+05,0.000000e+00,8.887233e+05,19162.6290
ramp_only,7.326000e-01,8.871691e+05,0.000000e+00,8.871691e+05,19023.2466
ramp_only,7.400000e-01,8.855629e+05,0.000000e+00,8.855629e+05,18878.2809
ramp_only,7.474000e-01,8.838977e+05,0.000000e+00,8.838977e+05,18727.3807
ramp_only,7.548000e-01,8.821664e+05,0.000000e+00,8.821664e+05,18570.1320
ramp_only,7.622000e-01,8.803614e+05,0.000000e+00,8.803614e+05,18406.1697
ramp_only,7.696000e-01,8.784746e+05,0.000000e+00,8.784746e+05,18235.1486
ramp_only,7.770000e-01,8.764978e+05,0.000000e+00,8.764978e+05,18056.8045
ramp_only,7.844000e-01,8.744225e+05,0.000000e+00,8.744225e+05,17870.8517
ramp_only,7.918000e-01,8.722400e+05,0.000000e+00,8.722400e+05,17677.0026
ramp_only,7.992000e-01,8.699415e+05,0.000000e+00,8.699415e+05,17474.9384
ramp_only,8.066000e-01,8.675184e+05,0.000000e+00,8.675184e+05,17264.3812
ramp_only,8.140000e-01,8.649617e+05,0.000000e+00,8.649617e+05,17045.1338
ramp_only,8.214000e-01,8.622629e+05,0.000000e+00,8.622629e+05,16817.0904
ramp_only,8.288000e-01,8.594138e+05,0.000000e+00,8.594138e+05,16580.2268
ramp_only,8.362000e-01,8.564067e+05,0.000000e+00,8.564067e+05,16334.5229
ramp_only,8.436000e-01,8.532340e+05,0.000000e+00,8.532340e+05,16079.9626
ramp_only,8.510000e-01,8.498885e+05,0.000000e+00,8.498885e+05,15816.5123
ramp_only,8.584000e-01,8.463635e+05,0.000000e+00,8.463635e+05,15544.2654
ramp_only,8.658000e-01,8.426524e+05,0.000000e+00,8.426524e+05,15263.3856
ramp_only,8.732000e-01,8.387493e+05,0.000000e+00,8.387493e+05,14974.1780
ramp_only,8.806000e-01,8.346485e+05,0.000000e+00,8.346485e+05,14676.9087
ramp_only,8.880000e-01,8.303449e+05,0.000000e+00,8.303449e+05,14371.8572
ramp_only,8.954000e-01,8.258333e+05,0.000000e+00,8.258333e+05,14059.2270
ramp_only,9.028000e-01,8.211090e+05,0.000000e+00,8.211090e+05,13740.4093
ramp_only,9.102000e-01,8.163054e+05,0.000000e+00,8.163054e+05,13460.8263
ramp_only,9.176000e-01,8.116723e+05,0.000000e+00,8.116723e+05,13212.6350
ramp_only,9.250000e-01,8.072833e+05,0.000000e+00,8.072833e+05,12984.1716
ramp_only,9.324000e-01,8.031078e+05,0.000000e+00,8.031078e+05,12767.6056
ramp_only,9.398000e-01,7.991151e+05,0.000000e+00,7.991151e+05,12561.3139
ramp_only,9.472000e-01,7.952803e+05,0.000000e+00,7.952803e+05,12363.9570
ramp_only,9.546000e-01,7.915824e+05,0.000000e+00,7.915824e+05,12174.4287
ramp_only,9.620000e-01,7.880043e+05,0.000000e+00,7.880043e+05,11991.8057
ramp_only,9.694000e-01,7.845312e+05,0.000000e+00,7.845312e+05,11815.3161
ramp_only,9.768000e-01,7.811507e+05,0.000000e+00,7.811507e+05,11644.2892
ramp_only,9.842000e-01,7.778520e+05,0.000000e+00,7.778520e+05,11478.1449
ramp_only,9.916000e-01,7.746259e+05,0.000000e+00,7.746259e+05,11316.3684
ramp_only,9.990000e-01,7.714643e+05,0.000000e+00,7.714643e+05,11158.5215
ramp_only,1.006400e+00,7.683601e+05,0.000000e+00,7.683601e+05,11004.2236
ramp_only,1.013800e+00,7.653070e+05,0.000000e+00,7.653070e+05,10853.1534
ramp_only,1.021200e+00,7.622994e+05,0.000000e+00,7.622994e+05,10705.0188
ramp_only,1.028600e+00,7.593323e+05,0.000000e+00,7.593323e+05,10559.5554
ramp_only,1.036000e+00,7.564013e+05,0.000000e+00,7.564013e+05,10416.5139
ramp_only,1.043400e+00,7.535022e+05,0.000000e+00,7.535022e+05,10275.6769
ramp_only,1.050800e+00,7.506316e+05,0.000000e+00,7.506316e+05,10136.8593
