i,Lz
1,0.8125351075432936
2,0.8077275494764565
3,0.8047558320884802
4,0.8024363073582034
5,0.8008514203118801
6,0.799638433727044
7,0.798941639405556
8,0.7987547203552134
9,0.7992319191841128
10,0.8001298938722039
11,0.801447572406302
12,0.8035301963078424
13,0.8064510761397987
14,0.8055285593628945
15,0.8115594094741204
16,0.8153842033846681
17,0.817633219468457
18,0.8213299886290755
19,0.8238666135944384
20,0.8219077362952042
21,0.8238650192856505
22,0.8318932216528389
23,0.8265535718012935
24,0.8352888853354961
25,0.8302559633048259
26,0.8391054685997241
27,0.8335878808347129
28,0.8387162410869763
29,0.8398679349827741
30,0.837738730008904
31,0.8416654644947698
32,0.8421998226016991
33,0.8414137684115917
34,0.843683122316694
35,0.8440296879845955
36,0.8442718298788222
37,0.8453664548827462
38,0.8450258098053488
39,0.8452229796512941
40,0.8459560870813996
41,0.8473226395564858
42,0.849271553374875
43,0.8526310364606343
44,0.8532501348475563
45,0.8556255871149466
46,0.856285188337785
47,0.8558054558347639
48,0.8583672621494347
49,0.8575049832474094
50,0.8612741707853224
51,0.8622413996089877
52,0.8687477840997242
53,0.8788397913909674
54,0.8929492885097371
55,0.914915221817955
56,0.9383290407769767
57,0.9670383105150049
58,0.998288214901124
59,1.0275717128815316
60,1.0572655590574969
61,1.0889501096193381
62,1.1207985174578645
63,1.1443290391420535
64,1.1679560788957144
65,1.197804081932758
66,1.2206570399821124
67,1.2366531774779417
68,1.2474359595030693
69,1.261960051811928
70,1.2748207847309814
71,1.2839156540642196
72,1.2890374194478675
73,1.2927776376194484
74,1.2949153168411451
75,1.2997665893017318
76,1.2986547225247678
77,1.2933182585072323
78,1.2832627359683257
79,1.27755719125343
80,1.2710930722893075
81,1.263751129438533
82,1.257895463518715
83,1.2482512881899281
84,1.2401004833444629
85,1.2312202814138504
86,1.2229284385214099
87,1.2183783204331464
88,1.2138550931603105
89,1.207573600023959
90,1.2035907228929155
91,1.2039603139310544
92,1.2047202474090775
93,1.202595337850522
94,1.1974344478746382
95,1.190721702125723
96,1.1821253662099036
97,1.1707785508673063
98,1.1714448710808438
99,1.174424100959366
100,1.1717026787672125
101,1.1656406541628825
102,1.1616219767197864
103,1.1553563291928637
104,1.1477596373161518
105,1.140097753508035
106,1.1314810450100852
107,1.1172063390300353
108,1.1055927090905175
109,1.0985677718487472
110,1.0928494661866028
111,1.086267887147696
112,1.0711165611577729
113,1.0508419324890874
114,1.035134981795181
115,1.0266705097401214
116,1.0234066870364469
117,1.0183095516977079
118,1.010110790037428
119,1.0032201006568007
120,0.9933488546793139
121,0.9867973978137778
122,0.9816838412091268
123,0.9826367533781892
124,0.9750015411034973
125,0.9712575129136493
