t,Fx,Fy,Fz,Fmag,Lz
0.15000,1.45676,-2.33617,5.14675,5.83685,0.16298
0.30000,4.36934,-2.08618,3.22960,5.82010,0.17771
0.45000,5.73378,0.78143,0.57000,5.81478,0.17788
0.60000,4.04593,3.55931,-2.21155,5.82488,0.16326
0.75000,1.02010,3.59334,-4.48135,5.83397,0.14981
0.90000,-0.20036,1.19507,-5.70110,5.82845,0.13796
1.05000,1.51357,-0.70864,-5.56323,5.80883,0.11582
1.20000,4.07244,0.21130,-4.10516,5.78634,0.09191
1.35000,4.46531,3.20593,-1.72292,5.76068,0.10480
1.50000,1.96759,5.27705,1.00718,5.72128,0.15487
1.65000,-1.09213,4.33715,3.50301,5.68108,0.18334
1.80000,-1.75461,1.40741,5.19495,5.66101,0.16869
1.95000,0.47128,-0.41673,5.61231,5.64746,0.16952
2.10000,3.05622,0.82308,4.63129,5.60952,0.21727
2.25000,3.08285,3.86189,2.56138,5.56586,0.25722
2.40000,0.38118,5.54308,-0.08366,5.55680,0.27438
2.55000,-2.36717,4.23660,-2.71774,5.56223,0.30074
2.70000,-2.59278,1.44571,-4.68368,5.54522,0.30743
2.85000,-0.43169,0.11227,-5.49855,5.51661,0.27918
3.00000,1.49499,1.58278,-5.04797,5.49747,0.27044
3.15000,0.81900,4.15643,-3.46734,5.47441,0.29199
3.30000,-2.00675,4.92479,-1.11153,5.43287,0.32474
3.45000,-4.28058,2.93378,1.45858,5.39054,0.37907
3.60000,-3.88509,0.07150,3.69553,5.36246,0.41121
3.75000,-1.37962,-0.90004,5.07642,5.33699,0.41626
3.90000,0.50852,0.83574,5.20068,5.29189,0.45726
4.05000,-0.30028,3.28789,4.07402,5.24385,0.50933
4.20000,-3.06630,3.71574,2.00572,5.21842,0.54061
4.35000,-4.95984,1.45257,-0.54641,5.19697,0.58764
4.50000,-4.03825,-1.31015,-2.95976,5.17534,0.64224
4.65000,-1.37604,-1.84675,-4.63081,5.17188,0.67300
4.80000,0.12728,0.15963,-5.16756,5.17159,0.67538
4.95000,-1.14463,2.31241,-4.46565,5.15746,0.66266
5.10000,-3.82623,2.09342,-2.72741,5.14404,0.66375
5.25000,-5.10272,-0.45308,-0.38973,5.13760,0.70166
5.40000,-3.70248,-2.89874,2.02847,5.12110,0.74221
5.55000,-1.05346,-2.97650,3.98048,5.08070,0.75168
5.70000,0.17700,-0.84994,4.93597,5.01174,0.79416
5.85000,-1.20164,0.97144,4.69402,4.94180,0.85739
6.00000,-3.53231,0.30103,3.39832,4.91085,0.87902
6.15000,-4.11407,-2.31678,1.30518,4.89863,0.90389
6.30000,-2.15854,-4.23232,-1.12775,4.88300,0.95625
6.45000,0.39762,-3.56924,-3.25447,4.84656,0.98413
6.60000,1.02403,-1.18542,-4.53279,4.79584,0.97194
6.75000,-0.73129,0.29688,-4.69589,4.76176,0.94265
6.90000,-2.81112,-0.75949,-3.74979,4.74764,0.92091
7.05000,-2.83175,-3.27627,-1.91279,4.73408,0.89322
7.20000,-0.60095,-4.66699,0.36635,4.71976,0.87795
7.35000,1.75933,-3.56727,2.52712,4.71243,0.88835
7.50000,2.00782,-1.16190,4.08933,4.70149,0.89621
7.65000,0.09717,0.02862,4.66708,4.66818,0.91929
7.80000,-1.73565,-1.22575,4.10940,4.62624,0.96631
7.95000,-1.33909,-3.55877,2.59643,4.60429,0.99191
8.10000,1.08290,-4.43723,0.48178,4.59280,1.00435
