t,AR,ell_angle,field_angle,lag,Lz,Fmag,Fz,Nv
0.12000,1.4771,0.0003,0.0660,0.0657,0.0037,5.9997,0.2622,0
0.24000,1.4786,0.0010,0.1320,0.1310,0.0157,5.9994,0.3627,0
0.36000,1.4804,0.0035,0.1980,0.1945,0.0406,5.9989,0.0454,0
0.48000,1.4815,0.0085,0.2640,0.2555,0.0669,5.9992,0.1393,0
0.60000,1.4814,0.0160,0.3300,0.3140,0.0977,5.9992,0.3899,0
0.72000,1.4781,0.0267,0.3960,0.3693,0.1382,5.9975,0.1585,0
0.84000,1.4699,0.0415,0.4620,0.4205,0.1789,5.9974,0.0576,0
0.96000,1.4565,0.0606,0.5280,0.4674,0.2185,5.9990,0.3359,0
1.08000,1.4372,0.0848,0.5940,0.5092,0.2646,5.9973,0.2858,0
1.20000,1.4105,0.1156,0.6600,0.5444,0.3122,5.9956,0.0566,0
1.32000,1.3776,0.1551,0.7260,0.5709,0.3571,5.9979,0.2287,0
1.44000,1.3403,0.2064,0.7920,0.5856,0.4068,5.9981,0.3671,0
1.56000,1.3004,0.2753,0.8580,0.5827,0.4612,5.9957,0.1377,0
1.68000,1.2617,0.3702,0.9240,0.5538,0.5127,5.9969,0.1191,0
1.80000,1.2314,0.5000,0.9900,0.4900,0.5633,5.9986,0.3563,0
1.92000,1.2180,0.6657,1.0560,0.3903,0.6197,5.9970,0.2577,0
2.04000,1.2295,0.8473,1.1220,0.2747,0.6776,5.9967,0.0667,0
2.16000,1.2682,1.0106,1.1880,0.1774,0.7305,5.9984,0.2613,0
2.28000,1.3303,1.1398,1.2540,0.1142,0.7866,5.9980,0.3469,0
2.40000,1.4116,1.2396,1.3200,0.0804,0.8471,5.9971,0.0918,0
2.52000,1.5102,1.3174,1.3860,0.0686,0.8975,5.9983,0.1434,0
2.64000,1.6246,1.3786,1.4520,0.0734,0.9409,5.9985,0.3667,0
2.76000,1.7529,1.4275,1.5180,0.0905,0.9859,5.9980,0.1590,0
2.88000,1.8918,1.4678,1.5840,0.1162,1.0292,5.9985,0.0565,0
3.00000,2.0347,1.5018,1.6500,0.1482,1.0571,5.9987,0.3290,0
3.12000,2.1713,1.5311,1.7160,0.1849,1.0698,5.9986,0.2281,0
3.24000,2.2855,1.5574,1.7820,0.2246,1.0917,5.9980,0.0234,0
3.36000,2.3604,-1.5596,1.8480,0.2660,1.1010,5.9982,0.2692,0
