t,AR,ell_angle,field_angle,lag,Lz,Fmag,Fz,Nv
0.12000,1.4771,0.0003,0.1020,0.1017,0.0044,5.9996,0.4051,0
0.24000,1.4784,0.0013,0.2040,0.2027,0.0228,5.9990,0.5600,0
0.36000,1.4786,0.0050,0.3060,0.3010,0.0600,5.9980,0.0716,0
0.48000,1.4758,0.0124,0.4080,0.3956,0.0992,5.9986,0.2161,0
0.60000,1.4690,0.0238,0.5100,0.4862,0.1446,5.9988,0.6083,0
0.72000,1.4546,0.0404,0.6120,0.5716,0.2018,5.9956,0.2577,0
0.84000,1.4294,0.0639,0.7140,0.6501,0.2592,5.9956,0.0870,0
0.96000,1.3944,0.0961,0.8160,0.7199,0.3163,5.9983,0.5267,0
1.08000,1.3501,0.1409,0.9180,0.7771,0.3812,5.9964,0.4773,0
1.20000,1.2972,0.2062,1.0200,0.8138,0.4474,5.9949,0.0867,0
1.32000,1.2419,0.3071,1.1220,0.8149,0.5103,5.9974,0.3349,0
1.44000,1.1958,0.4693,1.2240,0.7547,0.5759,5.9975,0.5993,0
1.56000,1.1767,0.7099,1.3260,0.6161,0.6485,5.9963,0.2189,0
1.68000,1.2027,0.9669,1.4280,0.4611,0.7236,5.9970,0.1381,0
1.80000,1.2714,1.1571,1.5300,0.3729,0.8001,5.9973,0.5457,0
1.92000,1.3701,1.2833,1.6320,0.3487,0.8806,5.9967,0.3911,0
2.04000,1.4918,1.3709,1.7340,0.3631,0.9554,5.9969,0.0525,0
2.16000,1.6334,1.4352,1.8360,0.4008,1.0104,5.9968,0.3844,0
2.28000,1.7917,1.4832,1.9380,0.4548,1.0389,5.9963,0.5045,0
2.40000,1.9559,1.5204,2.0400,0.5196,1.0576,5.9956,0.0892,2
2.52000,2.1069,1.5503,2.1420,0.5917,1.0740,5.9949,0.2203,2
2.64000,2.2205,-1.5654,2.2440,0.6678,1.0805,5.9951,0.5640,2
2.76000,2.2618,-1.5414,2.3460,0.7458,1.1259,5.9942,0.2720,0
2.88000,2.2069,-1.5162,2.4480,0.8226,1.2203,5.9943,0.1339,0
3.00000,2.0685,-1.4868,2.5500,0.8952,1.3458,5.9953,0.5395,0
3.12000,1.8778,-1.4490,2.6520,0.9594,1.5002,5.9958,0.5302,0
3.24000,1.6674,-1.3953,2.7540,1.0077,1.6507,5.9968,0.1400,0
3.36000,1.4673,-1.3093,2.8560,1.0237,1.7713,5.9965,0.3022,0
3.48000,1.3024,-1.1504,2.9580,0.9668,1.8300,5.9965,0.6089,0
3.60000,1.2131,-0.8307,3.0600,0.7491,1.7920,5.9975,0.2817,0
