i,Lz
1,0.9954920275568335
2,0.9954011290839054
3,0.9956401274589788
4,0.9957107288594301
5,0.9961208845617556
6,0.9960549017485822
7,0.9966148355602847
8,0.9964035760344707
9,0.9968344464656171
10,0.9968920990969681
11,0.9967849173719961
12,0.9972171620645571
13,0.9968604823321136
14,0.9971858525421259
15,0.9970111729051107
16,0.9971655139929378
17,0.9969920637882369
18,0.9971450335176907
19,0.9971145089683413
20,0.996993866681416
21,0.9972276175195515
22,0.9970225951788907
23,0.9971903915761752
24,0.9971316639433055
25,0.9971816380032544
26,0.9971357108522216
27,0.9971565195337481
28,0.9971511587762609
29,0.9971540319807409
30,0.9972364628805919
31,0.9970260829429175
32,0.9970789584061883
33,0.9970866659966244
34,0.997102369321592
35,0.9970887594221812
36,0.9971189796675345
37,0.9971078090848563
38,0.9970841968276716
39,0.9971544497889312
40,0.9970832549236291
41,0.9971403012047022
42,0.9971278860320681
43,0.9971447446727594
44,0.9971473619178969
45,0.997102208932908
46,0.9970570271924089
47,0.9970516440089574
48,0.9970487833641118
49,0.9970409526270961
50,0.9970632236229321
51,0.9970610975203582
52,0.9970588848070198
53,0.99704145426096
54,0.9970023051181899
55,0.996988313580836
56,0.9970278786163269
57,0.9970750229711773
58,0.9969995559063313
59,0.9969604708060952
60,0.9971461491798714
61,0.9972185613708552
62,0.9971084100116097
63,0.9971158380537228
64,0.9971518563610141
65,0.9969985407243763
66,0.9969280708045116
67,0.9970638435678428
68,0.9967403196881881
69,0.9966223072646332
70,0.9967611844303381
71,0.9965382979443312
72,0.9966090935378067
73,0.9965978602073026
74,0.9965786513934387
75,0.9966718577681887
76,0.9966173338668567
77,0.9966816334718666
78,0.9967045674683713
79,0.9966783033692918
80,0.9966878126725245
81,0.9966712925183944
82,0.9966321262566115
83,0.996646767967268
84,0.9965692215307939
85,0.9966367900815679
86,0.9965742371337795
87,0.9965862840853689
88,0.996616455682707
89,0.9965474518361743
90,0.9966282985431288
91,0.9965930402133574
92,0.9966600833532245
93,0.9966041542398483
94,0.9966603997419725
95,0.9966076238232032
96,0.9966037655055449
97,0.9966376469200253
98,0.9966141395371144
99,0.9966627310774192
100,0.9966334986000018
101,0.9966885214762652
102,0.9966728466975459
103,0.9966958376768414
104,0.9967161185727261
105,0.996707571799261
106,0.9967014485073212
107,0.9966928823293809
108,0.9966617463222065
109,0.9965993368867879
110,0.996556484477285
111,0.9964157311384243
112,0.9963353628674463
113,0.9962186205884409
114,0.996204481156421
115,0.9958820161903625
116,0.9951642812901721
117,0.9950418739611301
118,0.9954689213984277
119,0.9929236170093896
120,0.9935910423781896
121,0.993381433631248
122,0.9929291777027848
123,0.9930011830173037
124,0.9938173290956511
125,0.9956173454715663
