i,Lz
1,0.8028321142484778
2,0.7970127066563012
3,0.7946660441918253
4,0.7934344644047674
5,0.7913610232067223
6,0.7903955830078162
7,0.7903610139188463
8,0.7896473802338859
9,0.7915103165189132
10,0.790713703222308
11,0.7921714809794254
12,0.7936582232881174
13,0.7927057274075937
14,0.7984739766360255
15,0.7945679433280762
16,0.8025324178447941
17,0.7978494881127871
18,0.805087492776812
19,0.8031735172357786
20,0.8104603993910842
21,0.8078248691525415
22,0.8125800986633922
23,0.8118217635282677
24,0.8199998469086006
25,0.814393866381804
26,0.8242914692049974
27,0.8175084551508853
28,0.8235742689197474
29,0.8259446185614994
30,0.8214682552258434
31,0.8298857528376176
32,0.8296260759503128
33,0.82826646626242
34,0.8314097781221749
35,0.833202616241741
36,0.8333520427990955
37,0.8355985465486312
38,0.8358528375564986
39,0.8367792849147632
40,0.8377591726093708
41,0.8391613560174552
42,0.8410999408060233
43,0.8439627521925797
44,0.845115926225511
45,0.8474854378566723
46,0.8478065958239565
47,0.846434629393729
48,0.8504227787163003
49,0.8481641747047897
50,0.8511439650904701
51,0.852590657389194
52,0.8566271795197307
53,0.8682365468082444
54,0.8789639547975737
55,0.9042970815480157
56,0.9288108747783661
57,0.9545408900756797
58,0.9866688645828372
59,1.014562635933682
60,1.043992898046822
61,1.0753875005942983
62,1.1086271373642114
63,1.1312298060078676
64,1.153537007756225
65,1.1827473710318233
66,1.2088885560357343
67,1.2246390805409142
68,1.2344291090821087
69,1.2467288283327294
70,1.2631449833771642
71,1.273216801156419
72,1.2762036405417978
73,1.2827007183300125
74,1.2867727342811839
75,1.2931226832986293
76,1.2939424062349159
77,1.2884444044066747
78,1.282224536747614
79,1.2749357257930651
80,1.2694105616465314
81,1.261331851943092
82,1.255326457313986
83,1.2464162757249297
84,1.2370058864630409
85,1.2300970996007807
86,1.2202381798117923
87,1.216936366338816
88,1.2111532877302211
89,1.2053445781246273
90,1.203115149175891
91,1.2006691946558363
92,1.2039754386235146
93,1.1975130058989802
94,1.1878288815533729
95,1.18178533296048
96,1.1734359926972489
97,1.1635709051854366
98,1.159446808965719
99,1.1660139292302378
100,1.1631957055302942
101,1.155695537120604
102,1.1510076243464669
103,1.145195836890856
104,1.1381458888630742
105,1.1301455853796727
106,1.122602887154931
107,1.1136823359757817
108,1.1022332431826352
109,1.0966672647644924
110,1.0920069132346442
111,1.084295679478296
112,1.0722860741293236
113,1.0538783452719136
114,1.0389873150895577
115,1.0270470024815763
116,1.0184048735996298
117,1.0157093889608044
118,1.011947578893526
119,1.002428594727441
120,0.9935397795370071
121,0.9871079394374546
122,0.9847044396856874
123,0.984394800477388
124,0.973533661489193
125,0.9711331463743499
