t,AR,ell_angle,field_angle,lag,Lz,Fmag,Fz,Nv
0.12000,1.4771,0.0003,0.0840,0.0837,0.0040,5.9996,0.3337,0
0.24000,1.4785,0.0012,0.1680,0.1668,0.0193,5.9992,0.4614,0
0.36000,1.4796,0.0043,0.2520,0.2477,0.0505,5.9985,0.0583,0
0.48000,1.4789,0.0105,0.3360,0.3255,0.0835,5.9989,0.1776,0
0.60000,1.4758,0.0199,0.4200,0.4001,0.1219,5.9990,0.4984,0
0.72000,1.4674,0.0336,0.5040,0.4704,0.1716,5.9965,0.2065,0
0.84000,1.4512,0.0527,0.5880,0.5353,0.2214,5.9964,0.0725,0
0.96000,1.4274,0.0780,0.6720,0.5940,0.2707,5.9986,0.4310,0
1.08000,1.3956,0.1114,0.7560,0.6446,0.3278,5.9967,0.3787,0
1.20000,1.3549,0.1566,0.8400,0.6834,0.3871,5.9949,0.0720,0
1.32000,1.3084,0.2196,0.9240,0.7044,0.4436,5.9976,0.2853,0
1.44000,1.2612,0.3105,1.0080,0.6975,0.5045,5.9978,0.4846,0
1.56000,1.2200,0.4460,1.0920,0.6460,0.5705,5.9959,0.1800,0
1.68000,1.1973,0.6391,1.1760,0.5369,0.6344,5.9970,0.1320,0
1.80000,1.2079,0.8615,1.2600,0.3985,0.6982,5.9981,0.4557,0
1.92000,1.2551,1.0532,1.3440,0.2908,0.7730,5.9970,0.3303,0
2.04000,1.3319,1.1944,1.4280,0.2336,0.8514,5.9972,0.0600,0
2.16000,1.4321,1.2964,1.5120,0.2156,0.9195,5.9980,0.3239,0
2.28000,1.5532,1.3719,1.5960,0.2241,0.9815,5.9975,0.4305,0
2.40000,1.6936,1.4295,1.6800,0.2505,1.0403,5.9977,0.0822,0
2.52000,1.8498,1.4747,1.7640,0.2893,1.0896,5.9977,0.1785,0
2.64000,2.0153,1.5112,1.8480,0.3368,1.1120,5.9975,0.4515,0
2.76000,2.1754,1.5413,1.9320,0.3907,1.1248,5.9971,0.1625,0
2.88000,2.3049,1.5675,2.0160,0.4485,1.1483,5.9960,0.0838,0
3.00000,2.3788,-1.5500,2.1000,0.5084,1.1642,5.9967,0.4320,0
3.12000,2.3718,-1.5264,2.1840,0.5688,1.2120,5.9957,0.3168,0
3.24000,2.2728,-1.5005,2.2680,0.6269,1.3141,5.9944,0.0785,0
3.36000,2.1045,-1.4697,2.3520,0.6801,1.4347,5.9960,0.3583,0
3.48000,1.9016,-1.4298,2.4360,0.7242,1.5755,5.9968,0.4823,0
3.60000,1.6919,-1.3735,2.5200,0.7519,1.7267,5.9963,0.1599,0
3.72000,1.4989,-1.2857,2.6040,0.7481,1.8510,5.9967,0.1870,0
3.84000,1.3441,-1.1345,2.6880,0.6809,1.9218,5.9977,0.4934,0
3.96000,1.2564,-0.8677,2.7720,0.4981,1.9336,5.9977,0.3047,0
4.08000,1.2740,-0.5369,2.8560,0.2513,1.8950,5.9971,0.0692,4
4.20000,1.3832,-0.3058,2.9400,0.1042,1.7715,5.9973,0.3661,10
4.32000,1.5485,-0.1766,3.0240,0.0590,1.6075,5.9977,0.4052,22
4.44000,1.7535,-0.1075,3.1080,0.0739,1.5076,5.9971,0.0497,15
4.56000,1.9816,-0.0634,0.0504,0.1138,1.4021,5.9955,0.2279,10
4.68000,2.2199,-0.0350,0.1344,0.1695,1.3012,5.9935,0.4349,5
4.80000,2.4417,-0.0152,0.2184,0.2336,1.2546,5.9917,0.0803,0
4.92000,2.6108,0.0014,0.3024,0.3011,1.2266,5.9898,0.1373,0
5.04000,2.6910,0.0158,0.3864,0.3706,1.1916,5.9891,0.4515,2
5.16000,2.6536,0.0282,0.4704,0.4422,1.1600,5.9875,0.2093,0
5.28000,2.5024,0.0409,0.5544,0.5135,1.1768,5.9862,0.1071,0
5.40000,2.2810,0.0556,0.6384,0.5828,1.2338,5.9865,0.4385,0
5.52000,2.0277,0.0764,0.7224,0.6460,1.3536,5.9851,0.4015,0
5.64000,1.7714,0.1080,0.8064,0.6984,1.5107,5.9840,0.1309,2
5.76000,1.5352,0.1586,0.8904,0.7318,1.6433,5.9857,0.3006,1
5.88000,1.3341,0.2543,0.9744,0.7201,1.7475,5.9862,0.4906,8
6.00000,1.1860,0.4863,1.0584,0.5721,1.8145,5.9854,0.2258,8
6.12000,1.1589,0.9832,1.1424,0.1592,1.8497,5.9855,0.1360,11
6.24000,1.2707,1.2941,1.2264,-0.0677,1.8206,5.9856,0.4148,16
6.36000,1.4352,1.4072,1.3104,-0.0968,1.7164,5.9848,0.3187,19
6.48000,1.6142,1.4634,1.3944,-0.0690,1.6070,5.9842,0.0622,19
6.60000,1.7894,1.5032,1.4784,-0.0248,1.5186,5.9832,0.3117,10
6.72000,1.9503,1.5325,1.5624,0.0300,1.4305,5.9824,0.3811,10
6.84000,2.0874,1.5498,1.6464,0.0966,1.3666,5.9819,0.0580,4
6.96000,2.1876,1.5637,1.7304,0.1667,1.3128,5.9812,0.2161,8
7.08000,2.2383,-1.5655,1.8144,0.2383,1.2491,5.9800,0.4389,3
7.20000,2.2309,-1.5549,1.8984,0.3117,1.1991,5.9782,0.1438,2
7.32000,2.1654,-1.5443,1.9824,0.3851,1.1646,5.9763,0.1368,0
7.44000,2.0516,-1.5308,2.0664,0.4556,1.1763,5.9757,0.4563,0
7.56000,1.9016,-1.5112,2.1504,0.5200,1.2424,5.9737,0.3086,0
7.68000,1.7289,-1.4840,2.2344,0.5768,1.3440,5.9717,0.1096,1
7.80000,1.5517,-1.4418,2.3184,0.6186,1.4362,5.9734,0.3864,2
7.92000,1.3844,-1.3706,2.4024,0.6314,1.5337,5.9748,0.4581,1
8.04000,1.2427,-1.2246,2.4864,0.5694,1.6525,5.9738,0.1424,12
8.16000,1.1587,-0.8975,2.5704,0.3263,1.7651,5.9736,0.2102,8
8.28000,1.1885,-0.4840,2.6544,-0.0032,1.8836,5.9738,0.4616,18
8.40000,1.2934,-0.2713,2.7384,-0.1319,2.0119,5.9725,0.2279,13
8.52000,1.4212,-0.1736,2.8224,-0.1455,1.9013,5.9722,0.1039,9
8.64000,1.5470,-0.1192,2.9064,-0.1160,1.6642,5.9727,0.3972,7
8.76000,1.6565,-0.0776,2.9904,-0.0735,1.4347,5.9723,0.3172,6
8.88000,1.7463,-0.0477,3.0744,-0.0194,1.3155,5.9713,0.0660,6
9.00000,1.8153,-0.0292,0.0168,0.0460,1.1629,5.9706,0.3024,4
9.12000,1.8585,-0.0170,0.1008,0.1178,1.0371,5.9698,0.3971,2
9.24000,1.8677,-0.0089,0.1848,0.1938,0.9588,5.9689,0.1023,0
9.36000,1.8442,-0.0013,0.2688,0.2701,0.8824,5.9688,0.1960,0
9.48000,1.7924,0.0159,0.3528,0.3369,0.8919,5.9684,0.4281,1
9.60000,1.7151,0.0348,0.4368,0.4020,0.9556,5.9646,0.2202,0
9.72000,1.6165,0.0580,0.5208,0.4628,1.0547,5.9627,0.1433,1
9.84000,1.5065,0.0897,0.6048,0.5151,1.1815,5.9643,0.4169,2
9.96000,1.3932,0.1401,0.6888,0.5487,1.2943,5.9634,0.3794,8
