t,Fz,Fmag,Lz
18.72000,0.29461,5.99722,-0.00004
18.84000,0.73184,5.99722,-0.00004
18.96000,1.24869,5.99722,-0.00004
19.08000,1.72443,5.99722,-0.00004
19.20000,2.04789,5.99722,-0.00004
19.32000,2.14351,5.99722,-0.00004
19.44000,1.98895,5.99722,-0.00004
19.56000,1.62032,5.99722,-0.00005
19.68000,1.12374,5.99722,-0.00005
19.80000,0.61523,5.99722,-0.00005
19.92000,0.21360,5.99722,-0.00005
20.04000,0.01267,5.99722,-0.00005
20.16000,0.05940,5.99722,-0.00005
20.28000,0.34286,5.99722,-0.00005
20.40000,0.79683,5.99722,-0.00005
20.52000,1.31524,5.99722,-0.00005
20.64000,1.77699,5.99722,-0.00005
20.76000,2.07418,5.99722,-0.00005
20.88000,2.13740,5.99722,-0.00005
21.00000,1.95185,5.99722,-0.00005
21.12000,1.56091,5.99722,-0.00005
21.24000,1.05589,5.99722,-0.00005
21.36000,0.55480,5.99722,-0.00005
21.48000,0.17470,5.99722,-0.00005
21.60000,0.00440,5.99722,-0.00005
21.72000,0.08368,5.99722,-0.00005
21.84000,0.39402,5.99722,-0.00005
21.96000,0.86292,5.99722,-0.00005
22.08000,1.38082,5.99722,-0.00005
22.20000,1.82673,5.99722,-0.00005
22.32000,2.09647,5.99722,-0.00006
22.44000,2.12702,5.99722,-0.00006
22.56000,1.91124,5.99722,-0.00006
22.68000,1.49954,5.99722,-0.00006
22.80000,0.98811,5.99722,-0.00006
22.92000,0.49644,5.99722,-0.00005
23.04000,0.13940,5.99722,-0.00005
23.16000,0.00040,5.99722,-0.00005
23.28000,0.11192,5.99722,-0.00005
23.40000,0.44790,5.99722,-0.00005
23.52000,0.92985,5.99722,-0.00005
23.64000,1.44517,5.99722,-0.00005
23.76000,1.87346,5.99722,-0.00005
23.88000,2.11466,5.99722,-0.00005
24.00000,2.11242,5.99722,-0.00005
24.12000,1.86727,5.99722,-0.00005
24.24000,1.43647,5.99722,-0.00005
24.36000,0.92067,5.99722,-0.00004
24.48000,0.44039,5.99722,-0.00004
24.60000,0.10783,5.99722,-0.00005
24.72000,0.00070,5.99722,-0.00004
24.84000,0.14401,5.99722,-0.00004
24.96000,0.50428,5.99722,-0.00004
25.08000,0.99736,5.99722,-0.00005
25.20000,1.50803,5.99722,-0.00005
25.32000,1.91699,5.99722,-0.00005
25.44000,2.12869,5.99722,-0.00005
25.56000,2.09367,5.99722,-0.00005
25.68000,1.82011,5.99722,-0.00004
25.80000,1.37193,5.99722,-0.00004
25.92000,0.85384,5.99722,-0.00004
26.04000,0.38687,5.99722,-0.00004
26.16000,0.08013,5.99722,-0.00004
26.28000,0.00528,5.99722,-0.00004
26.40000,0.17981,5.99722,-0.00004
26.52000,0.56294,5.99722,-0.00004
26.64000,1.06516,5.99722,-0.00004
26.76000,1.56914,5.99722,-0.00004
26.88000,1.95713,5.99722,-0.00004
27.00000,2.13848,5.99722,-0.00004
27.12000,2.07083,5.99722,-0.00004
27.24000,1.76997,5.99722,-0.00004
27.36000,1.30621,5.99722,-0.00004
27.48000,0.78788,5.99722,-0.00004
27.60000,0.33609,5.99722,-0.00004
27.72000,0.05639,5.99722,-0.00003
27.84000,0.01413,5.99722,-0.00004
27.96000,0.21918,5.99722,-0.00004
28.08000,0.62363,5.99722,-0.00004
28.20000,1.13300,5.99722,-0.00003
28.32000,1.62827,5.99722,-0.00003
28.44000,1.99374,5.99722,-0.00003
28.56000,2.14401,5.99722,-0.00003
28.68000,2.04399,5.99722,-0.00003
28.80000,1.71704,5.99722,-0.00003
28.92000,1.23954,5.99722,-0.00003
29.04000,0.72306,5.99722,-0.00003
29.16000,0.28826,5.99722,-0.00003
29.28000,0.03673,5.99722,-0.00002
29.40000,0.02722,5.99722,-0.00002
29.52000,0.26197,5.99722,-0.00002
29.64000,0.68613,5.99722,-0.00002
29.76000,1.20059,5.99722,-0.00003
29.88000,1.68517,5.99722,-0.00003
30.00000,2.02666,5.99722,-0.00003
