t,Fx,Fy,Fz,Fmag,Lz
0.15000,1.14171,-1.45712,5.53283,5.83429,0.16564
0.30000,3.40072,-0.80347,4.62909,5.79991,0.19924
0.45000,4.26577,2.09591,3.24593,5.75549,0.24106
0.60000,2.21914,5.04395,1.55180,5.72487,0.26631
0.75000,-1.61854,5.46785,-0.28116,5.70930,0.27580
0.90000,-4.42149,2.92226,-2.08312,5.69461,0.28760
1.05000,-4.30347,-0.47552,-3.67080,5.67633,0.30742
1.20000,-2.02216,-2.07215,-4.86627,5.66246,0.32676
1.35000,-0.13348,-1.15185,-5.53750,5.65760,0.33876
1.50000,-0.47624,0.52125,-5.61313,5.65736,0.34051
1.65000,-2.43636,0.53088,-5.08444,5.66296,0.33248
1.80000,-3.59032,-1.79505,-4.01890,5.68016,0.32694
1.95000,-2.07842,-4.65832,-2.54315,5.69977,0.33519
2.10000,1.51816,-5.43815,-0.80847,5.70367,0.34996
2.25000,4.61252,-3.18236,1.01927,5.69576,0.35348
2.40000,4.97254,0.47113,2.75178,5.70267,0.34563
2.55000,2.71886,2.80234,4.19115,5.72809,0.35386
2.70000,0.12679,2.45999,5.19488,5.74930,0.38524
2.85000,-0.52897,0.59975,5.69719,5.75304,0.41276
3.00000,0.91568,-0.32845,5.64319,5.72643,0.43864
3.15000,2.43869,1.03062,5.01160,5.66794,0.48098
3.30000,1.82544,3.61163,3.88874,5.61234,0.51382
3.45000,-1.13632,4.91101,2.39543,5.58098,0.52777
3.60000,-4.38932,3.35455,0.65765,5.56342,0.54464
3.75000,-5.42020,-0.21999,-1.14327,5.54383,0.56126
3.90000,-3.50274,-3.21649,-2.80547,5.52139,0.56492
4.05000,-0.40037,-3.57774,-4.16795,5.50748,0.56620
4.20000,1.23569,-1.67574,-5.09336,5.50248,0.56684
4.35000,0.37535,0.06608,-5.48394,5.49717,0.56410
4.50000,-1.40577,-0.40754,-5.29992,5.49831,0.56152
4.65000,-1.54745,-2.70475,-4.54649,5.51188,0.55209
4.80000,0.87492,-4.34970,-3.29323,5.52546,0.52913
4.95000,4.13886,-3.24506,-1.69398,5.52541,0.50928
5.10000,5.50530,0.20779,0.05994,5.50955,0.50805
5.25000,3.85207,3.46962,1.79264,5.48546,0.51469
5.40000,0.65035,4.28688,3.33097,5.46769,0.52415
5.55000,-1.55991,2.64440,4.51930,5.46353,0.53874
5.70000,-1.42321,0.52377,5.22580,5.44140,0.57622
5.85000,0.17090,0.07339,5.37330,5.37651,0.64214
6.00000,0.90875,1.62823,4.95527,5.29450,0.72195
6.15000,-0.64931,3.25856,4.04350,5.23352,0.78391
6.30000,-3.45893,2.73395,2.74478,5.19351,0.81594
6.45000,-5.02160,-0.17233,1.18408,5.16219,0.83542
6.60000,-3.79199,-3.44074,-0.47323,5.14217,0.84131
6.75000,-0.60807,-4.66098,-2.06831,5.13540,0.84038
6.90000,2.09095,-3.17328,-3.45804,5.13807,0.84920
7.05000,2.43018,-0.59877,-4.48633,5.13726,0.85699
7.20000,0.74851,0.63707,-5.03533,5.13036,0.85578
7.35000,-0.74066,-0.43410,-5.05278,5.12519,0.85119
7.50000,-0.09573,-2.38852,-4.53339,5.12502,0.84096
7.65000,2.42451,-2.79885,-3.54748,5.12800,0.83943
7.80000,4.57375,-0.62117,-2.22340,5.12333,0.86335
7.95000,4.25000,2.74666,-0.65926,5.10307,0.86968
8.10000,1.50854,4.75738,1.00888,5.09178,0.83089
8.25000,-1.56154,4.12735,2.54144,5.09238,0.81851
8.40000,-2.87777,1.83200,3.77641,5.08911,0.83842
8.55000,-2.09183,-0.02962,4.63103,5.08164,0.85356
8.70000,-0.67191,-0.13346,5.00522,5.05188,0.87688
8.85000,-0.45065,0.97709,4.86497,4.98255,0.91815
9.00000,-1.88129,1.47624,4.27120,4.89507,0.95230
9.15000,-3.52487,0.05916,3.28225,4.81677,0.97652
9.30000,-3.41539,-2.65696,1.98223,4.75958,0.99320
9.45000,-1.03329,-4.58844,0.50261,4.73013,0.99446
9.60000,2.10152,-4.10292,-1.02226,4.72180,1.00605
9.75000,3.74098,-1.54910,-2.43457,4.72459,1.01362
9.90000,2.91635,1.00460,-3.58687,4.73074,1.00992
10.05000,0.80792,1.64026,-4.37104,4.73806,1.00323
10.20000,-0.38281,0.33115,-4.71957,4.74664,1.00340
10.35000,0.48221,-1.10196,-4.59275,4.74765,1.00508
10.50000,2.44013,-0.76147,-3.99073,4.73919,0.99977
10.65000,3.33991,1.53716,-2.98067,4.73311,0.99533
10.80000,1.84191,4.02236,-1.67046,4.72890,0.99629
10.95000,-1.26326,4.54291,-0.18536,4.71893,0.99111
11.10000,-3.69908,2.58028,1.31640,4.69829,0.98049
11.25000,-3.82030,-0.25654,2.65465,4.65915,0.98330
11.40000,-2.08843,-1.80272,3.69055,4.60777,0.99943
11.55000,-0.46079,-1.36309,4.33039,4.56319,1.00822
11.70000,-0.41862,-0.20475,4.51345,4.53745,1.01105
11.85000,-1.58084,-0.13924,4.21550,4.50432,1.02718
12.00000,-2.20657,-1.67641,3.47543,4.44499,1.05560
12.15000,-0.97311,-3.52254,2.38885,4.36599,1.09170
12.30000,1.66130,-3.80013,1.09291,4.28898,1.11164
12.45000,3.78509,-1.87366,-0.28285,4.23291,1.12556
12.60000,3.75909,0.96855,-1.61470,4.20430,1.13779
12.75000,1.74308,2.63054,-2.76797,4.19758,1.15357
12.90000,-0.43503,2.08188,-3.62144,4.19979,1.16401
13.05000,-0.93298,0.28464,-4.09041,4.20510,1.16908
13.20000,0.40666,-0.71428,-4.12802,4.20905,1.16867
13.35000,1.91920,0.26891,-3.73563,4.20840,1.16584
13.50000,1.73517,2.41521,-2.96731,4.20107,1.17146
13.65000,-0.42742,3.69771,-1.90284,4.18050,1.17508
13.80000,-3.01179,2.77637,-0.64586,4.14684,1.17296
13.95000,-4.04945,0.19854,0.68012,4.11096,1.15841
14.10000,-2.90923,-2.13227,1.92700,4.08944,1.13614
14.25000,-0.77356,-2.70585,2.95165,4.07826,1.12908
14.40000,0.55959,-1.67345,3.65886,4.06212,1.12887
14.55000,0.30897,-0.55589,3.99292,4.04326,1.12619
14.70000,-0.60851,-0.71875,3.91747,4.02908,1.11601
14.85000,-0.57292,-1.98824,3.43543,4.01042,1.10776
15.00000,1.02235,-2.82707,2.60713,3.97928,1.10414
15.15000,3.08704,-1.91129,1.51209,3.93310,1.11306
15.30000,3.83317,0.52687,0.26613,3.87835,1.12690
15.45000,2.45749,2.77106,-0.98842,3.83341,1.14287
15.60000,-0.00318,3.16190,-2.12048,3.80711,1.16097
15.75000,-1.59556,1.67105,-3.01198,3.79608,1.17221
15.90000,-1.26775,-0.10863,-3.57325,3.79304,1.17428
16.05000,0.21773,-0.47626,-3.75822,3.79453,1.17120
16.20000,1.05138,0.81040,-3.55798,3.79755,1.17223
