t,Fz,Fmag,Lz,Jz
0.04000,0.18942,5.90676,1.24225,1.43167
0.08000,0.14350,5.90481,1.22990,1.37339
0.12000,0.09770,5.90217,1.22010,1.31780
0.16000,0.05283,5.89894,1.20828,1.26110
0.20000,0.00974,5.89515,1.19040,1.20014
0.24000,-0.03115,5.89093,1.16908,1.13793
0.28000,-0.06959,5.88634,1.14982,1.08023
0.32000,-0.10500,5.88148,1.13251,1.02750
0.36000,-0.13655,5.87624,1.11709,0.98054
0.40000,-0.16403,5.87077,1.10062,0.93659
0.44000,-0.18773,5.86507,1.07975,0.89202
0.48000,-0.20814,5.85913,1.05586,0.84772
0.52000,-0.22516,5.85317,1.03144,0.80628
0.56000,-0.23868,5.84708,1.00789,0.76921
0.60000,-0.24917,5.84059,0.98395,0.73478
0.64000,-0.25614,5.83371,0.95743,0.70129
0.68000,-0.25978,5.82668,0.92887,0.66909
0.72000,-0.26029,5.81953,0.90010,0.63982
0.76000,-0.25821,5.81238,0.86922,0.61101
0.80000,-0.25380,5.80524,0.83633,0.58252
0.84000,-0.24701,5.79790,0.80266,0.55566
0.88000,-0.23870,5.79040,0.77125,0.53255
0.92000,-0.22921,5.78277,0.74273,0.51352
0.96000,-0.21851,5.77498,0.71658,0.49807
1.00000,-0.20671,5.76701,0.68987,0.48316
1.04000,-0.19416,5.75887,0.66061,0.46646
1.08000,-0.18115,5.75073,0.62731,0.44616
1.12000,-0.16755,5.74264,0.59396,0.42642
1.16000,-0.15356,5.73466,0.56298,0.40942
1.20000,-0.13945,5.72682,0.53493,0.39548
1.24000,-0.12502,5.71907,0.50763,0.38262
1.28000,-0.11085,5.71143,0.47988,0.36903
1.32000,-0.09640,5.70392,0.45115,0.35474
1.36000,-0.08153,5.69670,0.42312,0.34158
1.40000,-0.06619,5.68954,0.39618,0.32999
1.44000,-0.05072,5.68231,0.37238,0.32167
1.48000,-0.03526,5.67522,0.35031,0.31504
1.52000,-0.01952,5.66816,0.32515,0.30563
1.56000,-0.00359,5.66106,0.29494,0.29135
1.60000,0.01253,5.65396,0.26193,0.27446
1.64000,0.02878,5.64707,0.23438,0.26317
1.68000,0.04488,5.64016,0.21378,0.25867
1.72000,0.06109,5.63317,0.19715,0.25824
1.76000,0.07712,5.62614,0.18060,0.25772
1.80000,0.09256,5.61911,0.16339,0.25594
1.84000,0.10803,5.61208,0.14579,0.25382
1.88000,0.12361,5.60492,0.12920,0.25281
1.92000,0.13928,5.59782,0.11235,0.25163
1.96000,0.15479,5.59074,0.09449,0.24928
2.00000,0.17002,5.58366,0.07469,0.24470
2.04000,0.18484,5.57671,0.05334,0.23818
2.08000,0.19947,5.56996,0.03031,0.22978
2.12000,0.21334,5.56344,0.00596,0.21930
2.16000,0.22640,5.55701,-0.01759,0.20881
2.20000,0.23861,5.55077,-0.03619,0.20242
2.24000,0.25038,5.54475,-0.04901,0.20137
2.28000,0.26150,5.53890,-0.06002,0.20147
2.32000,0.27230,5.53329,-0.07402,0.19828
2.36000,0.28250,5.52786,-0.09194,0.19056
2.40000,0.29202,5.52244,-0.11097,0.18105
2.44000,0.30046,5.51706,-0.12737,0.17309
2.48000,0.30795,5.51154,-0.14024,0.16771
2.52000,0.31501,5.50598,-0.15078,0.16423
2.56000,0.32132,5.50049,-0.15933,0.16199
2.60000,0.32658,5.49479,-0.16443,0.16215
2.64000,0.33063,5.48885,-0.16480,0.16583
2.68000,0.33379,5.48250,-0.16219,0.17160
2.72000,0.33626,5.47588,-0.15966,0.17660
2.76000,0.33754,5.46911,-0.15819,0.17936
2.80000,0.33769,5.46195,-0.15840,0.17928
2.84000,0.33654,5.45452,-0.15860,0.17794
2.88000,0.33424,5.44673,-0.16054,0.17370
2.92000,0.33078,5.43852,-0.16443,0.16635
2.96000,0.32627,5.42986,-0.16632,0.15994
3.00000,0.32011,5.42072,-0.16265,0.15746
3.04000,0.31302,5.41105,-0.15421,0.15880
3.08000,0.30516,5.40110,-0.14298,0.16219
3.12000,0.29636,5.39076,-0.13140,0.16496
3.16000,0.28681,5.38006,-0.12067,0.16613
3.20000,0.27664,5.36911,-0.11100,0.16564
3.24000,0.26580,5.35820,-0.10313,0.16267
3.28000,0.25437,5.34736,-0.09608,0.15829
3.32000,0.24268,5.33675,-0.08742,0.15526
3.36000,0.23061,5.32644,-0.07462,0.15599
3.40000,0.21812,5.31630,-0.05898,0.15914
3.44000,0.20544,5.30654,-0.04420,0.16124
3.48000,0.19248,5.29719,-0.03259,0.15989
3.52000,0.17957,5.28834,-0.02451,0.15506
3.56000,0.16645,5.28002,-0.01646,0.14999
3.60000,0.15306,5.27215,-0.00663,0.14642
