t,Fz,Fmag,Lz,Jz
3.64000,0.13957,5.26478,0.00349,0.14306
3.68000,0.12634,5.25779,0.01089,0.13723
3.72000,0.11355,5.25134,0.01484,0.12839
3.76000,0.10123,5.24530,0.02093,0.12216
3.80000,0.08915,5.23959,0.03214,0.12129
3.84000,0.07778,5.23423,0.04417,0.12196
3.88000,0.06707,5.22921,0.05201,0.11908
3.92000,0.05683,5.22447,0.05558,0.11241
3.96000,0.04713,5.22008,0.05927,0.10639
4.00000,0.03813,5.21601,0.06515,0.10328
4.04000,0.02953,5.21216,0.07369,0.10322
4.08000,0.02174,5.20851,0.08364,0.10538
4.12000,0.01483,5.20486,0.09131,0.10615
4.16000,0.00841,5.20119,0.09524,0.10365
4.20000,0.00259,5.19765,0.09770,0.10029
4.24000,-0.00265,5.19421,0.10175,0.09910
4.28000,-0.00748,5.19077,0.10747,0.09999
4.32000,-0.01181,5.18734,0.11000,0.09820
4.36000,-0.01588,5.18384,0.10821,0.09233
4.40000,-0.01952,5.18041,0.10399,0.08447
4.44000,-0.02265,5.17713,0.10206,0.07941
4.48000,-0.02519,5.17384,0.10247,0.07728
4.52000,-0.02722,5.17061,0.10084,0.07362
4.56000,-0.02872,5.16742,0.09449,0.06577
4.60000,-0.02985,5.16422,0.08494,0.05510
4.64000,-0.03037,5.16105,0.07570,0.04533
4.68000,-0.03046,5.15791,0.06934,0.03888
4.72000,-0.03006,5.15487,0.06420,0.03414
4.76000,-0.02911,5.15189,0.05653,0.02742
4.80000,-0.02754,5.14909,0.04493,0.01739
4.84000,-0.02533,5.14626,0.03147,0.00614
4.88000,-0.02291,5.14345,0.01984,-0.00307
4.92000,-0.02005,5.14070,0.01152,-0.00854
4.96000,-0.01699,5.13792,0.00258,-0.01441
5.00000,-0.01362,5.13504,-0.00943,-0.02305
