t,Fx,Fy,Fz,Fmag,Lz
22.00000,1.40738,-0.02450,2.90579,3.22877,-1.45441
22.25000,1.35875,-0.17313,2.93582,3.23963,-1.51681
22.50000,1.30264,-0.31024,2.96654,3.25476,-1.57888
22.75000,1.24231,-0.44244,2.99376,3.27134,-1.63700
23.00000,1.17678,-0.57388,3.01628,3.28817,-1.69025
23.25000,1.10530,-0.70648,3.03345,3.30494,-1.73827
23.50000,1.02684,-0.84082,3.04521,3.32185,-1.78104
23.75000,0.93782,-0.97466,3.05074,3.33713,-1.81771
24.00000,0.83494,-1.10464,3.04831,3.34807,-1.84666
24.25000,0.71557,-1.22831,3.03811,3.35423,-1.86857
24.50000,0.57731,-1.34125,3.02382,3.35793,-1.88741
24.75000,0.41995,-1.43571,3.00907,3.36038,-1.90514
25.00000,0.24890,-1.50423,2.99472,3.36050,-1.92290
25.25000,0.07252,-1.54347,2.97982,3.35662,-1.93957
25.50000,-0.10310,-1.55350,2.96351,3.34759,-1.95543
25.75000,-0.27485,-1.53716,2.94565,3.33395,-1.96989
26.00000,-0.44021,-1.49818,2.92815,3.31849,-1.98635
26.25000,-0.59854,-1.43913,2.91225,3.30311,-2.00538
26.50000,-0.75283,-1.36192,2.89716,3.28864,-2.02460
26.75000,-0.90609,-1.26996,2.88100,3.27627,-2.04457
27.00000,-1.05873,-1.16196,2.86245,3.26568,-2.06088
27.25000,-1.20714,-1.03455,2.84077,3.25537,-2.07504
27.50000,-1.34753,-0.88524,2.81633,3.24518,-2.08611
27.75000,-1.47345,-0.71302,2.79118,3.23576,-2.09642
28.00000,-1.57913,-0.52157,2.76556,3.22707,-2.10651
28.25000,-1.66072,-0.31620,2.73814,3.21798,-2.11560
28.50000,-1.71520,-0.10415,2.70862,3.20770,-2.12273
28.75000,-1.74158,0.10801,2.67774,3.19610,-2.12896
29.00000,-1.73578,0.31951,2.64779,3.18211,-2.13711
29.25000,-1.69401,0.52924,2.62312,3.16710,-2.14992
29.50000,-1.61835,0.73491,2.60425,3.15298,-2.16872
29.75000,-1.51363,0.93495,2.58815,3.14066,-2.19169
30.00000,-1.38339,1.12458,2.57255,3.12993,-2.21462
30.25000,-1.23008,1.29856,2.55901,3.12216,-2.24072
30.50000,-1.05672,1.45120,2.54404,3.11364,-2.26607
30.75000,-0.86807,1.57837,2.52535,3.10196,-2.28841
31.00000,-0.66838,1.68138,2.50362,3.08899,-2.30653
31.25000,-0.46154,1.76157,2.47941,3.07630,-2.32183
31.50000,-0.25019,1.81903,2.45376,3.06471,-2.33490
31.75000,-0.03251,1.85132,2.42798,3.05344,-2.34877
32.00000,0.19030,1.85502,2.40476,3.04306,-2.36547
32.25000,0.41090,1.82924,2.38402,3.03290,-2.38439
