t,AR,ell_angle,field_angle,lag,Lz,Fmag,Fz,Nv
0.12000,1.4771,0.0002,0.0480,0.0478,0.0034,5.9997,0.1907,0
0.24000,1.4787,0.0009,0.0960,0.0951,0.0121,5.9995,0.2639,0
0.36000,1.4810,0.0027,0.1440,0.1413,0.0303,5.9993,0.0328,0
0.48000,1.4835,0.0064,0.1920,0.1856,0.0496,5.9994,0.1012,0
0.60000,1.4857,0.0119,0.2400,0.2281,0.0723,5.9994,0.2826,0
0.72000,1.4865,0.0198,0.2880,0.2682,0.1025,5.9985,0.1131,0
0.84000,1.4848,0.0304,0.3360,0.3056,0.1328,5.9983,0.0423,0
0.96000,1.4803,0.0439,0.3840,0.3401,0.1616,5.9993,0.2423,0
1.08000,1.4722,0.0604,0.4320,0.3716,0.1951,5.9981,0.2002,0
1.20000,1.4592,0.0804,0.4800,0.3996,0.2289,5.9969,0.0410,0
1.32000,1.4416,0.1046,0.5280,0.4234,0.2593,5.9985,0.1673,0
1.44000,1.4195,0.1333,0.5760,0.4427,0.2928,5.9985,0.2541,0
1.56000,1.3929,0.1682,0.6240,0.4558,0.3293,5.9963,0.0958,0
1.68000,1.3626,0.2112,0.6720,0.4608,0.3632,5.9973,0.0955,0
1.80000,1.3305,0.2647,0.7200,0.4553,0.3979,5.9988,0.2502,0
1.92000,1.2984,0.3325,0.7680,0.4355,0.4367,5.9970,0.1781,0
2.04000,1.2690,0.4196,0.8160,0.3964,0.4741,5.9965,0.0634,0
2.16000,1.2468,0.5295,0.8640,0.3345,0.5074,5.9986,0.1925,0
2.28000,1.2366,0.6601,0.9120,0.2519,0.5420,5.9981,0.2440,0
2.40000,1.2424,0.8011,0.9600,0.1589,0.5777,5.9966,0.0865,0
2.52000,1.2657,0.9363,1.0080,0.0717,0.6071,5.9980,0.1150,0
2.64000,1.3053,1.0529,1.0560,0.0031,0.6324,5.9989,0.2610,0
2.76000,1.3584,1.1492,1.1040,-0.0452,0.6610,5.9971,0.1477,0
2.88000,1.4228,1.2280,1.1520,-0.0760,0.6846,5.9976,0.0580,0
3.00000,1.4965,1.2923,1.2000,-0.0923,0.7002,5.9991,0.2276,0
3.12000,1.5773,1.3450,1.2480,-0.0970,0.7208,5.9979,0.2116,0
3.24000,1.6633,1.3893,1.2960,-0.0933,0.7435,5.9977,0.0399,0
3.36000,1.7513,1.4273,1.3440,-0.0833,0.7614,5.9991,0.1662,0
