t,Fz,Fmag,Lz
0.12000,0.11009,5.99722,0.00007
0.24000,0.41482,5.99722,0.00008
0.36000,0.84352,5.99722,0.00008
0.48000,1.29677,5.99722,0.00008
0.60000,1.66945,5.99722,0.00008
0.72000,1.87515,5.99722,0.00008
0.84000,1.86616,5.99722,0.00008
0.96000,1.64456,5.99722,0.00008
1.08000,1.26175,5.99722,0.00008
1.20000,0.80650,5.99722,0.00008
1.32000,0.38438,5.99722,0.00008
1.44000,0.09329,5.99722,0.00008
1.56000,0.00074,5.99722,0.00008
1.68000,0.12818,5.99722,0.00008
1.80000,0.44606,5.99722,0.00008
1.92000,0.88066,5.99722,0.00007
2.04000,1.33121,5.99722,0.00007
2.16000,1.69320,5.99722,0.00007
2.28000,1.88270,5.99722,0.00007
2.40000,1.85576,5.99722,0.00007
2.52000,1.61863,5.99722,0.00007
2.64000,1.22629,5.99722,0.00007
2.76000,0.76974,5.99722,0.00007
2.88000,0.35485,5.99722,0.00007
3.00000,0.07783,5.99722,0.00007
3.12000,0.00293,5.99722,0.00007
3.24000,0.14752,5.99722,0.00007
3.36000,0.47807,5.99722,0.00007
3.48000,0.91791,5.99722,0.00007
3.60000,1.36506,5.99722,0.00007
3.72000,1.71581,5.99722,0.00007
3.84000,1.88882,5.99722,0.00007
3.96000,1.84397,5.99722,0.00007
4.08000,1.59166,5.99722,0.00007
4.20000,1.19040,5.99722,0.00007
4.32000,0.73325,5.99722,0.00006
4.44000,0.32623,5.99722,0.00006
4.56000,0.06371,5.99722,0.00006
4.68000,0.00659,5.99722,0.00006
4.80000,0.16811,5.99722,0.00006
4.92000,0.51081,5.99722,0.00006
5.04000,0.95521,5.99722,0.00006
5.16000,1.39827,5.99722,0.00006
5.28000,1.73722,5.99722,0.00006
5.40000,1.89348,5.99722,0.00006
5.52000,1.83079,5.99722,0.00006
5.64000,1.56370,5.99722,0.00006
5.76000,1.15414,5.99722,0.00006
5.88000,0.69711,5.99722,0.00006
6.00000,0.29857,5.99722,0.00005
6.12000,0.05097,5.99722,0.00005
6.24000,0.01171,5.99722,0.00005
6.36000,0.18990,5.99722,0.00005
6.48000,0.54422,5.99722,0.00004
6.60000,0.99250,5.99722,0.00004
6.72000,1.43079,5.99722,0.00004
6.84000,1.75743,5.99722,0.00004
6.96000,1.89668,5.99722,0.00004
7.08000,1.81625,5.99722,0.00004
7.20000,1.53479,5.99722,0.00004
7.32000,1.11757,5.99722,0.00004
7.44000,0.66135,5.99722,0.00004
7.56000,0.27192,5.99722,0.00004
7.68000,0.03960,5.99722,0.00004
7.80000,0.01827,5.99722,0.00004
7.92000,0.21287,5.99722,0.00004
8.04000,0.57827,5.99722,0.00004
8.16000,1.02973,5.99722,0.00003
8.28000,1.46256,5.99722,0.00003
8.40000,1.77638,5.99722,0.00003
8.52000,1.89842,5.99722,0.00003
8.64000,1.80037,5.99722,0.00003
8.76000,1.50497,5.99722,0.00002
8.88000,1.08073,5.99722,0.00002
9.00000,0.62603,5.99722,0.00002
9.12000,0.24632,5.99722,0.00001
9.24000,0.02965,5.99722,0.00001
9.36000,0.02627,5.99722,0.00001
9.48000,0.23697,5.99722,0.00000
9.60000,0.61288,5.99722,0.00000
9.72000,1.06683,5.99722,0.00000
9.84000,1.49354,5.99722,-0.00000
9.96000,1.79406,5.99722,-0.00000
10.08000,1.89870,5.99722,-0.00001
10.20000,1.78318,5.99722,-0.00001
10.32000,1.47430,5.99722,-0.00001
10.44000,1.04369,5.99722,-0.00001
10.56000,0.59121,5.99722,-0.00001
10.68000,0.22180,5.99722,-0.00001
10.80000,0.02111,5.99722,-0.00002
10.92000,0.03570,5.99722,-0.00002
11.04000,0.26217,5.99722,-0.00002
11.16000,0.64801,5.99722,-0.00002
11.28000,1.10375,5.99722,-0.00002
11.40000,1.52368,5.99722,-0.00002
11.52000,1.81043,5.99722,-0.00002
11.64000,1.89751,5.99722,-0.00002
11.76000,1.76470,5.99722,-0.00002
11.88000,1.44282,5.99722,-0.00002
12.00000,1.00651,5.99722,-0.00002
12.12000,0.55695,5.99722,-0.00002
12.24000,0.19840,5.99722,-0.00002
12.36000,0.01401,5.99722,-0.00002
12.48000,0.04653,5.99722,-0.00003
12.60000,0.28843,5.99722,-0.00003
12.72000,0.68361,5.99722,-0.00003
12.84000,1.14043,5.99722,-0.00003
12.96000,1.55294,5.99722,-0.00003
13.08000,1.82548,5.99722,-0.00003
13.20000,1.89485,5.99722,-0.00003
13.32000,1.74496,5.99722,-0.00003
13.44000,1.41058,5.99722,-0.00004
13.56000,0.96924,5.99722,-0.00004
13.68000,0.52329,5.99722,-0.00004
13.80000,0.17616,5.99722,-0.00004
13.92000,0.00835,5.99722,-0.00004
14.04000,0.05876,5.99722,-0.00004
14.16000,0.31572,5.99722,-0.00004
14.28000,0.71962,5.99722,-0.00004
14.40000,1.17681,5.99722,-0.00005
14.52000,1.58126,5.99722,-0.00005
14.64000,1.83917,5.99722,-0.00005
14.76000,1.89074,5.99722,-0.00004
14.88000,1.72400,5.99722,-0.00004
15.00000,1.37762,5.99722,-0.00004
15.12000,0.93194,5.99722,-0.00004
15.24000,0.49030,5.99722,-0.00004
15.36000,0.15512,5.99722,-0.00004
15.48000,0.00414,5.99722,-0.00004
15.60000,0.07236,5.99722,-0.00004
15.72000,0.34398,5.99722,-0.00004
15.84000,0.75599,5.99722,-0.00004
15.96000,1.21285,5.99722,-0.00004
16.08000,1.60861,5.99722,-0.00004
16.20000,1.85149,5.99722,-0.00004
16.32000,1.88517,5.99722,-0.00004
16.44000,1.70184,5.99722,-0.00004
16.56000,1.34401,5.99722,-0.00004
16.68000,0.89466,5.99722,-0.00004
16.80000,0.45800,5.99722,-0.00004
16.92000,0.13530,5.99722,-0.00004
17.04000,0.00139,5.99722,-0.00004
17.16000,0.08732,5.99722,-0.00004
17.28000,0.37317,5.99722,-0.00004
17.40000,0.79265,5.99722,-0.00004
17.52000,1.24847,5.99722,-0.00004
17.64000,1.63494,5.99722,-0.00004
17.76000,1.86242,5.99722,-0.00004
17.88000,1.87816,5.99722,-0.00004
18.00000,1.67852,5.99722,-0.00004
18.12000,1.30978,5.99722,-0.00004
18.24000,0.85747,5.99722,-0.00004
18.36000,0.42647,5.99722,-0.00004
18.48000,0.11674,5.99722,-0.00004
18.60000,0.00011,5.99722,-0.00004
18.72000,0.10361,5.99722,-0.00004
18.84000,0.40326,5.99722,-0.00004
18.96000,0.82955,5.99722,-0.00004
19.08000,1.28364,5.99722,-0.00004
19.20000,1.66021,5.99722,-0.00004
19.32000,1.87193,5.99722,-0.00004
19.44000,1.86971,5.99722,-0.00004
19.56000,1.65407,5.99722,-0.00005
19.68000,1.27500,5.99722,-0.00005
19.80000,0.82042,5.99722,-0.00005
