t,AR,ell_angle,field_angle,lag,Lz,Fmag,Fz,Nv
0.12000,1.4771,0.0003,0.1140,0.1137,0.0046,5.9996,0.4526,0
0.24000,1.4783,0.0014,0.2280,0.2266,0.0250,5.9989,0.6257,0
0.36000,1.4778,0.0055,0.3420,0.3365,0.0661,5.9976,0.0807,0
0.48000,1.4734,0.0136,0.4560,0.4424,0.1092,5.9984,0.2420,0
0.60000,1.4639,0.0263,0.5700,0.5437,0.1587,5.9986,0.6823,0
0.72000,1.4451,0.0448,0.6840,0.6392,0.2200,5.9951,0.2935,0
0.84000,1.4136,0.0713,0.7980,0.7267,0.2811,5.9952,0.0964,0
0.96000,1.3710,0.1087,0.9120,0.8033,0.3421,5.9981,0.5900,0
1.08000,1.3189,0.1627,1.0260,0.8633,0.4096,5.9963,0.5449,0
1.20000,1.2596,0.2461,1.1400,0.8939,0.4773,5.9952,0.0957,0
1.32000,1.2027,0.3853,1.2540,0.8687,0.5413,5.9972,0.3638,0
1.44000,1.1671,0.6168,1.3680,0.7512,0.6079,5.9971,0.6719,0
1.56000,1.1778,0.9074,1.4820,0.5746,0.6837,5.9962,0.2421,0
1.68000,1.2392,1.1348,1.5960,0.4612,0.7641,5.9967,0.1412,0
1.80000,1.3360,1.2788,1.7100,0.4312,0.8404,5.9967,0.6020,0
1.92000,1.4575,1.3732,1.8240,0.4508,0.9083,5.9961,0.4292,0
2.04000,1.5978,1.4397,1.9380,0.4983,0.9621,5.9960,0.0523,0
2.16000,1.7515,1.4892,2.0520,0.5628,0.9926,5.9955,0.4243,2
2.28000,1.9092,1.5268,2.1660,0.6392,0.9939,5.9949,0.5686,2
2.40000,2.0476,1.5564,2.2800,0.7236,0.9957,5.9937,0.1255,2
2.52000,2.1358,-1.5596,2.3940,0.8120,1.0177,5.9935,0.2527,2
2.64000,2.1504,-1.5354,2.5080,0.9018,1.0701,5.9939,0.6711,0
2.76000,2.0765,-1.5093,2.6220,0.9897,1.1780,5.9945,0.4026,0
2.88000,1.9247,-1.4774,2.7360,1.0718,1.3120,5.9959,0.1451,0
3.00000,1.7317,-1.4344,2.8500,1.1428,1.4486,5.9957,0.5375,0
3.12000,1.5328,-1.3692,2.9640,1.1916,1.5721,5.9959,0.6379,0
3.24000,1.3523,-1.2553,3.0780,1.1917,1.6548,5.9968,0.1794,0
3.36000,1.2184,-1.0166,0.0504,1.0670,1.6608,5.9960,0.2386,0
3.48000,1.1940,-0.5859,0.1644,0.7503,1.5886,5.9957,0.6412,6
3.60000,1.2980,-0.2685,0.2784,0.5469,1.4238,5.9965,0.3524,9
3.72000,1.4711,-0.1244,0.3924,0.5168,1.1873,5.9958,0.0661,16
3.84000,1.6828,-0.0581,0.5064,0.5645,0.9846,5.9938,0.4870,12
3.96000,1.9125,-0.0215,0.6204,0.6419,0.8038,5.9928,0.4909,6
4.08000,2.1258,-0.0001,0.7344,0.7345,0.7142,5.9896,0.0559,0
4.20000,2.2717,0.0154,0.8484,0.8330,0.6513,5.9843,0.3361,2
4.32000,2.3066,0.0292,0.9624,0.9332,0.6652,5.9834,0.6601,0
4.44000,2.2106,0.0430,1.0764,1.0334,0.7172,5.9855,0.3079,0
4.56000,2.0179,0.0610,1.1904,1.1294,0.7930,5.9863,0.2133,0
4.68000,1.7876,0.0855,1.3044,1.2189,0.8935,5.9867,0.6169,0
4.80000,1.5609,0.1229,1.4184,1.2955,0.9625,5.9870,0.5604,0
4.92000,1.3586,0.1937,1.5324,1.3387,1.0219,5.9872,0.1550,0
5.04000,1.1943,0.3580,1.6464,1.2884,1.0611,5.9872,0.3276,6
5.16000,1.1127,0.8538,1.7604,0.9066,1.1003,5.9867,0.6251,12
5.28000,1.1947,1.3350,1.8744,0.5394,1.0647,5.9858,0.2971,16
5.40000,1.3492,1.4784,1.9884,0.5100,0.9608,5.9844,0.1345,24
5.52000,1.5242,1.5333,2.1024,0.5691,0.8405,5.9824,0.5033,20
5.64000,1.7021,1.5588,2.2164,0.6576,0.7290,5.9800,0.4266,8
5.76000,1.8558,-1.5691,2.3304,0.7579,0.6505,5.9762,0.0838,14
5.88000,1.9506,-1.5603,2.4444,0.8631,0.6149,5.9697,0.3409,7
6.00000,1.9645,-1.5523,2.5584,0.9692,0.6347,5.9666,0.5784,2
6.12000,1.8931,-1.5414,2.6724,1.0722,0.7018,5.9690,0.3287,0
6.24000,1.7588,-1.5265,2.7864,1.1713,0.7674,5.9718,0.2832,0
6.36000,1.5980,-1.5034,2.9004,1.2622,0.8081,5.9724,0.5626,0
6.48000,1.4369,-1.4631,3.0144,1.3359,0.8393,5.9722,0.5009,4
6.60000,1.2885,-1.3851,3.1284,1.3719,0.8598,5.9723,0.2212,2
6.72000,1.1617,-1.2191,0.1008,1.3199,0.8965,5.9722,0.3552,6
6.84000,1.0905,-0.7393,0.2148,0.9541,0.9141,5.9718,0.5550,18
6.96000,1.1521,-0.2367,0.3288,0.5655,0.8529,5.9713,0.3210,16
7.08000,1.2710,-0.0806,0.4428,0.5235,0.7136,5.9705,0.2111,32
7.20000,1.4041,-0.0278,0.5568,0.5846,0.5749,5.9695,0.4744,24
7.32000,1.5379,-0.0059,0.6708,0.6767,0.4968,5.9680,0.4246,18
7.44000,1.6548,0.0066,0.7848,0.7783,0.4937,5.9638,0.1514,14
7.56000,1.7331,0.0165,0.8988,0.8823,0.4851,5.9569,0.3144,6
7.68000,1.7557,0.0273,1.0128,0.9855,0.5313,5.9546,0.5237,2
7.80000,1.7156,0.0390,1.1268,1.0878,0.5918,5.9566,0.3599,1
7.92000,1.6240,0.0550,1.2408,1.1858,0.6764,5.9588,0.3213,0
8.04000,1.5040,0.0803,1.3548,1.2745,0.7295,5.9599,0.5208,0
8.16000,1.3771,0.1250,1.4688,1.3438,0.7294,5.9598,0.4665,0
8.28000,1.2545,0.1984,1.5828,1.3845,0.7365,5.9597,0.2600,0
8.40000,1.1474,0.3568,1.6968,1.3400,0.7772,5.9595,0.3698,8
8.52000,1.0825,0.7953,1.8108,1.0155,0.7562,5.9596,0.5077,7
8.64000,1.1278,1.2982,1.9248,0.6266,0.7048,5.9593,0.3211,12
8.76000,1.2237,1.4589,2.0388,0.5800,0.6495,5.9584,0.2555,28
8.88000,1.3277,1.5282,2.1528,0.6246,0.5717,5.9578,0.4523,29
9.00000,1.4300,1.5671,2.2668,0.6997,0.5282,5.9570,0.3982,18
