t,Fz,Fmag,Lz
16.80000,0.89140,5.42146,1.54334
16.92000,0.85421,5.42205,1.48215
17.04000,0.81404,5.41940,1.37460
17.16000,0.77609,5.41702,1.27611
17.28000,0.74545,5.41479,1.17040
17.40000,0.72816,5.41110,1.05284
17.52000,0.73209,5.40408,0.96116
17.64000,0.77175,5.39220,0.89116
17.76000,0.85041,5.37863,0.88496
17.88000,0.96031,5.36620,0.89460
18.00000,1.08124,5.35815,0.93680
18.12000,1.18421,5.35510,0.97640
18.24000,1.24555,5.35644,1.06318
18.36000,1.25190,5.35943,1.13400
18.48000,1.20086,5.36176,1.18688
18.60000,1.10073,5.36151,1.23575
18.72000,0.96611,5.35943,1.29737
18.84000,0.82318,5.35759,1.28084
18.96000,0.70156,5.35695,1.20160
19.08000,0.62919,5.35462,1.09894
19.20000,0.61491,5.35345,1.01351
19.32000,0.65760,5.35256,0.88461
19.44000,0.74140,5.35050,0.76958
19.56000,0.84126,5.34745,0.67614
19.68000,0.93259,5.34137,0.60020
19.80000,1.00220,5.33263,0.55322
19.92000,1.04148,5.32275,0.54144
20.04000,1.05596,5.31362,0.59994
20.16000,1.05409,5.30835,0.66739
20.28000,1.04192,5.30636,0.76142
20.40000,1.02481,5.30686,0.88306
20.52000,1.00708,5.30787,0.97381
20.64000,0.98876,5.30758,1.04672
20.76000,0.96825,5.30708,1.08805
20.88000,0.93858,5.30736,1.13369
21.00000,0.89665,5.30701,1.11989
21.12000,0.84509,5.30682,1.09745
21.24000,0.79233,5.30602,1.04179
21.36000,0.74702,5.30453,0.99532
21.48000,0.71793,5.30171,0.91832
21.60000,0.71611,5.29592,0.85613
21.72000,0.74932,5.28577,0.77516
21.84000,0.81561,5.27405,0.71556
21.96000,0.90274,5.26250,0.72364
22.08000,0.99608,5.25298,0.74427
22.20000,1.07571,5.24766,0.78099
22.32000,1.13052,5.24709,0.81591
22.44000,1.14712,5.24938,0.87247
22.56000,1.12427,5.25173,0.94540
22.68000,1.06782,5.25248,1.01148
22.80000,0.98875,5.25037,1.08195
22.92000,0.90004,5.24673,1.13262
23.04000,0.81534,5.24549,1.14669
23.16000,0.74945,5.24559,1.12910
23.28000,0.71413,5.24502,1.12334
23.40000,0.71098,5.24401,1.10352
23.52000,0.73479,5.24308,1.08192
23.64000,0.77695,5.24110,1.00752
23.76000,0.82811,5.23868,0.95979
23.88000,0.87844,5.23305,0.93066
24.00000,0.93021,5.22534,0.90658
24.12000,0.97915,5.21816,0.91229
24.24000,1.01297,5.21410,0.93754
24.36000,1.02352,5.21218,0.97254
24.48000,1.01515,5.21243,1.00425
24.60000,0.99506,5.21224,1.04590
24.72000,0.97449,5.21075,1.11417
24.84000,0.95791,5.20954,1.16406
24.96000,0.94447,5.20881,1.19191
25.08000,0.92273,5.20807,1.21193
25.20000,0.88112,5.20722,1.19944
25.32000,0.82239,5.20580,1.18275
25.44000,0.76475,5.20320,1.17212
25.56000,0.72919,5.19912,1.15073
25.68000,0.72607,5.19436,1.11734
25.80000,0.75760,5.19033,1.06613
25.92000,0.81216,5.18626,1.04554
26.04000,0.87701,5.17957,1.05564
26.16000,0.93815,5.17145,1.05646
26.28000,0.98652,5.16491,1.06858
26.40000,1.01624,5.16142,1.09253
26.52000,1.02639,5.16076,1.12533
26.64000,1.02028,5.16219,1.16249
26.76000,1.00305,5.16330,1.22245
26.88000,0.97982,5.16381,1.27495
27.00000,0.94986,5.16382,1.30856
27.12000,0.91075,5.16269,1.34514
27.24000,0.86436,5.15985,1.36033
27.36000,0.81686,5.15735,1.35520
27.48000,0.78054,5.15596,1.33898
27.60000,0.76509,5.15485,1.28876
27.72000,0.77265,5.15473,1.29188
27.84000,0.79632,5.15461,1.31712
27.96000,0.82582,5.15331,1.32237
28.08000,0.85188,5.14953,1.29113
28.20000,0.87223,5.14400,1.27792
28.32000,0.89215,5.13744,1.26196
28.44000,0.91465,5.13275,1.25024
28.56000,0.93855,5.13069,1.23028
28.68000,0.96110,5.13070,1.24495
28.80000,0.97871,5.13222,1.28494
28.92000,0.98786,5.13261,1.33482
29.04000,0.98570,5.13211,1.35912
29.16000,0.97025,5.13022,1.36703
29.28000,0.94139,5.12832,1.37114
29.40000,0.90033,5.12658,1.36710
29.52000,0.85390,5.12561,1.34263
29.64000,0.80986,5.12480,1.30602
29.76000,0.77684,5.12448,1.27753
29.88000,0.75881,5.12448,1.26146
30.00000,0.75405,5.12392,1.23496
