t_ms,N,N0
86.95648,267400,203191
87.29883,267139,203139
87.64117,266878,202474
87.98352,266618,201907
88.32587,266359,201664
88.66822,266101,201542
89.01057,265846,201208
89.35292,265592,201011
89.69526,265338,201210
90.03761,265084,200787
90.37996,264830,200913
90.72231,264576,200723
91.06466,264323,200293
91.40701,264071,199774
91.74935,263820,199782
92.09170,263571,199652
92.43405,263324,199449
92.77640,263076,199208
93.11875,262828,198776
93.46110,262580,198979
93.80344,262332,198988
94.14579,262086,198746
94.48814,261840,198434
94.83049,261597,197858
95.17284,261354,197368
95.51519,261112,197574
95.85753,260870,197351
96.19988,260628,197062
96.54223,260387,197024
96.88458,260146,196964
97.22693,259905,196629
97.56928,259666,196796
97.91162,259429,196228
98.25397,259192,195845
98.59632,258956,195609
98.93867,258720,195451
99.28102,258485,195479
99.62337,258249,195278
99.96571,258014,195133
100.30806,257780,194928
100.65041,257547,194753
100.99276,257316,194500
101.33511,257085,194488
101.67746,256855,194241
102.01980,256625,194096
102.36215,256395,193725
102.70450,256165,193181
103.04685,255936,193371
103.38920,255708,193386
103.73155,255482,193285
104.07389,255256,192981
104.41624,255031,192871
104.75859,254807,192640
105.10094,254582,192650
105.44329,254358,192137
105.78564,254134,191551
106.12798,253911,191672
106.47033,253689,191647
106.81268,253468,191288
107.15503,253248,190944
107.49738,253029,191265
107.83973,252810,191041
108.18207,252591,190555
108.52442,252373,190405
108.86677,252154,190242
109.20912,251937,190083
109.55147,251721,189950
109.89382,251506,189733
110.23616,251291,189528
110.57851,251078,189367
110.92086,250864,189084
111.26321,250650,188654
111.60556,250437,188739
111.94791,250224,188739
112.29025,250013,188489
112.63260,249802,188304
112.97495,249592,188190
113.31730,249383,187943
113.65965,249174,187970
114.00200,248965,187692
114.34434,248757,187090
114.68669,248550,187062
115.02904,248343,187057
115.37139,248136,186761
115.71374,247931,186674
116.05609,247726,186413
116.39843,247522,186330
116.74078,247318,186332
117.08313,247115,186052
117.42548,246911,186203
117.76783,246709,185653
118.11018,246507,185144
118.45252,246306,184944
118.79487,246106,185042
119.13722,245907,184915
119.47957,245707,185023
119.82192,245508,184735
120.16427,245310,184515
120.50661,245112,184470
120.84896,244915,184349
121.19131,244718,184202
121.53366,244522,183824
121.87601,244327,183358
122.21836,244132,183430
122.56070,243937,183134
122.90305,243743,183025
123.24540,243549,183111
123.58775,243356,182986
123.93010,243165,182997
124.27245,242973,182817
124.61479,242782,182483
124.95714,242592,182356
125.29949,242401,182163
125.64184,242212,181610
125.98419,242022,181633
126.32654,241833,181480
126.66888,241645,181368
127.01123,241458,181434
127.35358,241272,181354
127.69593,241086,181032
128.03828,240901,180983
128.38063,240715,180574
128.72297,240529,180196
129.06532,240345,180124
129.40767,240161,180094
129.75002,239978,179942
130.09237,239795,179883
130.43472,239614,179743
130.77706,239432,179593
131.11941,239251,179302
131.46176,239070,178931
131.80411,238890,178745
132.14646,238710,178758
132.48881,238530,178876
132.83115,238351,178638
133.17350,238173,178500
133.51585,237995,178349
133.85820,237818,178162
134.20055,237642,178208
134.54290,237466,177892
134.88524,237290,177888
135.22759,237115,177551
135.56994,236939,177307
135.91229,236765,177038
136.25464,236591,176923
136.59699,236418,176690
136.93933,236246,176790
137.28168,236074,176636
137.62403,235903,176603
137.96638,235732,176528
138.30873,235561,176340
138.65108,235390,176285
138.99342,235220,175781
139.33577,235051,175375
139.67812,234882,175143
140.02047,234714,175378
140.36282,234546,175220
140.70517,234379,175185
141.04751,234213,175107
141.38986,234046,175100
141.73221,233880,174742
142.07456,233714,174425
142.41691,233549,174320
142.75926,233385,174367
143.10160,233221,174198
143.44395,233057,174194
143.78630,232895,173936
144.12865,232733,173793
144.47100,232571,173744
144.81335,232409,173620
145.15569,232247,173561
145.49804,232086,173212
145.84039,231925,173099
146.18274,231765,173016
146.52509,231607,172820
146.86744,231448,172628
147.20978,231290,172565
147.55213,231133,172648
147.89448,230975,172481
148.23683,230817,172362
148.57918,230660,172347
148.92153,230504,172131
149.26387,230348,171752
149.60622,230193,171583
149.94857,230039,171499
150.29092,229885,171380
150.63327,229732,171416
150.97562,229578,171224
151.31796,229424,171049
151.66031,229271,171001
152.00266,229119,170831
152.34501,228968,170464
152.68736,228817,170493
153.02971,228666,170170
153.37205,228517,170188
153.71440,228367,170195
154.05675,228218,170123
154.39910,228069,169900
154.74145,227920,169622
155.08380,227772,169559
155.42614,227624,169352
155.76849,227476,169379
156.11084,227330,169563
156.45319,227184,169432
156.79554,227039,169122
157.13789,226894,168896
157.48023,226749,168865
157.82258,226604,168887
158.16493,226459,168750
158.50728,226315,168667
158.84963,226172,168655
159.19198,226029,168234
159.53432,225887,168280
159.87667,225745,168370
160.21902,225604,168259
160.56137,225463,167969
160.90372,225322,167719
161.24607,225182,167522
161.58841,225042,167674
