t_ms,N,N0
86.95648,285210,219267
87.29883,285017,219119
87.64117,284824,218925
87.98352,284633,218623
88.32587,284445,218624
88.66822,284260,218531
89.01057,284078,218721
89.35292,283897,218735
89.69526,283717,218274
90.03761,283534,218062
90.37996,283350,217841
90.72231,283164,217592
91.06466,282978,217648
91.40701,282792,217419
91.74935,282609,217253
92.09170,282428,217327
92.43405,282250,217151
92.77640,282074,217024
93.11875,281899,216760
93.46110,281724,216475
93.80344,281547,216392
94.14579,281369,216188
94.48814,281190,216135
94.83049,281010,216009
95.17284,280831,216154
95.51519,280655,216000
95.85753,280480,215883
96.19988,280308,215624
96.54223,280138,215564
96.88458,279969,215471
97.22693,279799,215031
97.56928,279628,214919
97.91162,279456,214636
98.25397,279283,214814
98.59632,279110,214473
98.93867,278938,214297
99.28102,278767,214167
99.62337,278599,214047
99.96571,278433,213937
100.30806,278268,213759
100.65041,278104,213760
100.99276,277940,213764
101.33511,277775,213588
101.67746,277609,213431
102.01980,277442,213136
102.36215,277275,212913
102.70450,277109,212755
103.04685,276944,212458
103.38920,276781,212515
103.73155,276620,212529
104.07389,276461,212425
104.41624,276302,212245
104.75859,276143,212145
105.10094,275984,212097
105.44329,275824,212153
105.78564,275663,211975
106.12798,275503,211805
106.47033,275342,211659
106.81268,275183,211461
107.15503,275026,211294
107.49738,274870,211177
107.83973,274715,210941
108.18207,274561,210909
108.52442,274408,210886
108.86677,274255,210803
109.20912,274101,210835
109.55147,273946,210765
109.89382,273791,210283
110.23616,273636,210508
110.57851,273482,210256
110.92086,273329,210008
111.26321,273178,209686
111.60556,273029,209606
111.94791,272880,209423
112.29025,272732,209495
112.63260,272584,209290
112.97495,272435,209227
113.31730,272286,209332
113.65965,272137,208994
114.00200,271988,208824
114.34434,271839,208595
114.68669,271691,208631
115.02904,271545,208298
115.37139,271400,208167
115.71374,271256,208084
116.05609,271113,208310
116.39843,270970,208156
116.74078,270827,207938
117.08313,270683,207796
117.42548,270539,207713
117.76783,270395,207536
118.11018,270252,207494
118.45252,270109,207458
118.79487,269967,207167
119.13722,269827,207150
119.47957,269687,207168
119.82192,269548,206962
120.16427,269410,206718
120.50661,269272,206417
120.84896,269134,206259
121.19131,268995,206252
121.53366,268857,206079
121.87601,268718,206223
122.21836,268580,206251
122.56070,268443,205927
122.90305,268307,205873
123.24540,268171,205758
123.58775,268037,205762
123.93010,267903,205484
124.27245,267770,205280
124.61479,267637,205338
124.95714,267504,205251
125.29949,267370,205048
125.64184,267237,205083
125.98419,267104,205037
126.32654,266971,204977
126.66888,266840,204893
127.01123,266709,204600
127.35358,266578,204569
127.69593,266449,204324
128.03828,266320,204287
128.38063,266191,204119
128.72297,266063,203907
129.06532,265934,203749
129.40767,265806,203759
129.75002,265677,203870
130.09237,265549,203554
130.43472,265422,203399
130.77706,265295,203547
131.11941,265169,203642
131.46176,265043,203266
131.80411,264919,203057
132.14646,264795,202771
132.48881,264671,202787
132.83115,264547,202918
133.17350,264423,202640
133.51585,264300,202478
133.85820,264177,202426
134.20055,264054,202317
134.54290,263931,202155
134.88524,263809,201889
135.22759,263687,201876
135.56994,263566,201811
135.91229,263446,201888
136.25464,263327,201919
136.59699,263208,201857
136.93933,263088,201684
137.28168,262969,201626
137.62403,262851,201388
137.96638,262732,201331
138.30873,262614,201099
138.65108,262496,200610
138.99342,262378,200347
139.33577,262262,200549
139.67812,262145,200850
140.02047,262029,200886
140.36282,261914,200630
140.70517,261799,200377
141.04751,261685,200326
141.38986,261571,200138
141.73221,261456,200066
142.07456,261342,199878
142.41691,261229,199843
142.75926,261115,199561
143.10160,261002,199708
143.44395,260890,199672
143.78630,260778,199583
144.12865,260666,199361
144.47100,260555,199215
144.81335,260445,198881
145.15569,260335,198924
145.49804,260225,199038
145.84039,260115,199060
146.18274,260006,199172
146.52509,259897,199121
146.86744,259788,199080
147.20978,259679,198707
147.55213,259571,198758
147.89448,259463,198769
148.23683,259355,198653
148.57918,259248,198342
148.92153,259142,198009
149.26387,259036,197849
149.60622,258931,197897
149.94857,258825,197838
150.29092,258720,197856
150.63327,258615,197789
150.97562,258510,197638
151.31796,258405,197581
151.66031,258301,197460
152.00266,258198,197279
152.34501,258094,197124
152.68736,257992,197088
153.02971,257889,197114
153.37205,257787,196843
153.71440,257686,196689
154.05675,257584,196778
154.39910,257483,196768
154.74145,257383,196786
155.08380,257282,196558
155.42614,257182,196406
155.76849,257082,196317
156.11084,256982,196494
156.45319,256882,196481
156.79554,256783,196271
157.13789,256685,196202
157.48023,256587,196148
157.82258,256490,195999
158.16493,256393,195883
158.50728,256296,195667
158.84963,256199,195522
159.19198,256102,195601
159.53432,256006,195693
159.87667,255910,195344
160.21902,255814,195332
160.56137,255718,195200
160.90372,255623,195168
161.24607,255529,195288
161.58841,255434,195184
161.93076,255341,195086
162.27311,255248,194995
162.61546,255155,194932
162.95781,255062,194939
163.30016,254970,194923
163.64250,254877,194794
163.98485,254785,194769
164.32720,254693,194521
164.66955,254602,194519
165.01190,254511,194460
165.35425,254420,194338
165.69659,254329,194540
166.03894,254239,194148
166.38129,254150,193932
166.72364,254060,193717
167.06599,253972,193633
167.40834,253883,193729
167.75068,253795,193636
168.09303,253707,193638
168.43538,253619,193421
168.77773,253532,193245
169.12008,253445,193138
169.46243,253358,193312
169.80478,253271,193093
170.14712,253185,193162
170.48947,253099,193040
170.83182,253013,192899
171.17417,252928,192951
171.51652,252844,192760
171.85887,252759,192557
172.20121,252675,192613
172.54356,252592,192578
172.88591,252508,192676
173.22826,252425,192535
173.57061,252343,192308
173.91296,252260,192121
174.25530,252178,192105
174.59765,252096,192088
174.94000,252014,191921
175.28235,251933,192023
175.62470,251852,191901
175.96705,251772,191781
176.30939,251692,191558
176.65174,251612,191493
176.99409,251533,191350
177.33644,251454,191309
177.67879,251376,191393
178.02114,251297,191396
178.36348,251219,191325
178.70583,251141,191310
179.04818,251063,191234
179.39053,250986,191053
179.73288,250909,190779
180.07523,250832,190693
180.41757,250756,190826
180.75992,250680,190807
181.10227,250605,190781
181.44462,250530,190660
181.78697,250455,190432
182.12932,250380,190348
182.47166,250306,190471
182.81401,250232,190506
183.15636,250158,190636
183.49871,250085,190501
183.84106,250012,190368
184.18341,249939,190196
184.52575,249866,190099
184.86810,249794,190252
185.21045,249722,190114
185.55280,249650,189949
185.89515,249579,189898
186.23750,249508,189916
186.57984,249437,189712
186.92219,249367,189771
187.26454,249297,189856
187.60689,249227,189726
187.94924,249158,189733
188.29159,249089,189386
188.63393,249020,189524
188.97628,248951,189510
189.31863,248882,189579
189.66098,248814,189315
190.00333,248746,189105
190.34568,248679,189085
190.68802,248611,189027
191.03037,248545,188890
191.37272,248478,188913
191.71507,248412,188711
192.05742,248346,188709
192.39977,248280,188860
192.74211,248215,188751
193.08446,248149,188757
193.42681,248084,188715
193.76916,248020,188653
194.11151,247955,188621
194.45386,247891,188430
194.79620,247827,188469
195.13855,247763,188625
195.48090,247699,188386
195.82325,247636,187960
196.16560,247574,187968
196.50795,247511,187933
196.85029,247449,188000
197.19264,247387,187891
197.53499,247325,187730
197.87734,247264,187850
198.21969,247203,187783
198.56204,247142,187940
198.90438,247081,187997
199.24673,247021,187915
199.58908,246960,187799
199.93143,246900,187524
200.27378,246840,187494
200.61613,246781,187388
200.95847,246721,187269
201.30082,246663,187290
201.64317,246604,187010
201.98552,246546,186908
202.32787,246488,186971
202.67022,246430,186782
203.01256,246372,186722
203.35491,246315,186729
203.69726,246258,186816
204.03961,246201,186679
204.38196,246144,186519
204.72431,246088,186371
205.06665,246032,186383
205.40900,245976,186452
205.75135,245920,186443
206.09370,245864,186416
206.43605,245809,186416
206.77840,245754,186228
207.12074,245699,186038
207.46309,245645,185953
207.80544,245591,186076
208.14779,245537,185981
208.49014,245483,185919
208.83249,245430,185816
209.17483,245377,185636
209.51718,245324,185557
209.85953,245271,185662
210.20188,245218,185408
210.54423,245166,185436
210.88658,245114,185541
211.22892,245062,185536
211.57127,245010,185493
211.91362,244958,185495
212.25597,244907,185395
212.59832,244856,185449
212.94067,244806,185655
213.28301,244755,185439
213.62536,244705,185279
213.96771,244655,185131
214.31006,244605,185014
214.65241,244556,184946
214.99476,244507,185151
215.33710,244457,185324
215.67945,244408,185180
216.02180,244359,185073
216.36415,244311,185320
216.70650,244262,185318
217.04885,244214,185282
217.39119,244166,185158
217.73354,244119,185118
218.07589,244071,184969
218.41824,244024,184908
218.76059,243977,184882
219.10294,243930,184849
219.44528,243884,184628
219.78763,243837,184565
220.12998,243791,184622
220.47233,243745,184478
220.81468,243700,184424
221.15703,243654,184368
221.49937,243609,184358
221.84172,243563,184450
222.18407,243518,184432
222.52642,243474,184180
222.86877,243429,184204
223.21112,243385,184324
223.55346,243341,184376
223.89581,243297,184341
224.23816,243253,183933
224.58051,243209,183864
224.92286,243166,183900
225.26521,243123,184076
225.60755,243080,184048
225.94990,243037,183944
226.29225,242995,183823
226.63460,242952,183678
226.97695,242910,183665
227.31930,242868,183561
227.66164,242827,183505
228.00399,242785,183476
228.34634,242744,183478
228.68869,242703,183526
229.03104,242662,183575
229.37339,242621,183527
229.71573,242580,183470
230.05808,242540,183197
230.40043,242499,183247
230.74278,242459,183138
231.08513,242419,183111
231.42748,242380,183004
231.76982,242340,182805
232.11217,242301,182705
232.45452,242262,182708
232.79687,242223,182734
233.13922,242184,182769
233.48157,242146,182585
233.82391,242107,182670
234.16626,242069,182703
234.50861,242031,182683
234.85096,241993,182899
235.19331,241956,182771
235.53566,241918,182636
235.87800,241881,182588
236.22035,241844,182612
236.56270,241807,182507
236.90505,241770,182490
237.24740,241733,182402
237.58975,241697,182421
237.93209,241660,182300
238.27444,241624,182165
238.61679,241588,182204
238.95914,241553,182023
239.30149,241517,181890
239.64384,241482,181720
239.98618,241446,181827
240.32853,241411,181829
240.67088,241376,181972
241.01323,241342,181770
241.35558,241307,181716
241.69793,241273,181809
242.04027,241239,181562
242.38262,241205,181473
242.72497,241171,181397
243.06732,241137,181556
243.40967,241103,181647
243.75202,241070,181623
244.09436,241037,181636
244.43671,241003,181423
244.77906,240970,181290
245.12141,240938,181381
245.46376,240905,181398
245.80611,240872,181265
246.14845,240840,181338
246.49080,240808,181198
246.83315,240776,181164
247.17550,240744,181222
247.51785,240712,181210
247.86020,240681,181122
248.20254,240650,181096
248.54489,240619,181125
248.88724,240588,181232
249.22959,240557,181256
249.57194,240526,181129
249.91429,240496,181159
250.25663,240465,181127
250.59898,240435,181007
250.94133,240405,180832
251.28368,240374,180859
251.62603,240345,180830
251.96838,240315,180724
252.31072,240285,180676
252.65307,240256,180595
252.99542,240226,180577
253.33777,240197,180490
253.68012,240168,180588
254.02247,240139,180542
254.36481,240111,180487
254.70716,240082,180373
255.04951,240054,180260
255.39186,240026,180339
255.73421,239998,180383
256.07656,239970,180292
256.41890,239942,180213
256.76125,239914,180164
257.10360,239887,180174
257.44595,239860,180180
257.78830,239832,180340
258.13065,239805,180336
258.47299,239778,180358
258.81534,239751,180267
259.15769,239725,180280
259.50004,239698,180281
259.84239,239672,180304
260.18474,239645,180127
260.52708,239619,179985
260.86943,239593,179881
261.21178,239567,179982
261.55413,239541,179949
261.89648,239516,179967
262.23883,239490,179945
262.58117,239465,179848
262.92352,239440,179993
263.26587,239415,179930
263.60822,239390,179758
263.95057,239365,179789
264.29292,239340,179538
264.63526,239316,179391
264.97761,239291,179456
265.31996,239267,179518
265.66231,239243,179591
266.00466,239219,179545
266.34701,239195,179481
266.68935,239171,179581
267.03170,239147,179454
267.37405,239124,179462
267.71640,239100,179369
268.05875,239077,179215
268.40110,239054,179238
268.74344,239031,179200
269.08579,239008,179216
269.42814,238985,179217
269.77049,238963,179242
270.11284,238940,179223
270.45519,238918,179125
270.79753,238895,179043
271.13988,238873,178944
271.48223,238851,178933
271.82458,238829,178983
272.16693,238807,179013
272.50928,238786,179031
272.85162,238764,179021
273.19397,238742,179076
273.53632,238720,179029
273.87867,238699,178973
274.22102,238677,179055
274.56337,238656,178946
274.90571,238634,178996
275.24806,238613,178875
275.59041,238591,178789
275.93276,238570,178903
276.27511,238548,179005
276.61746,238527,179134
276.95980,238505,179118
277.30215,238484,179148
277.64450,238462,179153
277.98685,238440,179170
278.32920,238419,179003
278.67155,238397,178792
279.01389,238376,178856
279.35624,238354,178888
279.69859,238333,178985
280.04094,238311,178932
280.38329,238290,179044
280.72564,238268,179071
281.06798,238247,179129
281.41033,238225,179091
281.75268,238204,178813
282.09503,238183,178764
282.43738,238161,178862
282.77973,238140,178839
283.12207,238118,178836
283.46442,238097,178867
283.80677,238076,178887
284.14912,238055,178792
284.49147,238034,178731
284.83382,238012,178769
285.17616,237991,178744
285.51851,237970,178916
285.86086,237949,178765
286.20321,237928,178854
286.54556,237907,178718
286.88791,237886,178781
287.23025,237865,178766
287.57260,237844,178541
287.91495,237823,178576
288.25730,237802,178423
288.59965,237781,178506
288.94200,237760,178459
289.28434,237739,178336
289.62669,237718,178324
289.96904,237697,178427
290.31139,237676,178605
290.65374,237655,178545
290.99609,237634,178529
291.33843,237613,178478
291.68078,237592,178432
292.02313,237571,178616
292.36548,237550,178689
292.70783,237529,178635
293.05018,237508,178840
293.39252,237487,178882
293.73487,237466,178628
294.07722,237445,178369
294.41957,237424,178392
294.76192,237403,178362
295.10427,237382,178486
295.44661,237361,178427
295.78896,237341,178397
296.13131,237320,178375
296.47366,237299,178480
296.81601,237278,178496
297.15836,237257,178453
297.50070,237237,178334
297.84305,237216,178362
298.18540,237195,178414
298.52775,237175,178276
298.87010,237154,178345
299.21245,237134,178316
299.55479,237113,178225
299.89714,237092,178087
300.23949,237072,178243
300.58184,237051,178112
300.92419,237031,178085
301.26654,237010,178184
301.60888,236990,178205
301.95123,236969,178099
302.29358,236949,178040
302.63593,236928,178106
302.97828,236908,177950
303.32063,236887,177887
303.66297,236867,177998
304.00532,236846,177988
304.34767,236826,177996
304.69002,236805,177912
305.03237,236785,178003
305.37472,236764,177931
305.71706,236744,177736
306.05941,236723,177833
306.40176,236703,177916
306.74411,236682,177697
307.08646,236662,177636
307.42881,236642,177644
307.77115,236621,177871
308.11350,236601,178064
308.45585,236581,178096
308.79820,236560,178018
309.14055,236540,177908
309.48290,236520,177901
309.82524,236499,177859
310.16759,236479,177764
310.50994,236459,177762
310.85229,236439,177533
311.19464,236419,177661
311.53699,236398,177754
311.87933,236378,177718
312.22168,236358,177583
312.56403,236338,177548
312.90638,236318,177404
313.24873,236298,177602
313.59108,236278,177649
313.93342,236258,177549
314.27577,236238,177774
314.61812,236218,177879
314.96047,236198,177807
315.30282,236178,177711
315.64517,236157,177850
