t_ms,N,N0
99.62337,250902,207320
99.96571,250674,207378
100.30806,250446,207228
100.65041,250220,207023
100.99276,249995,206547
101.33511,249771,206421
101.67746,249547,206311
102.01980,249322,205936
102.36215,249098,205474
102.70450,248874,205576
103.04685,248651,205569
103.38920,248429,205472
103.73155,248209,205316
104.07389,247990,205155
104.41624,247771,204749
104.75859,247553,204523
105.10094,247334,204139
105.44329,247115,204022
105.78564,246897,203849
106.12798,246680,203730
106.47033,246464,203692
106.81268,246249,203601
107.15503,246035,203202
107.49738,245821,202961
107.83973,245608,202832
108.18207,245395,202641
108.52442,245182,202470
108.86677,244969,202330
109.20912,244758,202031
109.55147,244547,201924
109.89382,244338,201734
110.23616,244129,201648
110.57851,243920,201360
110.92086,243712,201177
111.26321,243504,201173
111.60556,243297,200823
111.94791,243090,200749
112.29025,242883,200344
112.63260,242678,200007
112.97495,242473,199929
113.31730,242270,200150
113.65965,242067,199690
114.00200,241864,199680
114.34434,241661,199398
114.68669,241458,199137
115.02904,241256,199098
115.37139,241055,198895
115.71374,240855,198893
116.05609,240656,198561
116.39843,240457,198377
116.74078,240259,198165
117.08313,240061,198173
117.42548,239864,197887
117.76783,239667,197820
118.11018,239470,197587
118.45252,239274,197548
118.79487,239079,197389
119.13722,238884,197053
119.47957,238691,196832
119.82192,238497,196687
120.16427,238305,196583
120.50661,238112,196550
120.84896,237920,196456
121.19131,237728,196125
121.53366,237537,195724
121.87601,237347,195508
122.21836,237157,195540
122.56070,236968,195303
122.90305,236780,195098
123.24540,236592,195035
123.58775,236404,194918
123.93010,236217,194910
124.27245,236030,194659
124.61479,235843,194404
124.95714,235657,194078
125.29949,235472,193827
125.64184,235288,193803
125.98419,235104,193708
126.32654,234921,193519
126.66888,234738,193531
127.01123,234556,193093
127.35358,234373,192901
127.69593,234191,193071
128.03828,234010,192955
128.38063,233830,192796
128.72297,233650,192568
129.06532,233472,192433
129.40767,233293,192137
129.75002,233115,192008
130.09237,232937,191876
130.43472,232759,191637
130.77706,232581,191590
131.11941,232405,191785
131.46176,232229,191442
131.80411,232054,191055
132.14646,231880,190907
132.48881,231705,190912
132.83115,231532,190749
133.17350,231358,190537
133.51585,231185,190511
133.85820,231012,190280
134.20055,230840,190249
134.54290,230669,190047
134.88524,230498,189541
135.22759,230328,189559
135.56994,230158,189408
135.91229,229989,189132
136.25464,229819,189011
136.59699,229651,188867
136.93933,229482,188810
137.28168,229314,188517
137.62403,229147,188498
137.96638,228981,188383
138.30873,228815,188413
138.65108,228650,188149
138.99342,228485,187966
139.33577,228320,187597
139.67812,228155,187270
140.02047,227991,187180
140.36282,227828,187335
140.70517,227665,187391
141.04751,227503,187272
141.38986,227342,187057
141.73221,227180,186900
142.07456,227020,186611
142.41691,226859,186285
142.75926,226699,185967
143.10160,226539,185891
143.44395,226380,185926
143.78630,226221,185804
144.12865,226063,185711
144.47100,225905,185812
144.81335,225748,185797
145.15569,225591,185457
145.49804,225435,185299
145.84039,225279,185110
146.18274,225124,184928
146.52509,224968,184728
146.86744,224814,184407
147.20978,224659,184302
147.55213,224506,184325
147.89448,224353,184195
148.23683,224200,184333
148.57918,224048,184312
148.92153,223897,184005
149.26387,223745,183735
149.60622,223594,183362
149.94857,223443,183203
150.29092,223293,183060
150.63327,223143,183034
150.97562,222994,183089
151.31796,222846,182818
151.66031,222698,182997
152.00266,222550,182790
152.34501,222403,182722
152.68736,222256,182567
153.02971,222109,182238
153.37205,221963,182130
153.71440,221817,181957
154.05675,221672,181907
154.39910,221527,181723
154.74145,221383,181483
155.08380,221239,181459
155.42614,221096,181421
155.76849,220952,181355
156.11084,220810,181381
156.45319,220667,181115
156.79554,220525,181006
157.13789,220384,180763
157.48023,220243,180495
157.82258,220103,180472
158.16493,219963,180389
158.50728,219824,180365
158.84963,219684,180182
159.19198,219545,180054
159.53432,219407,179990
159.87667,219269,180110
160.21902,219132,179900
160.56137,218995,179559
160.90372,218858,179136
161.24607,218722,179192
161.58841,218586,179172
161.93076,218451,179178
162.27311,218316,179049
