t_ms,N,N0
86.95648,308138,256342
87.29883,308107,256324
87.64117,308076,256058
87.98352,308045,255977
88.32587,308014,256039
88.66822,307983,255932
89.01057,307952,255809
89.35292,307921,255866
89.69526,307891,255987
90.03761,307860,256166
90.37996,307829,255829
90.72231,307799,255754
91.06466,307768,255976
91.40701,307738,255976
91.74935,307707,256067
92.09170,307677,255762
92.43405,307647,255479
92.77640,307617,255502
93.11875,307587,255663
93.46110,307557,255721
93.80344,307527,255694
94.14579,307497,255668
94.48814,307467,255903
94.83049,307437,256072
95.17284,307407,255924
95.51519,307377,255701
95.85753,307347,255430
96.19988,307317,255546
96.54223,307287,255606
96.88458,307256,255532
97.22693,307226,255415
97.56928,307195,255489
97.91162,307165,255588
98.25397,307134,255673
98.59632,307104,255430
98.93867,307073,255418
99.28102,307043,255191
99.62337,307012,254968
99.96571,306982,255068
100.30806,306952,255099
100.65041,306921,255308
100.99276,306891,255259
101.33511,306861,255257
101.67746,306831,255191
102.01980,306801,255196
102.36215,306771,255182
102.70450,306741,255070
103.04685,306711,255199
103.38920,306681,255394
103.73155,306652,255227
104.07389,306622,255300
104.41624,306592,254977
104.75859,306562,254681
105.10094,306532,254813
105.44329,306503,254766
105.78564,306473,254669
106.12798,306443,254886
106.47033,306413,255020
106.81268,306383,254917
107.15503,306353,255000
107.49738,306323,255195
107.83973,306293,255009
108.18207,306263,254656
108.52442,306233,254547
108.86677,306203,254471
109.20912,306173,254493
109.55147,306142,254306
109.89382,306112,254197
110.23616,306082,254353
110.57851,306052,254475
110.92086,306022,254520
111.26321,305992,254650
111.60556,305962,254479
111.94791,305933,254449
112.29025,305903,254337
112.63260,305873,254331
112.97495,305843,254237
113.31730,305814,254141
113.65965,305784,254131
114.00200,305755,254311
114.34434,305725,254493
114.68669,305696,254578
115.02904,305666,254585
115.37139,305637,254522
115.71374,305607,254221
116.05609,305577,253977
116.39843,305548,254064
116.74078,305518,254041
117.08313,305489,254078
117.42548,305459,254467
117.76783,305429,254349
118.11018,305399,254258
118.45252,305370,254095
118.79487,305340,254062
119.13722,305310,253978
119.47957,305280,254080
119.82192,305250,254055
120.16427,305221,254100
120.50661,305191,253865
120.84896,305161,253792
121.19131,305132,254075
121.53366,305102,253955
121.87601,305072,253985
122.21836,305043,253855
122.56070,305013,254026
122.90305,304984,254094
123.24540,304955,253987
123.58775,304925,253861
123.93010,304896,253631
124.27245,304867,254024
124.61479,304837,253955
124.95714,304808,254062
125.29949,304779,254121
125.64184,304749,254084
125.98419,304720,253930
126.32654,304691,254108
126.66888,304661,254185
127.01123,304632,254159
127.35358,304603,253884
127.69593,304573,253992
128.03828,304544,254069
128.38063,304514,253810
128.72297,304485,253612
129.06532,304455,253889
129.40767,304426,253862
129.75002,304397,253846
130.09237,304367,253910
