t,Fz,Fmag,Lz,Jz,N_m6,N_m5,N_m4,Ntot
0.40000,-5.93927,5.93927,-0.03781,-5.97708,0.96369,0.03472,0.00153,0.996179
0.80000,-5.81216,5.81216,-0.14298,-5.95515,0.87613,0.10600,0.01577,0.992524
1.20000,-5.62311,5.62311,-0.31014,-5.93324,0.76389,0.17396,0.04919,0.988874
1.60000,-5.37684,5.37684,-0.53342,-5.91026,0.64256,0.22131,0.09816,0.985043
2.00000,-5.09514,5.09514,-0.79152,-5.88666,0.52526,0.23880,0.16418,0.981110
2.40000,-4.80607,4.80607,-1.05731,-5.86338,0.41864,0.22650,0.25116,0.977230
2.80000,-4.52433,4.52433,-1.31556,-5.83989,0.31993,0.20312,0.33424,0.973315
3.20000,-4.25123,4.25123,-1.56393,-5.81517,0.24114,0.17708,0.38246,0.969195
3.60000,-3.99681,3.99681,-1.79326,-5.79007,0.20448,0.15890,0.36640,0.965012
4.00000,-3.76344,3.76344,-2.00269,-5.76614,0.19847,0.15116,0.30599,0.961023
4.40000,-3.53135,3.53135,-2.21220,-5.74355,0.19234,0.14546,0.25909,0.957258
4.80000,-3.25449,3.25449,-2.46691,-5.72140,0.17074,0.13718,0.23474,0.953567
5.20000,-2.95535,2.95535,-2.74342,-5.69877,0.16081,0.12271,0.20336,0.949794
5.60000,-2.66340,2.66340,-3.01152,-5.67492,0.18082,0.10611,0.14720,0.945821
6.00000,-2.37462,2.37462,-3.27420,-5.64882,0.20754,0.08111,0.10071,0.941470
6.40000,-2.11385,2.11385,-3.50672,-5.62057,0.22122,0.05208,0.06658,0.936762
6.80000,-1.93537,1.93537,-3.65817,-5.59353,0.22560,0.03560,0.04331,0.932256
7.20000,-1.88018,1.88018,-3.68846,-5.56864,0.22145,0.04192,0.05057,0.928107
7.60000,-1.87249,1.87249,-3.67192,-5.54441,0.20493,0.06717,0.07821,0.924068
8.00000,-1.86525,1.86525,-3.65581,-5.52106,0.19228,0.09503,0.08068,0.920177
8.40000,-1.87058,1.87058,-3.62631,-5.49689,0.19098,0.08743,0.09909,0.916149
8.80000,-1.88899,1.88899,-3.58290,-5.47189,0.18619,0.08483,0.10763,0.911981
9.20000,-1.88729,1.88729,-3.55838,-5.44567,0.17162,0.12825,0.08582,0.907611
9.60000,-1.87711,1.87711,-3.54228,-5.41940,0.18018,0.11493,0.12356,0.903233
10.00000,-1.87105,1.87105,-3.52198,-5.39304,0.18779,0.09381,0.13701,0.898840
10.40000,-1.86067,1.86067,-3.50653,-5.36720,0.20102,0.09693,0.14112,0.894533
10.80000,-1.85420,1.85420,-3.49002,-5.34422,0.22476,0.08342,0.14347,0.890703
11.20000,-1.86593,1.86593,-3.45767,-5.32360,0.24236,0.07904,0.12775,0.887267
11.60000,-1.91787,1.91787,-3.38376,-5.30163,0.26958,0.09132,0.07459,0.883605
12.00000,-1.96773,1.96773,-3.31017,-5.27791,0.29034,0.08853,0.08810,0.879652
12.40000,-2.03110,2.03110,-3.22383,-5.25493,0.27856,0.13735,0.08216,0.875823
12.80000,-2.11492,2.11492,-3.11792,-5.23284,0.28845,0.14942,0.09599,0.872141
13.20000,-2.21706,2.21706,-2.99226,-5.20932,0.33980,0.10610,0.10974,0.868221
13.60000,-2.31204,2.31204,-2.87362,-5.18566,0.36074,0.07785,0.13856,0.864278
14.00000,-2.39560,2.39560,-2.76899,-5.16459,0.33545,0.12071,0.11834,0.860766
14.40000,-2.48864,2.48864,-2.65632,-5.14496,0.30976,0.14729,0.16477,0.857495
14.80000,-2.56065,2.56065,-2.56501,-5.12566,0.29246,0.18150,0.16593,0.854278
15.20000,-2.61393,2.61393,-2.49149,-5.10542,0.28490,0.19998,0.15348,0.850905
15.60000,-2.65639,2.65639,-2.42771,-5.08410,0.28732,0.19061,0.17562,0.847352
16.00000,-2.68641,2.68641,-2.37532,-5.06173,0.29552,0.17175,0.19594,0.843624
16.40000,-2.71769,2.71769,-2.32287,-5.04057,0.29786,0.17098,0.19714,0.840096
16.80000,-2.75493,2.75493,-2.26291,-5.01784,0.30393,0.16970,0.19396,0.836308
17.20000,-2.80399,2.80399,-2.19123,-4.99522,0.31458,0.18161,0.16491,0.832538
17.60000,-2.83809,2.83809,-2.13851,-4.97660,0.33177,0.17908,0.14458,0.829435
18.00000,-2.85740,2.85740,-2.10263,-4.96003,0.35661,0.16751,0.10823,0.826675
18.40000,-2.86399,2.86399,-2.07793,-4.94192,0.39296,0.12884,0.08133,0.823656
18.80000,-2.84548,2.84548,-2.07589,-4.92137,0.43556,0.07236,0.07176,0.820232
19.20000,-2.80696,2.80696,-2.09496,-4.90192,0.44264,0.07343,0.06855,0.816990
19.60000,-2.75944,2.75944,-2.12280,-4.88224,0.43538,0.09731,0.05147,0.813710
20.00000,-2.69564,2.69564,-2.16504,-4.86068,0.42191,0.09188,0.07679,0.810118
20.40000,-2.62589,2.62589,-2.21206,-4.83795,0.38879,0.08876,0.12995,0.806330
20.80000,-2.56474,2.56474,-2.25441,-4.81915,0.33998,0.12228,0.17281,0.803197
21.20000,-2.51742,2.51742,-2.28537,-4.80279,0.28119,0.19515,0.17832,0.800470
21.60000,-2.46324,2.46324,-2.32283,-4.78607,0.24584,0.22816,0.18355,0.797685
22.00000,-2.39359,2.39359,-2.37376,-4.76735,0.24244,0.16233,0.24364,0.794565
22.40000,-2.32737,2.32737,-2.42127,-4.74865,0.23802,0.11823,0.25925,0.791447
22.80000,-2.28763,2.28763,-2.44215,-4.72978,0.21884,0.15130,0.22721,0.788304
23.20000,-2.25386,2.25386,-2.45571,-4.70957,0.21535,0.15291,0.24865,0.784935
23.60000,-2.20770,2.20770,-2.48096,-4.68866,0.22967,0.13133,0.24128,0.781451
24.00000,-2.17323,2.17323,-2.49670,-4.66992,0.24098,0.13705,0.17963,0.778330
24.40000,-2.14377,2.14377,-2.50982,-4.65360,0.25293,0.12609,0.15250,0.775610
24.80000,-2.11387,2.11387,-2.52353,-4.63741,0.26183,0.10884,0.15517,0.772912
25.20000,-2.07702,2.07702,-2.54274,-4.61976,0.26884,0.11270,0.12074,0.769972
25.60000,-2.04762,2.04762,-2.55401,-4.60162,0.28411,0.10733,0.08878,0.766949
26.00000,-2.02313,2.02313,-2.56031,-4.58344,0.30090,0.08180,0.09856,0.763919
26.40000,-1.99166,1.99166,-2.57339,-4.56506,0.30463,0.06143,0.12533,0.760855
26.80000,-1.96896,1.96896,-2.57731,-4.54627,0.28356,0.09459,0.11546,0.757726
27.20000,-1.94842,1.94842,-2.57912,-4.52753,0.25956,0.12610,0.11863,0.754605
27.60000,-1.93542,1.93542,-2.57505,-4.51047,0.25823,0.11402,0.15601,0.751763
28.00000,-1.93409,1.93409,-2.56135,-4.49544,0.25784,0.11713,0.15918,0.749259
28.40000,-1.93523,1.93523,-2.54455,-4.47978,0.24355,0.13941,0.15871,0.746649
28.80000,-1.93826,1.93826,-2.52395,-4.46221,0.23179,0.15040,0.16525,0.743722
29.20000,-1.93613,1.93613,-2.50872,-4.44485,0.23495,0.14547,0.15504,0.740829
29.60000,-1.93006,1.93006,-2.49829,-4.42836,0.25192,0.11565,0.14385,0.738081
30.00000,-1.93058,1.93058,-2.48115,-4.41172,0.26868,0.08957,0.14015,0.735311
30.40000,-1.95060,1.95060,-2.44377,-4.39437,0.28005,0.09027,0.09686,0.732419
30.80000,-1.97430,1.97430,-2.40414,-4.37843,0.28877,0.09491,0.05621,0.729765
31.20000,-2.00406,2.00406,-2.35991,-4.36397,0.30398,0.07969,0.05012,0.727356
31.60000,-2.03520,2.03520,-2.31513,-4.35034,0.31869,0.06012,0.05684,0.725086
32.00000,-2.06185,2.06185,-2.27377,-4.33562,0.32054,0.04692,0.08345,0.722633
32.40000,-2.08746,2.08746,-2.23248,-4.31994,0.30746,0.04360,0.11343,0.720021
32.80000,-2.13431,2.13431,-2.16978,-4.30409,0.28169,0.07642,0.11211,0.717380
33.20000,-2.18586,2.18586,-2.10318,-4.28904,0.25109,0.10026,0.14837,0.714875
33.60000,-2.23523,2.23523,-2.03932,-4.27455,0.22123,0.12838,0.18547,0.712464
34.00000,-2.27577,2.27577,-1.98383,-4.25960,0.19307,0.14835,0.24292,0.709975
34.40000,-2.30466,2.30466,-1.94010,-4.24477,0.16734,0.17017,0.29153,0.707504
34.80000,-2.32786,2.32786,-1.90229,-4.23014,0.14377,0.18027,0.34157,0.705070
35.20000,-2.34515,2.34515,-1.87116,-4.21631,0.12657,0.18947,0.35176,0.702764
35.60000,-2.35018,2.35018,-1.85216,-4.20234,0.14169,0.15885,0.35927,0.700436
36.00000,-2.35758,2.35758,-1.83063,-4.18821,0.16225,0.13969,0.35809,0.698081
36.40000,-2.36369,2.36369,-1.81080,-4.17448,0.16742,0.16790,0.30880,0.695796
36.80000,-2.39587,2.39587,-1.76482,-4.16069,0.20274,0.15702,0.28584,0.693500
37.20000,-2.44067,2.44067,-1.70577,-4.14644,0.23895,0.13422,0.28818,0.691126
37.60000,-2.48346,2.48346,-1.64931,-4.13277,0.27302,0.11636,0.28320,0.688851
38.00000,-2.53210,2.53210,-1.58736,-4.11946,0.30962,0.11216,0.25541,0.686635
38.40000,-2.58198,2.58198,-1.52419,-4.10617,0.35643,0.10928,0.20742,0.684421
38.80000,-2.61836,2.61836,-1.47429,-4.09265,0.40095,0.11052,0.16318,0.682168
39.20000,-2.63808,2.63808,-1.44110,-4.07918,0.44735,0.10423,0.12146,0.679924
39.60000,-2.65562,2.65562,-1.41077,-4.06639,0.48280,0.09462,0.10923,0.677796
40.00000,-2.66831,2.66831,-1.38542,-4.05373,0.50186,0.09784,0.09752,0.675688
40.40000,-2.68113,2.68113,-1.35989,-4.04103,0.50781,0.12514,0.06425,0.673571
40.80000,-2.68875,2.68875,-1.33922,-4.02797,0.51511,0.14512,0.05266,0.671398
41.20000,-2.69347,2.69347,-1.32143,-4.01489,0.53734,0.13200,0.05911,0.669219
41.60000,-2.68684,2.68684,-1.31486,-4.00170,0.55169,0.12137,0.05925,0.667022
42.00000,-2.66922,2.66922,-1.31922,-3.98844,0.54515,0.12566,0.06655,0.664813
42.40000,-2.64163,2.64163,-1.33308,-3.97472,0.52086,0.13816,0.07979,0.662526
42.80000,-2.61257,2.61257,-1.34908,-3.96165,0.50043,0.12850,0.10984,0.660350
43.20000,-2.58073,2.58073,-1.36920,-3.94993,0.48353,0.10764,0.13976,0.658401
43.60000,-2.54309,2.54309,-1.39541,-3.93850,0.46112,0.10596,0.15459,0.656497
44.00000,-2.48006,2.48006,-1.44617,-3.92622,0.41104,0.14186,0.16433,0.654453
44.40000,-2.41288,2.41288,-1.50124,-3.91412,0.35206,0.18495,0.18431,0.652436
44.80000,-2.35272,2.35272,-1.54938,-3.90210,0.30975,0.18761,0.23967,0.650434
45.20000,-2.29209,2.29209,-1.59723,-3.88932,0.28180,0.17906,0.25557,0.648304
45.60000,-2.23432,2.23433,-1.64178,-3.87610,0.26208,0.17041,0.25517,0.646101
46.00000,-2.18211,2.18211,-1.68161,-3.86371,0.25218,0.14371,0.28174,0.644037
46.40000,-2.13329,2.13330,-1.71902,-3.85231,0.23192,0.13751,0.29977,0.642140
46.80000,-2.08521,2.08521,-1.75549,-3.84070,0.21811,0.14339,0.28812,0.640206
47.20000,-2.03493,2.03494,-1.79381,-3.82874,0.21998,0.13559,0.27577,0.638209
47.60000,-1.99171,1.99172,-1.82544,-3.81716,0.23231,0.12517,0.24772,0.636278
48.00000,-1.95750,1.95751,-1.84865,-3.80615,0.23739,0.13171,0.20113,0.634439
48.40000,-1.92747,1.92748,-1.86684,-3.79432,0.24300,0.13637,0.16626,0.632460
48.80000,-1.89088,1.89089,-1.89068,-3.78156,0.25220,0.12836,0.15181,0.630326
49.20000,-1.86083,1.86083,-1.90854,-3.76936,0.26325,0.11805,0.13272,0.628290
49.60000,-1.83881,1.83881,-1.91878,-3.75759,0.28060,0.09671,0.12295,0.626324
50.00000,-1.81120,1.81121,-1.93447,-3.74567,0.28818,0.09211,0.09615,0.624330
