t,Fz,Fmag,Lz,Jz,N_m6,N_m5,N_m4
0.40000,-5.96211,5.96211,0.96211,-5.00000,0.96381,0.03456,0.00157
0.80000,-5.85925,5.85925,0.85918,-5.00006,0.87967,0.10234,0.01579
1.20000,-5.69347,5.69347,0.69288,-5.00059,0.77027,0.16851,0.04815
1.60000,-5.46157,5.46157,0.46053,-5.00104,0.64761,0.21606,0.09720
2.00000,-5.19544,5.19544,0.19430,-5.00115,0.53179,0.23190,0.16153
2.40000,-4.93006,4.93006,-0.07109,-5.00115,0.43554,0.21367,0.23994
2.80000,-4.67774,4.67774,-0.32318,-5.00092,0.35690,0.18567,0.30166
3.20000,-4.44315,4.44315,-0.55737,-5.00052,0.29882,0.16868,0.31563
3.60000,-4.22458,4.22458,-0.77535,-4.99993,0.27908,0.14338,0.30027
4.00000,-4.00341,4.00341,-0.99593,-4.99934,0.27872,0.12390,0.26405
4.40000,-3.77575,3.77575,-1.22307,-4.99883,0.27068,0.10741,0.22763
4.80000,-3.54766,3.54766,-1.45098,-4.99864,0.25407,0.08096,0.21683
5.20000,-3.31490,3.31490,-1.68375,-4.99864,0.22214,0.09228,0.17401
5.60000,-3.11388,3.11388,-1.88496,-4.99884,0.19050,0.13262,0.11897
6.00000,-2.97039,2.97039,-2.02865,-4.99904,0.17091,0.14142,0.13062
6.40000,-2.86921,2.86921,-2.12995,-4.99916,0.14864,0.12369,0.18681
6.80000,-2.73272,2.73272,-2.26689,-4.99961,0.12846,0.08992,0.23922
7.20000,-2.61967,2.61967,-2.38028,-4.99995,0.11976,0.07177,0.25443
7.60000,-2.56696,2.56696,-2.43302,-4.99998,0.10903,0.10747,0.20681
8.00000,-2.58659,2.58659,-2.41332,-4.99990,0.10110,0.15066,0.17038
8.40000,-2.63560,2.63560,-2.36435,-4.99995,0.10168,0.15914,0.15117
8.80000,-2.69282,2.69282,-2.30714,-4.99996,0.11020,0.13543,0.16933
9.20000,-2.71139,2.71139,-2.28841,-4.99980,0.12191,0.08642,0.22175
9.60000,-2.73140,2.73140,-2.26833,-4.99973,0.13079,0.08998,0.24154
10.00000,-2.79584,2.79584,-2.20365,-4.99949,0.14569,0.13882,0.20433
10.40000,-2.89148,2.89148,-2.10782,-4.99930,0.16433,0.16178,0.15491
10.80000,-2.93487,2.93487,-2.06424,-4.99911,0.17042,0.15807,0.16309
11.20000,-2.94967,2.94967,-2.04919,-4.99886,0.17702,0.12687,0.22153
11.60000,-2.88257,2.88257,-2.11619,-4.99876,0.16946,0.12417,0.21543
12.00000,-2.80797,2.80797,-2.19081,-4.99879,0.14108,0.17265,0.17746
12.40000,-2.75655,2.75655,-2.24238,-4.99893,0.14021,0.19857,0.13980
12.80000,-2.73368,2.73368,-2.26533,-4.99901,0.16027,0.18386,0.11452
13.20000,-2.71654,2.71654,-2.28261,-4.99915,0.17347,0.17175,0.09104
13.60000,-2.71094,2.71094,-2.28835,-4.99930,0.16015,0.18519,0.10365
14.00000,-2.70386,2.70387,-2.29543,-4.99929,0.13510,0.20754,0.11196
14.40000,-2.68108,2.68108,-2.31817,-4.99925,0.10785,0.21571,0.14070
14.80000,-2.66244,2.66244,-2.33682,-4.99925,0.10275,0.21182,0.15885
15.20000,-2.61784,2.61784,-2.38139,-4.99923,0.09158,0.21517,0.15715
15.60000,-2.57089,2.57089,-2.42824,-4.99912,0.08376,0.17893,0.20310
16.00000,-2.57312,2.57312,-2.42588,-4.99899,0.08182,0.16967,0.19642
16.40000,-2.58538,2.58538,-2.41355,-4.99893,0.08256,0.16036,0.18779
16.80000,-2.60760,2.60760,-2.39125,-4.99885,0.07652,0.18285,0.17037
17.20000,-2.64346,2.64346,-2.35534,-4.99879,0.07631,0.18299,0.19109
17.60000,-2.65266,2.65266,-2.34600,-4.99866,0.08242,0.15692,0.22358
18.00000,-2.62350,2.62350,-2.37506,-4.99855,0.08008,0.14031,0.24038
18.40000,-2.55484,2.55484,-2.44366,-4.99851,0.06468,0.14420,0.22151
18.80000,-2.50299,2.50299,-2.49555,-4.99854,0.05351,0.13359,0.23622
19.20000,-2.51192,2.51192,-2.48658,-4.99851,0.06211,0.13480,0.22115
19.60000,-2.52429,2.52430,-2.47426,-4.99855,0.06437,0.16448,0.19431
20.00000,-2.54894,2.54894,-2.44972,-4.99866,0.09190,0.16114,0.17594
20.40000,-2.52342,2.52342,-2.47529,-4.99870,0.10045,0.15239,0.18948
20.80000,-2.44413,2.44413,-2.55455,-4.99868,0.07992,0.16804,0.19257
21.20000,-2.35755,2.35755,-2.64108,-4.99863,0.06557,0.18763,0.15195
21.60000,-2.29116,2.29116,-2.70744,-4.99859,0.06094,0.17451,0.15591
22.00000,-2.24223,2.24223,-2.75633,-4.99856,0.04652,0.17139,0.15955
22.40000,-2.25200,2.25200,-2.74646,-4.99846,0.04833,0.17226,0.18706
22.80000,-2.22878,2.22878,-2.76960,-4.99838,0.06426,0.16338,0.17353
23.20000,-2.24393,2.24394,-2.75441,-4.99834,0.06882,0.17505,0.16225
23.60000,-2.20284,2.20286,-2.79546,-4.99831,0.05160,0.18353,0.17727
24.00000,-2.15754,2.15755,-2.84065,-4.99819,0.05056,0.18054,0.16732
24.40000,-2.24480,2.24482,-2.75329,-4.99809,0.05974,0.17448,0.19614
24.80000,-2.34871,2.34875,-2.64932,-4.99803,0.05223,0.19764,0.19638
25.20000,-2.32786,2.32792,-2.67011,-4.99797,0.05402,0.17249,0.21790
25.60000,-2.28486,2.28494,-2.71309,-4.99795,0.05560,0.16641,0.22040
26.00000,-2.27449,2.27456,-2.72346,-4.99795,0.04808,0.17369,0.23127
26.40000,-2.31323,2.31328,-2.68474,-4.99796,0.04775,0.18553,0.21920
26.80000,-2.33250,2.33255,-2.66546,-4.99796,0.05840,0.18810,0.20793
27.20000,-2.36153,2.36158,-2.63634,-4.99788,0.06701,0.19138,0.20631
27.60000,-2.35319,2.35328,-2.64460,-4.99779,0.05617,0.19758,0.21542
28.00000,-2.38508,2.38521,-2.61258,-4.99767,0.04847,0.20473,0.21840
28.40000,-2.40709,2.40728,-2.59052,-4.99761,0.05228,0.20755,0.21730
28.80000,-2.43525,2.43555,-2.56233,-4.99758,0.06198,0.21624,0.19895
29.20000,-2.46848,2.46880,-2.52901,-4.99749,0.07167,0.21207,0.19595
29.60000,-2.50594,2.50634,-2.49146,-4.99740,0.07038,0.19352,0.21305
30.00000,-2.56718,2.56778,-2.43020,-4.99739,0.06687,0.20066,0.20834
30.40000,-2.57869,2.57955,-2.41862,-4.99732,0.06702,0.19239,0.22337
30.80000,-2.53497,2.53602,-2.46224,-4.99721,0.05484,0.20569,0.19340
31.20000,-2.50305,2.50414,-2.49402,-4.99707,0.04565,0.18609,0.21990
31.60000,-2.50911,2.51049,-2.48787,-4.99699,0.04848,0.18432,0.20686
32.00000,-2.50884,2.51082,-2.48810,-4.99694,0.06225,0.18251,0.19931
32.40000,-2.50362,2.50611,-2.49328,-4.99690,0.05773,0.20935,0.18272
32.80000,-2.50579,2.50868,-2.49102,-4.99681,0.05171,0.21880,0.18565
33.20000,-2.50680,2.51026,-2.48991,-4.99672,0.06131,0.21256,0.17994
33.60000,-2.45703,2.46129,-2.53963,-4.99666,0.07822,0.20333,0.16735
34.00000,-2.40491,2.40956,-2.59166,-4.99657,0.08105,0.20814,0.16206
34.40000,-2.33204,2.33658,-2.66440,-4.99644,0.08044,0.20780,0.15403
34.80000,-2.23441,2.23779,-2.76196,-4.99636,0.09565,0.18157,0.14553
35.20000,-2.12394,2.12656,-2.87234,-4.99629,0.10194,0.16292,0.13332
35.60000,-2.01368,2.01584,-2.98251,-4.99619,0.09694,0.15311,0.13860
36.00000,-1.88168,1.88460,-3.11438,-4.99606,0.08416,0.14506,0.13517
36.40000,-1.72572,1.73050,-3.27021,-4.99593,0.06815,0.13649,0.13282
36.80000,-1.60403,1.61003,-3.39183,-4.99586,0.06095,0.11601,0.13947
37.20000,-1.55875,1.56516,-3.43702,-4.99577,0.06054,0.11045,0.13149
37.60000,-1.58833,1.59191,-3.40730,-4.99563,0.06610,0.11746,0.12128
38.00000,-1.65584,1.65792,-3.33968,-4.99552,0.07038,0.12477,0.11680
38.40000,-1.76696,1.77233,-3.22844,-4.99540,0.07276,0.12533,0.11599
38.80000,-1.92771,1.93787,-3.06759,-4.99530,0.07666,0.12436,0.12741
39.20000,-2.10367,2.11754,-2.89153,-4.99521,0.08278,0.12291,0.13358
39.60000,-2.24436,2.26031,-2.75076,-4.99512,0.08648,0.12039,0.14126
40.00000,-2.34031,2.35931,-2.65478,-4.99509,0.08164,0.12692,0.14692
40.40000,-2.42210,2.44426,-2.57292,-4.99502,0.08533,0.12293,0.14640
40.80000,-2.48917,2.51325,-2.50573,-4.99489,0.09491,0.10881,0.15441
41.20000,-2.51509,2.54011,-2.47970,-4.99479,0.09801,0.10430,0.15682
41.60000,-2.50991,2.53428,-2.48475,-4.99466,0.09503,0.10352,0.16500
42.00000,-2.50024,2.52229,-2.49422,-4.99446,0.09628,0.10036,0.16050
42.40000,-2.47171,2.49072,-2.52250,-4.99421,0.09219,0.10525,0.16348
42.80000,-2.42654,2.44272,-2.56744,-4.99398,0.08661,0.10681,0.16882
43.20000,-2.36927,2.38187,-2.62458,-4.99385,0.08489,0.11255,0.15281
43.60000,-2.32733,2.33631,-2.66644,-4.99378,0.08227,0.11964,0.14907
44.00000,-2.28334,2.28896,-2.71035,-4.99369,0.08120,0.12065,0.14535
44.40000,-2.23657,2.23989,-2.75698,-4.99355,0.08289,0.11557,0.14928
44.80000,-2.21033,2.21162,-2.78312,-4.99344,0.08270,0.12302,0.15154
45.20000,-2.18003,2.18009,-2.81326,-4.99329,0.08437,0.11930,0.15014
45.60000,-2.14957,2.15040,-2.84352,-4.99309,0.08573,0.11368,0.14345
46.00000,-2.13401,2.13703,-2.85889,-4.99290,0.08443,0.11493,0.13182
