c1_ratio,B_uG,kappa,gs_seed,E_gs,E_gap_seeds,Fz,phase,phase_distance,spin_order,nematic_order,Q6,q6_maj,T2,T4,T6,T12,E_density_c0,E_spin_c1,E_ddi,E_zeeman,E_trap
-0.015,0.0,1.0,polar,8.97956220670858,5.591014559769292e-6,1.1876220518299008e-7,ferromagnetic,unknown,0.993968529535114,0.0004093923267418698,0.6171740478237375,0.6062688181752729,0.6204792430695519,0.20620812714164177,0.03662229419673329,8.519047412349257e-5,14.56407431521418,-7.8171650268126,-3.5975053341492056,-1.8467875693588827e-6,5.277225751183322
-0.015,25.0,1.0,polar,8.336499724716834,0.004857319408460015,-3.9995346894843884,ferromagnetic,unknown,0.995117928070836,2.2869906852133666e-6,0.4839610157414204,0.4744871944690931,0.6221445433521199,0.20652550810561496,0.03600075982355636,4.110890294716493e-5,12.801502595526928,-6.8790625590897445,-2.47064436999048,-1.4793939085420322,5.945705899776841
-0.015,40.0,1.0,stretched,7.11275318883608,0.07893374915700502,-5.930564411774043,ferromagnetic,unknown,0.9999775355747468,1.6590427261255976e-17,0.22645125191521137,0.28048864062181583,0.6285367972652172,0.2079747219416806,0.034068829965963845,1.944160076578679e-7,11.825893535853679,-6.385839051934531,-1.5275471585624096,-3.509831401380816,6.557136773397536
-0.015,48.0,1.0,polar,6.409854746304954,2.5156765559586347e-11,-5.945363576335019,ferromagnetic,unknown,0.9999884349347917,7.831002732250289e-19,0.3971154864565227,0.46556692797217913,0.6285535915130681,0.20797882515018068,0.03406248536551617,1.9335851631541757e-7,11.801167386614498,-6.3725566888864265,-1.5180711410560688,-4.222306930943804,6.573223288953982
-0.015,55.0,1.0,polar,5.793602221219788,2.8188118506022874e-11,-5.954563135137041,ferromagnetic,unknown,0.9999930867830441,1.1215017072065566e-18,0.32078823308241944,0.3881406073534851,0.6285607643749008,0.20798058064818642,0.03405976985560433,1.929252298963681e-7,11.783585620198483,-6.3630922451663885,-1.5115918013257736,-4.845545582372779,6.5846357148907195
-0.015,62.0,1.0,stretched,5.17652038961983,8.57713899904411e-12,-5.961525731582265,ferromagnetic,unknown,0.9999956587931284,3.832796727470629e-21,0.6925789811405819,0.7369707056333822,0.6285647313681356,0.20798155220100437,0.03405826676643951,1.9268951157125415e-7,11.768754337837498,-6.355099753510249,-1.506265626179585,-5.468637791776614,6.594244761769642
-0.015,75.0,1.0,polar,4.028926396885587,1.497291179930471e-11,-5.970698983855037,ferromagnetic,unknown,0.99999797237939,2.85517675946839e-20,0.5898675027053983,0.6517827665806569,0.6285683003577844,0.20798242662741256,0.03405691381999946,1.9247946214932626e-7,11.74646614114681,-6.343078854836155,-1.4984631151426242,-6.625465950855012,6.608648977772444
-0.015,100.0,1.0,polar,1.8183340727387047,3.5145220067533955e-12,-5.980948059179102,ferromagnetic,unknown,0.9999993866537423,1.1525199497618084e-21,0.7198840015819097,0.7606711099224656,0.6285704822733938,0.20798296134601615,0.0340560864357873,1.9235182149387353e-7,11.71587626438936,-6.326569302390686,-1.4880687387450782,-8.849116871350283,6.628330347828056
-0.015,0.0,1.3,stretched,9.887490266240787,2.0110073606360857e-8,1.8024169472479618e-10,ferromagnetic,unknown,0.9951234163297384,0.00032541275918064984,0.5895776829644143,0.5786774535893418,0.6220127752486411,0.20654154287836923,0.03614319118533109,6.777607361935596e-5,16.296818158129717,-8.75736649484508,-4.030191676964213,-1.903616352287963e-6,5.821164457672219
-0.015,25.0,1.3,polar,9.556178917848667,0.04041287775139324,-1.878665933078877,ferromagnetic,unknown,0.9953969278858126,1.624426628241014e-8,0.5883139202219182,0.5730521953082388,0.622302056542487,0.20656112574188454,0.03601415103235477,2.6517071613534845e-5,15.500656035908126,-8.331824915114176,-3.4862495010665207,-0.6948978921771966,6.023592894615859
