c1_ratio,B_uG,kappa,gs_seed,E_gs,E_gap_seeds,Fz,phase,phase_distance,spin_order,nematic_order,Q6,q6_maj,T2,T4,T6,T12,E_density_c0,E_spin_c1,E_ddi,E_zeeman,E_trap
0.0277777778,42.0,1.0,polar,6.915940760210038,1.580441821857903e-8,-5.491111592394771,cyclic,unknown,0.872462110973905,0.12099308187417757,0.3021114547862633,0.3178810599295974,0.6258210475121367,0.20652174173702526,0.034289651818066647,0.03213481282883431,2.778556573063193,2.424185335134656,-1.4075972473959133,-3.412241511579463,6.375942412291243
0.0277777778,44.0,1.0,polar,6.751085686341543,5.69737768074674e-9,-5.648005095215526,ferromagnetic,unknown,0.9146441817868258,0.08142775581976973,0.2825047065421078,0.30326454316483925,0.6265523775831027,0.20705370466823558,0.034375940347748504,0.021542066892449866,2.756230849867412,2.520970512509585,-1.4447096130141062,-3.676867139119139,6.440812564048615
0.0277777778,46.0,1.0,stretched,6.581871903017745,3.0749776058769385e-9,-5.785479157724396,ferromagnetic,unknown,0.9533217914350676,0.044507712993647586,0.26363308807685837,0.2887106568883498,0.6270150733926209,0.20741143571284495,0.0344424320490913,0.011734809982188081,2.7367903122232793,2.6090418453183077,-1.4786125623245983,-3.9375612916072606,6.500047999866537
0.0277777778,64.0,1.3,polar,6.979798872924801,4.176977874692511e-9,-5.5594821661205245,cyclic,unknown,0.8838358579852302,0.10729848927509918,0.3101159802359807,0.31185964421888424,0.6216754052463006,0.2056613204786351,0.03573983912226035,0.028471734719236974,2.8964961416109642,2.5600271545199256,-0.7088423841798832,-5.264345766423015,7.315692036400852
0.0277777778,67.0,1.3,polar,6.729318724804067,1.5265850805690206e-9,-5.722457255657368,ferromagnetic,unknown,0.9425932696968164,0.051941680626802246,0.2863068146070726,0.2995004051503309,0.6229624306431644,0.20637530621003244,0.03574859154453923,0.013738362239349352,2.8587608441330223,2.6946487335084934,-0.7443774386036456,-5.672668871319319,7.414491734767289
0.0277777778,70.0,1.3,polar,6.472225743255891,8.247362845992257e-7,-5.85655150836036,ferromagnetic,unknown,0.99540196909648,0.0014418743987922502,0.3385030257498998,0.3488083089719432,0.6238582818325321,0.20687351794872572,0.035735151910397625,0.00038094583403106924,2.827461565558786,2.8144608121536296,-0.7806912015288948,-6.0655482830129746,7.500719551756758
0.0277777778,73.0,1.3,stretched,6.2117644274838435,2.658318010162475e-12,-5.875539949915294,ferromagnetic,unknown,0.9981243445858645,7.645899443174014e-13,0.5382768512418076,0.5402751257100115,0.6257024285961774,0.20729437156070246,0.03511637701565403,4.579038560567583e-7,2.8200933283864074,2.8148038073186563,-0.7679153466693293,-6.346008965306665,7.518180382397375
0.0277777778,80.0,1.6,polar,7.265299813789666,2.617190020259841e-9,-5.423427016034036,cyclic,unknown,0.8133493847131639,0.17502840225124752,0.3220611437379551,0.313409741685915,0.6194032533759322,0.20487796358280116,0.03639128549738841,0.046259447847048656,3.059740234460385,2.488637839071507,-0.100279768547453,-6.419390836607421,8.040373581288
0.0277777778,85.0,1.6,polar,6.855515950456449,9.909957299214511e-10,-5.647324894062448,ferromagnetic,unknown,0.9071288929625521,0.08521719408690967,0.29566103296053825,0.3022791242238723,0.6204771313698675,0.20568734113288514,0.036565734988592516,0.022468991935383636,2.9939938933211105,2.715938368157981,-0.1444012312358747,-7.102180544667598,8.197148341380105
0.0277777778,90.0,1.6,polar,6.4311491176760125,2.6000357422617526e-10,-5.813833379726269,ferromagnetic,unknown,0.9866856394379174,0.008722990201717839,0.28579939706032437,0.3128655601448743,0.62187061319526,0.20637569093696206,0.03644349739400986,0.0022929768172749174,2.943423828641184,2.90423402482315,-0.19087142688170694,-7.741677545465397,8.3232704140455
0.0277777778,95.0,1.6,polar,5.999064489637493,2.7622348852673895e-12,-5.854909190580536,ferromagnetic,unknown,0.9975562541112543,1.604449200070959e-13,0.5769308608231994,0.593767338569752,0.6248333909140904,0.20708588899285763,0.035437426149817916,5.328324332321061e-7,2.926030073731535,2.918879602103798,-0.16486380434932324,-8.229505339986623,8.361300676865959
0.0277777778,78.0,1.9,stretched,8.720997480022739,0.007552337170496415,-4.509719797858212,cyclic,unknown,0.48598113729486436,0.49831662409124244,0.39637225805830195,0.36465299963925235,0.620275509524523,0.20422825240621845,0.035396711033899075,0.13097698379400718,3.471667797850908,1.6871650660593627,0.40755328020423714,-5.204442473863558,8.150188993764395
0.0277777778,84.0,1.9,stretched,8.30643940733303,2.2155752787966776e-9,-4.826607135782804,cyclic,unknown,0.5783842206857118,0.40694231770397377,0.37769532129322647,0.3490051302076731,0.6196569581567855,0.20433250609707404,0.03584199695417557,0.1070124621793648,3.369737465868131,1.949002979670912,0.4198736137341923,-5.998618706528179,8.357143961445887
0.0277777778,90.0,1.9,polar,7.8647502729036916,1.229539137170832e-9,-5.1198677307348746,cyclic,unknown,0.6768305839140732,0.31038641641278697,0.355525887822776,0.33348489557274946,0.6194146573658257,0.20463378802502089,0.03625750713809788,0.08162194750240359,3.272027534971584,2.2146083088495807,0.4219023065470379,-6.817595745290193,8.56439921526703
0.0277777778,96.0,1.9,polar,7.398345660088906,5.905169686570844e-10,-5.382019025807473,cyclic,unknown,0.7778377070908261,0.21184919385294906,0.332827002876079,0.32036573553800785,0.6196061368178477,0.20509191605313343,0.036572893755921855,0.055683358581862435,3.18171446696007,2.4748574875779497,0.4128343630377253,-7.644453335328162,8.76437660926129
0.0277777778,84.0,2.2,stretched,9.418865994249684,0.006094613432713558,-4.196088684267291,cyclic,unknown,0.39348840277193414,0.5956378669265844,0.4123723617457185,0.3782549032241186,0.622514620306468,0.20531213593309325,0.03515299452871009,0.15580659872325922,3.7233069352752874,1.46507810016328,0.6794005705778304,-5.214995912150317,8.541775960172297
0.0277777778,90.0,2.2,polar,9.033588737019247,1.006625893751334e-9,-4.482030277411597,cyclic,unknown,0.4644130345389651,0.5243822173014422,0.39881528443889425,0.36641461371775114,0.6216928243664008,0.20515334634770382,0.035479924776840366,0.13724712183806595,3.6220839602367807,1.6821430046742536,0.7358715083296595,-5.968253934011666,8.737639684943177
0.0277777778,96.0,2.2,polar,8.62349284580824,8.910099325021292e-10,-4.754663985983458,cyclic,unknown,0.541518138422777,0.4474518751003217,0.384000271467365,0.35464849220714106,0.6210470487097087,0.20510806020283653,0.03580842334417093,0.11716240353245806,3.5218880943080992,1.9071662860889675,0.7854198489342146,-6.753377639000189,8.938589516172796
0.0277777778,105.0,1.9,polar,6.659605454753876,6.845191080628865e-12,-5.694802485126863,ferromagnetic,unknown,0.9194904798620118,0.07420444209668271,0.29833837211317266,0.30732219862687343,0.6208976525301487,0.20594604538671027,0.03663878546016269,0.019469225786860188,3.0691612340037593,2.822064538085853,0.38228248942767373,-8.847038256378193,9.026308893273615
0.0277777778,115.0,1.9,polar,5.801472142671352,7.72892860823049e-12,-5.857736066261807,ferromagnetic,unknown,0.9973710483649371,3.5703914344016824e-14,0.5998303814528932,0.6101017258583588,0.624546019746697,0.20701462856914704,0.0355480377105118,5.405756676105882e-7,3.0032302817748606,2.995334937011507,0.38864254558568145,-9.966841267693017,9.1818992068007
