c1_ratio,B_uG,kappa,gs_seed,E_gs,grad_norm,mF,coh,fluxclosure,chirality,inert,phase
0.0277777778,25.0,1.3,mminusF,9.22516089425806,2.3389065376261158e-7,0.17106344102543689,0.9629364216091508,0.6650613133001275,-4.9387003442154115e-24,unknown,nematic_unresolved
0.0277777778,25.0,1.6,mminusF,10.105961469959926,4.686777918429901e-8,0.15699855892070805,0.9680338504184045,0.7299801633782662,2.002729254943304e-22,unknown,nematic_unresolved
0.0277777778,25.0,1.9,mminusF,10.8942461262225,5.859374076205546e-6,0.14633172437552414,0.9716401678499142,0.7802573278769933,2.4519232898548448e-19,unknown,nematic_unresolved
0.0277777778,25.0,2.2,mminusF,11.613596021578882,1.5366319800288531e-6,0.1378602635299262,0.9744142900543635,0.8200580812224391,-3.1667509444551863e-20,unknown,nematic_unresolved
0.0277777778,40.0,1.3,mminusF,8.531104513352187,3.4097333809682465e-7,0.2837641871044238,0.9158010952913798,0.6704771855010037,-6.30519341344946e-21,unknown,polar_core_vortex
0.0277777778,40.0,1.6,mminusF,9.46103771382916,3.9502527876248665e-7,0.258982958232892,0.9255779141157172,0.7386873256153919,1.3987422499234873e-22,unknown,polar_core_vortex
0.0277777778,40.0,1.9,mminusF,10.287657212716276,2.896929622588541e-7,0.2404261005655041,0.9331274117095211,0.7899639503761166,1.0015866260906751e-21,unknown,polar_core_vortex
0.0277777778,48.0,1.3,mminusF,8.049495677262081,3.2818581343815705e-7,0.3499779154500439,0.8912388260803307,0.6726740042122855,-4.401962782038395e-21,unknown,ferromagnetic_textured
0.0277777778,48.0,1.6,mminusF,9.010790417264458,1.3992265516424384e-7,0.3179829792715764,0.9020461516412827,0.7422810683971691,1.4965807374164898e-22,unknown,radial_spin_vortex
0.0277777778,48.0,1.9,mminusF,9.86249054481861,3.10086283440516e-7,0.29427083997576603,0.9109155530922544,0.7941802082822503,1.4973830862353885e-21,unknown,polar_core_vortex
0.0277777778,48.0,2.2,mminusF,10.633930200027741,1.1616892059766265e-7,0.27573009663307874,0.9183511155196276,0.8332998745778044,-1.1572514673357921e-21,unknown,polar_core_vortex
0.0277777778,55.0,1.3,mminusF,7.573143790400016,1.428966153655955e-7,0.41297907768537373,0.873707437543866,0.6740912519134048,-2.2688037094474208e-24,unknown,ferromagnetic_textured
0.0277777778,55.0,1.6,mminusF,8.563001070275828,3.9532430042373086e-8,0.37333574067435626,0.8836453656075615,0.7447152802558002,-3.775340135881662e-23,unknown,radial_spin_vortex
0.0277777778,55.0,1.9,mminusF,9.438074339987436,1.0894660235590208e-7,0.344299441747781,0.8926279793823717,0.7971818959912658,-1.0492217174367719e-22,unknown,radial_spin_vortex
0.0277777778,55.0,2.2,mminusF,10.229201127747707,2.3435730377157343e-7,0.32177822194053113,0.9006071079988626,0.836385847390951,2.9683926472554927e-22,unknown,radial_spin_vortex
0.0277777778,62.0,1.3,mminusF,7.05259264673364,1.4251853364605986e-6,0.48228644227486944,0.8625046263800529,0.6751071018472589,-1.132419861157242e-27,unknown,ferromagnetic_textured
0.0277777778,62.0,1.9,mminusF,8.9693579237021,5.2730912881565404e-8,0.3977936308806857,0.8770157650280758,0.7995835326100512,1.0004845849026423e-23,unknown,radial_spin_vortex
0.0277777778,62.0,2.2,mminusF,9.780831157433276,1.638957842856552e-7,0.3706124549289458,0.8845900490919897,0.8388739245935908,3.8004851995699406e-22,unknown,radial_spin_vortex
