eps_dd,fs_gs,contrast_gs,E_gs,E_unif,E_mod,fs_mod
1.2,0.9999999999999986,0.0,5.114738019879857,5.114738019879857,5.114738019880953,0.9999999999999999
1.28,1.0000000000000002,0.0,4.940171994789573,4.940171994789573,4.940171994788093,1.0000000000000002
1.34,1.0000000000000009,0.0,4.809801110556026,4.809801110556026,4.809801110562185,0.9999999999655321
1.38,1.0,0.0,4.721347685814519,4.721347685814519,4.721347766873318,0.9999992816766634
1.41,1.0000000000000004,0.0,4.653368104822327,4.653368104822327,4.653448708586028,0.9978144155716043
1.44,0.7330450297161005,0.6641675011323336,4.576487831288337,4.583380731625768,4.576487831288337,0.7330450297161005
1.48,0.3088964931375516,0.9264329942795445,4.406142184771045,4.486051049763191,4.406142184771045,0.3088964931375516
1.53,0.0892233311436914,0.9869501853722835,4.074116655251971,4.356828063513277,4.074116655251971,0.0892233311436914
1.58,0.021855778538053965,0.9977983624790745,3.6095855459555466,4.219398307088166,3.6095855459555466,0.021855778538053965
1.65,0.0023634683478377205,0.9998536447308183,2.7477279234469556,4.017250681409287,2.7477279234469556,0.0023634683478377205
