label,x,y,z
v1,0.0,0.5257311121191336,0.85065080835204
v2,0.0,-0.5257311121191336,0.85065080835204
v3,0.0,0.5257311121191336,-0.85065080835204
v4,0.0,-0.5257311121191336,-0.85065080835204
v5,0.5257311121191336,0.85065080835204,0.0
v6,-0.5257311121191336,0.85065080835204,0.0
v7,0.5257311121191336,-0.85065080835204,0.0
v8,-0.5257311121191336,-0.85065080835204,0.0
v9,0.85065080835204,0.0,0.5257311121191336
v10,0.85065080835204,0.0,-0.5257311121191336
v11,-0.85065080835204,0.0,0.5257311121191336
v12,-0.85065080835204,0.0,-0.5257311121191336
