tau_ms,surviving_N,loss_pct,hold_N,hold_loss_pct
0.0000,9702.06,2.97937,8948.52,10.5148
3.7894,9751.95,2.48047,8948.52,10.5148
9.4735,9705.21,2.94794,8948.52,10.5148
17.0523,9642.82,3.57178,8948.52,10.5148
26.5258,9565.57,4.34425,8948.52,10.5148
37.8940,9474.41,5.2559,8948.52,10.5148
45.4728,9414.45,5.85554,8948.52,10.5148
