omega_final,tau_ms,N0,gain_over_hold,N0_hold
0.4500,0.0000,50048.6,1.121865,44612
0.5000,0.0000,51144.9,1.146436,44612
0.5500,0.0000,51671.1,1.158232,44612
0.6000,0.0000,51688.5,1.158623,44612
0.6500,0.0000,51460.7,1.153515,44612
0.7000,0.0000,51160.8,1.146793,44612
0.7500,0.0000,50590.6,1.134012,44612
