N0,T,cf
2.81619e+04,51.392,0.7959
2.69982e+05,60.210,0.9834
2.07272e+04,41.789,0.7718
9.03592e+04,50.460,0.9261
6.79169e+04,49.292,0.9243
3.85242e+04,58.753,0.9021
6.70335e+04,45.229,0.9050
1.33783e+05,55.340,0.9621
1.08851e+05,47.572,0.9287
6.95780e+04,47.983,0.9316
6.97516e+04,60.087,0.9252
4.17810e+04,44.995,0.8491
1.90327e+05,52.899,0.9748
4.63648e+04,45.219,0.8333
1.41640e+05,73.950,0.9848
4.14725e+04,47.255,0.8222
4.12012e+04,47.072,0.8773
1.84314e+05,48.217,0.9671
2.36863e+05,56.035,0.9792
5.61991e+04,45.795,0.9098
1.24179e+05,56.227,0.9526
2.65616e+04,45.119,0.7850
1.32444e+05,35.846,0.9374
1.91408e+05,47.158,0.9651
2.14491e+05,50.585,0.9810
1.49581e+04,50.842,0.6609
3.82537e+04,47.681,0.8569
1.42332e+05,56.521,0.9642
1.03137e+05,68.693,0.9601
2.05872e+04,43.488,0.7585
1.50616e+05,50.516,0.9515
6.11588e+04,57.183,0.9307
2.36838e+05,47.330,0.9769
1.90950e+04,52.427,0.7057
2.02472e+05,56.181,0.9669
1.93151e+04,45.922,0.6940
2.97908e+05,47.706,0.9752
2.41038e+05,52.788,0.9818
4.82603e+04,46.536,0.9073
1.92550e+05,46.487,0.9663
1.99232e+05,50.056,0.9634
2.81134e+05,69.340,0.9861
1.96333e+05,59.490,0.9699
1.73595e+05,52.896,0.9575
5.73527e+04,46.554,0.8957
2.19053e+05,60.890,0.9806
2.71465e+04,57.043,0.8493
2.10760e+05,38.188,0.9528
1.14762e+05,51.114,0.9510
8.74489e+04,46.500,0.9273
1.79940e+05,45.074,0.9587
7.06138e+04,52.690,0.9038
2.45048e+05,44.061,0.9697
1.26415e+05,58.090,0.9612
1.82277e+05,53.548,0.9765
5.32902e+04,43.849,0.8729
2.48781e+04,46.058,0.8103
2.33872e+04,39.268,0.7694
5.86753e+04,53.814,0.9230
1.85464e+05,44.223,0.9605
2.80468e+05,59.652,0.9831
1.93904e+04,49.279,0.7527
7.46309e+04,44.363,0.8907
4.62382e+04,50.342,0.8466
4.56683e+04,46.816,0.8793
1.87537e+05,45.001,0.9592
3.29016e+05,49.717,0.9830
3.24177e+04,42.985,0.8294
2.04855e+04,52.577,0.7826
3.01652e+04,59.238,0.9063
2.32285e+05,44.507,0.9696
5.88567e+04,51.122,0.8717
2.77748e+05,67.270,0.9859
3.31738e+04,50.616,0.8147
9.41565e+04,42.759,0.9229
1.52708e+05,39.143,0.9414
2.81468e+04,53.051,0.7895
1.19422e+05,46.530,0.9485
4.83474e+04,48.143,0.8659
1.77407e+05,51.546,0.9586
3.12504e+05,50.302,0.9837
2.34061e+05,39.003,0.9580
4.64236e+04,43.116,0.8473
1.28896e+05,52.281,0.9589
1.99684e+05,49.723,0.9639
5.55470e+04,49.764,0.8548
2.99928e+05,57.693,0.9863
1.42598e+05,48.264,0.9721
1.57276e+05,59.362,0.9660
1.61396e+05,51.238,0.9623
2.90237e+05,52.810,0.9846
4.65571e+04,49.696,0.9005
3.62036e+04,53.575,0.8778
5.37704e+04,62.984,0.9308
1.11363e+05,44.014,0.9234
3.15063e+04,41.718,0.8111
1.50372e+05,43.106,0.9366
2.46696e+05,50.172,0.9733
8.58921e+04,46.248,0.9301
3.10530e+05,51.723,0.9757
8.09079e+04,46.180,0.9439
9.94069e+04,70.419,0.9745
1.69382e+05,47.635,0.9661
7.15125e+04,60.549,0.9352
3.31374e+05,52.854,0.9827
5.92317e+04,49.274,0.8861
9.34685e+04,54.214,0.9370
2.23498e+05,51.018,0.9727
2.47099e+05,47.947,0.9723
1.84981e+04,48.759,0.6222
5.09828e+04,43.296,0.8642
1.50344e+05,36.828,0.9310
1.03940e+05,58.477,0.9536
1.37847e+05,48.582,0.9525
3.26936e+05,42.447,0.9780
2.57995e+04,55.078,0.8736
2.91177e+04,51.168,0.8472
2.40912e+05,53.629,0.9763
1.18066e+05,50.274,0.9481
2.63215e+05,49.456,0.9792
3.80548e+04,40.114,0.8382
2.52676e+05,42.376,0.9650
6.53665e+04,50.994,0.9033
1.88284e+05,40.243,0.9566
1.06050e+05,61.911,0.9588
3.47253e+04,47.379,0.8520
5.05778e+04,48.798,0.8758
7.27979e+04,44.915,0.9074
1.78379e+05,63.109,0.9701
3.20582e+04,49.622,0.8295
6.48400e+04,51.934,0.9090
1.70117e+05,47.764,0.9706
