N0,T,cf
1.03509e+05,42.117,0.9068
2.61701e+04,59.524,0.8700
5.48067e+04,56.492,0.9033
4.70273e+04,40.205,0.8620
4.90243e+04,78.681,0.9090
1.99127e+04,60.079,0.8318
2.19466e+05,46.009,0.9689
3.46272e+04,43.125,0.8298
2.14305e+04,40.695,0.6202
8.18463e+04,56.809,0.9425
1.81037e+04,42.248,0.7187
1.38124e+05,61.592,0.9641
2.52126e+04,44.153,0.7717
7.43580e+04,45.360,0.9196
6.45652e+04,63.138,0.9297
8.22056e+04,50.369,0.9338
2.99280e+05,43.247,0.9830
1.89752e+04,43.493,0.7164
2.24388e+04,49.990,0.7293
1.17652e+05,50.234,0.9500
2.92991e+04,45.271,0.8324
4.71488e+04,63.712,0.8701
1.50644e+05,63.317,0.9625
2.61754e+05,55.952,0.9853
2.29401e+04,53.696,0.7999
1.17845e+05,43.122,0.9516
6.75438e+04,65.038,0.9376
1.76061e+05,72.939,0.9824
1.53692e+05,49.859,0.9506
1.29933e+05,43.372,0.9581
2.83293e+05,46.943,0.9752
3.23087e+05,42.873,0.9814
3.15214e+05,58.034,0.9825
6.26693e+04,52.312,0.8950
8.09015e+04,47.060,0.9455
2.34919e+05,50.015,0.9830
3.87179e+04,52.171,0.8460
1.32833e+05,61.430,0.9685
2.38012e+05,44.848,0.9603
6.33848e+04,48.765,0.9113
1.33721e+05,54.251,0.9416
3.40505e+04,47.303,0.8498
6.12007e+04,46.607,0.8808
5.79335e+04,54.359,0.9170
3.18978e+05,49.346,0.9844
1.98117e+05,44.538,0.9650
8.33297e+04,52.904,0.9341
1.96608e+04,56.035,0.7697
2.25316e+05,62.212,0.9755
7.93971e+04,44.675,0.9191
5.57835e+04,54.993,0.9080
1.48714e+05,56.896,0.9648
1.22075e+05,40.582,0.9401
1.31200e+05,41.262,0.9326
6.55610e+04,44.594,0.8810
2.76651e+05,42.838,0.9750
2.36687e+05,47.182,0.9663
2.34637e+05,56.447,0.9868
2.67073e+04,48.512,0.8237
9.50956e+04,52.418,0.9359
1.84934e+04,51.145,0.7346
1.69172e+05,57.297,0.9748
5.12692e+04,55.573,0.9075
3.43442e+04,45.390,0.7756
4.81824e+04,43.588,0.8687
2.86919e+05,42.370,0.9730
3.39369e+05,45.629,0.9852
7.07317e+04,59.092,0.9234
4.13381e+04,49.826,0.8137
2.07333e+05,53.555,0.9794
7.23103e+04,40.853,0.9116
5.90992e+04,57.355,0.9225
2.39032e+05,58.655,0.9840
1.67053e+05,57.897,0.9707
1.30634e+05,41.672,0.9510
5.29815e+04,64.621,0.9059
3.77231e+05,59.141,0.9855
1.85544e+04,64.661,0.7829
1.42104e+05,62.500,0.9647
2.19376e+05,55.552,0.9783
2.51416e+05,62.892,0.9758
1.70434e+05,44.754,0.9462
1.34126e+05,47.188,0.9555
1.14435e+05,43.756,0.9433
3.16454e+04,51.794,0.8472
3.23504e+05,51.699,0.9859
1.82376e+05,45.740,0.9550
2.12258e+04,44.087,0.7145
2.19001e+05,58.406,0.9741
2.93886e+04,51.694,0.8237
2.50515e+05,57.237,0.9804
1.21995e+05,51.107,0.9615
1.76312e+04,52.844,0.6900
8.72923e+04,56.949,0.9340
2.50151e+05,54.914,0.9777
1.19055e+05,40.950,0.9433
1.59589e+05,38.242,0.9315
4.00536e+04,51.769,0.8964
2.98770e+05,58.187,0.9804
1.39052e+05,61.127,0.9721
2.77166e+05,54.715,0.9774
1.81405e+04,51.362,0.7135
1.83336e+05,54.483,0.9687
1.94245e+05,61.002,0.9694
1.52708e+05,45.738,0.9555
7.21299e+04,52.875,0.9177
2.06232e+05,49.181,0.9615
2.26846e+05,50.870,0.9752
3.90185e+04,55.289,0.8582
5.51953e+04,49.983,0.9074
1.52247e+05,57.418,0.9733
1.04530e+05,56.450,0.9261
1.50879e+05,48.583,0.9644
3.75404e+04,44.650,0.8766
1.66106e+05,52.562,0.9589
1.58522e+05,49.902,0.9686
1.06346e+05,55.360,0.9516
2.06478e+05,42.927,0.9585
1.78139e+05,46.648,0.9584
1.19878e+05,53.548,0.9501
3.60140e+04,40.807,0.7689
1.54290e+05,54.128,0.9587
9.05282e+04,62.749,0.9505
9.38393e+04,66.778,0.9568
2.79248e+05,54.065,0.9783
1.85526e+05,65.237,0.9698
2.91325e+04,52.688,0.8534
3.94860e+04,58.568,0.9092
2.40589e+04,48.395,0.7552
4.20138e+04,48.542,0.8461
1.94739e+05,42.860,0.9639
1.12423e+05,45.437,0.9435
7.39894e+04,60.861,0.9392
5.61894e+04,43.834,0.8601
4.88839e+04,48.180,0.8729
2.54620e+05,44.838,0.9735
2.70105e+05,52.391,0.9801
2.80906e+05,46.920,0.9729
4.10601e+04,46.298,0.8823
1.77629e+05,52.495,0.9709
2.49577e+04,47.884,0.7696
4.12021e+04,69.018,0.9009
1.09961e+05,50.571,0.9477
5.89884e+04,53.236,0.9196
3.05769e+04,52.627,0.8129
1.71766e+05,48.918,0.9662
2.44230e+04,55.610,0.7752
1.56771e+05,47.232,0.9469
2.44186e+05,41.702,0.9734
8.23390e+04,53.683,0.9272
2.13883e+04,40.779,0.7527
1.44274e+05,51.763,0.9461
9.35068e+04,61.582,0.9598
2.75592e+04,49.317,0.8280
6.21132e+04,73.633,0.9388
4.22176e+04,47.010,0.8547
7.48182e+04,43.492,0.9022
4.45003e+04,42.469,0.8527
1.24847e+05,52.449,0.9569
6.05085e+04,46.514,0.9161
2.27671e+05,49.653,0.9768
8.72948e+04,48.400,0.9316
5.30784e+04,48.815,0.9013
2.52580e+05,42.659,0.9717
1.30780e+05,48.989,0.9518
1.98859e+04,54.753,0.7329
1.20279e+05,52.760,0.9675
4.28782e+04,48.573,0.8818
2.51939e+05,51.850,0.9819
2.69268e+05,44.437,0.9668
3.08298e+04,48.521,0.8219
2.14565e+04,55.946,0.8020
5.33061e+04,43.060,0.8211
1.14001e+05,57.693,0.9584
1.17415e+05,62.154,0.9643
2.75299e+05,57.526,0.9787
6.57074e+04,51.330,0.9299
1.72431e+05,48.602,0.9619
7.95855e+04,43.876,0.9300
1.06700e+05,51.273,0.9444
2.00540e+05,56.775,0.9823
1.84464e+05,50.409,0.9639
1.97712e+04,47.050,0.7214
4.57044e+04,51.984,0.9101
2.63954e+05,42.256,0.9806
3.25511e+05,55.329,0.9826
2.34872e+05,48.259,0.9680
1.15362e+05,52.345,0.9463
8.91647e+04,63.995,0.9573
2.45210e+04,44.764,0.7406
3.34827e+05,50.971,0.9856
5.71942e+04,62.545,0.9152
2.11260e+05,51.472,0.9691
1.02124e+05,49.667,0.9407
2.19724e+05,61.011,0.9855
1.66254e+04,49.672,0.6073
1.25680e+05,63.863,0.9645
3.29770e+05,52.074,0.9777
2.77462e+04,44.580,0.7455
1.49688e+05,55.054,0.9778
3.28713e+04,53.032,0.8502
4.17449e+04,54.302,0.9121
1.78676e+05,48.925,0.9725
1.32105e+05,48.043,0.9618
1.49376e+05,57.829,0.9670
2.31213e+05,65.768,0.9770
2.51119e+04,49.358,0.8201
1.86334e+05,46.479,0.9557
8.60346e+04,47.057,0.9063
2.08900e+05,52.784,0.9744
1.13639e+05,38.255,0.9334
1.58281e+05,56.709,0.9663
1.81371e+05,63.844,0.9772
2.13197e+05,52.620,0.9674
7.20665e+04,50.676,0.9469
8.58955e+04,44.368,0.9119
6.84068e+04,50.880,0.9040
3.04468e+05,58.169,0.9853
9.63276e+04,66.594,0.9659
1.99973e+05,69.265,0.9741
1.92466e+05,41.411,0.9602
2.14625e+05,64.022,0.9711
1.84392e+05,39.132,0.9531
1.65415e+05,58.542,0.9714
2.00534e+05,55.892,0.9769
3.35003e+04,48.957,0.7823
2.37238e+04,47.633,0.8030
2.39461e+04,56.765,0.8193
2.53198e+05,48.154,0.9718
5.02379e+04,44.457,0.8943
9.87608e+04,58.555,0.9365
9.79876e+04,54.191,0.9318
2.22470e+05,41.146,0.9671
2.52787e+04,57.427,0.7923
1.62643e+05,63.344,0.9731
7.20396e+04,44.512,0.9229
1.74253e+05,65.337,0.9820
6.74650e+04,54.285,0.9032
6.16497e+04,54.040,0.9089
1.78627e+05,66.300,0.9782
1.39367e+05,56.263,0.9587
1.40768e+05,49.495,0.9430
4.91708e+04,49.810,0.8878
9.90659e+04,52.524,0.9546
7.98665e+04,48.210,0.9101
1.75222e+05,51.275,0.9732
2.03429e+05,51.829,0.9692
2.08239e+05,47.686,0.9672
5.66228e+04,54.500,0.8850
2.64728e+04,41.823,0.7846
1.52559e+05,44.869,0.9440
9.81068e+04,47.229,0.9421
1.95616e+05,55.307,0.9621
3.65460e+04,57.416,0.8638
2.46760e+05,55.382,0.9817
1.26703e+05,53.751,0.9660
4.94546e+04,50.794,0.8925
7.69227e+04,52.329,0.9333
5.21207e+04,41.640,0.8912
1.29782e+05,49.209,0.9595
1.64377e+05,55.402,0.9664
2.52521e+05,49.767,0.9822
4.63354e+04,48.011,0.8821
2.54625e+05,52.572,0.9793
4.88261e+04,56.848,0.9182
1.23713e+05,49.466,0.9525
2.37477e+04,51.309,0.7829
8.08991e+04,49.665,0.9283
1.18805e+05,63.504,0.9648
1.38495e+05,49.169,0.9558
3.54976e+04,44.982,0.7963
2.12712e+05,50.047,0.9663
2.97412e+05,39.565,0.9766
2.33803e+05,45.696,0.9573
4.15904e+04,56.685,0.8769
3.13613e+05,46.655,0.9718
1.44800e+05,53.974,0.9693
3.10377e+05,51.043,0.9803
1.57103e+05,70.904,0.9739
1.75349e+05,42.490,0.9516
2.49350e+05,46.402,0.9797
7.22872e+04,53.022,0.9055
1.31689e+05,45.161,0.9422
9.58683e+04,56.977,0.9543
2.51870e+05,54.999,0.9804
1.96070e+04,64.261,0.7365
2.85732e+05,55.700,0.9820
2.93681e+05,42.326,0.9780
1.10528e+05,38.378,0.9100
5.87474e+04,48.909,0.8985
2.88286e+04,57.005,0.8382
1.08684e+05,53.936,0.9444
1.99152e+04,53.210,0.7727
8.12748e+04,51.630,0.9229
2.69475e+05,48.320,0.9697
7.39035e+04,40.771,0.8959
6.98844e+04,52.269,0.9179
1.23329e+05,49.712,0.9527
3.25050e+04,69.203,0.8712
2.25151e+05,58.363,0.9804
1.29439e+05,69.718,0.9659
1.98930e+04,42.292,0.7334
1.33719e+05,49.396,0.9417
2.50499e+04,45.863,0.7646
1.82031e+05,44.489,0.9541
8.62749e+04,55.604,0.9426
6.03070e+04,47.322,0.8659
9.23773e+04,46.066,0.9320
1.09862e+05,55.166,0.9527
1.05343e+05,52.017,0.9481
5.89504e+04,54.311,0.9023
1.90239e+05,51.542,0.9557
7.07863e+04,51.076,0.9233
1.39226e+05,47.343,0.9566
2.15301e+04,49.259,0.7694
2.62780e+05,69.650,0.9878
1.00747e+05,48.788,0.9532
2.19489e+04,45.160,0.7561
2.96918e+05,46.769,0.9727
6.87390e+04,35.704,0.8584
1.67730e+05,54.266,0.9795
1.13199e+05,44.732,0.9330
3.09522e+05,58.181,0.9806
2.48832e+04,48.156,0.7747
5.63307e+04,49.500,0.8959
2.39325e+04,54.995,0.8253
8.56116e+04,47.516,0.9091
5.24285e+04,61.270,0.9381
3.04212e+05,52.960,0.9850
1.11788e+05,60.847,0.9699
3.95084e+04,52.867,0.9035
1.28948e+05,51.844,0.9528
1.45439e+05,58.325,0.9623
2.10084e+05,51.650,0.9820
1.05886e+05,50.394,0.9515
4.12914e+04,54.786,0.8447
2.26383e+04,53.457,0.8095
2.02766e+04,40.842,0.6688
5.10614e+04,48.771,0.8865
2.58200e+05,62.147,0.9809
3.08918e+04,61.523,0.8917
2.08671e+04,63.150,0.8127
1.19779e+05,53.883,0.9481
3.83849e+04,53.348,0.8689
1.74398e+05,52.742,0.9647
2.30204e+05,43.190,0.9643
1.38345e+04,45.365,0.6047
2.57101e+05,59.299,0.9834
2.27606e+04,35.767,0.6490
1.81079e+05,47.398,0.9704
5.11214e+04,72.614,0.9481
5.26074e+04,47.509,0.8744
1.23205e+05,47.320,0.9251
1.09961e+05,49.453,0.9559
3.53939e+05,59.083,0.9867
2.86842e+05,47.463,0.9861
1.18437e+05,59.247,0.9615
3.01170e+04,56.258,0.8483
6.04804e+04,51.554,0.9323
2.10379e+05,48.407,0.9677
2.04108e+04,49.901,0.8193
1.51469e+05,44.989,0.9558
3.25073e+04,59.378,0.9131
1.66855e+05,46.878,0.9527
7.43122e+04,46.422,0.9091
2.97821e+04,43.594,0.8260
1.51979e+05,49.078,0.9556
2.40681e+05,57.039,0.9755
2.61444e+05,51.829,0.9846
2.63707e+04,48.730,0.8317
1.35718e+05,64.149,0.9656
2.65722e+04,50.450,0.8378
5.37893e+04,52.490,0.9332
1.51282e+05,57.619,0.9651
9.78894e+04,46.526,0.9304
1.13397e+05,52.406,0.9564
1.06843e+05,57.841,0.9312
1.55094e+05,48.367,0.9613
3.15657e+04,50.375,0.8746
1.11603e+05,52.346,0.9475
7.09702e+04,45.352,0.9012
2.28211e+04,59.554,0.8437
2.30976e+05,55.361,0.9787
1.70234e+05,65.327,0.9766
2.35122e+04,42.968,0.7360
2.18256e+05,48.917,0.9706
5.76223e+04,57.091,0.9248
2.59598e+04,55.483,0.8113
2.98266e+05,55.850,0.9747
2.10935e+05,55.917,0.9745
1.76674e+05,60.673,0.9724
1.53929e+05,47.204,0.9457
6.96507e+04,46.552,0.9178
2.84847e+05,53.185,0.9825
5.82864e+04,49.832,0.8934
2.75015e+05,45.333,0.9755
5.39403e+04,42.597,0.8659
2.09282e+04,43.037,0.7313
2.66300e+05,65.236,0.9782
5.57102e+04,44.480,0.8406
2.33299e+05,43.219,0.9768
3.46208e+05,47.665,0.9808
2.68533e+05,52.378,0.9803
2.05638e+05,48.216,0.9661
5.14390e+04,57.190,0.9044
2.49322e+04,38.390,0.7300
3.05769e+04,56.533,0.8524
2.80129e+04,48.578,0.8024
2.61251e+04,47.395,0.7563
2.30226e+05,47.949,0.9730
2.78268e+05,46.975,0.9707
3.77890e+04,55.053,0.8306
2.37912e+05,71.831,0.9752
1.08081e+05,49.209,0.9517
1.64987e+04,42.074,0.6712
1.84521e+05,62.077,0.9768
1.72024e+05,49.127,0.9711
3.65656e+04,65.004,0.8973
1.64194e+05,49.814,0.9552
3.79785e+04,59.174,0.8947
3.61568e+05,53.101,0.9856
1.59498e+04,42.045,0.6477
6.21343e+04,49.781,0.9092
2.13327e+05,52.285,0.9720
3.62758e+05,48.786,0.9821
2.47920e+05,49.002,0.9785
3.18641e+05,46.686,0.9794
8.53570e+04,37.041,0.8996
1.21172e+05,41.160,0.9430
1.77556e+04,49.926,0.7045
2.38530e+04,52.139,0.8020
4.88744e+04,59.775,0.8649
2.16210e+05,46.573,0.9726
2.69149e+04,42.182,0.7390
1.09191e+05,35.443,0.9275
9.55077e+04,46.214,0.8981
2.61127e+04,58.275,0.7477
5.31267e+04,42.320,0.8514
2.22696e+05,60.713,0.9706
9.68925e+04,54.465,0.9514
5.24099e+04,46.243,0.9170
1.43320e+05,58.094,0.9658
3.74370e+05,46.531,0.9834
1.06839e+05,51.641,0.9494
1.01964e+05,45.714,0.9507
5.30893e+04,51.044,0.8786
2.57153e+04,66.255,0.8671
1.07812e+05,60.235,0.9576
1.20284e+05,47.189,0.9488
7.00127e+04,47.919,0.9186
5.27048e+04,49.788,0.8621
2.85252e+04,47.409,0.8160
1.60716e+05,49.544,0.9601
1.95187e+05,48.096,0.9771
2.43933e+05,61.512,0.9849
3.72248e+04,48.113,0.8532
1.16827e+05,46.486,0.9365
2.06321e+05,52.204,0.9678
2.12208e+05,42.712,0.9699
1.74618e+05,55.997,0.9650
5.83129e+04,65.295,0.9422
2.69877e+05,49.444,0.9793
4.38363e+04,56.699,0.9144
9.54716e+04,44.342,0.9456
2.33108e+05,50.371,0.9748
1.88096e+05,49.129,0.9754
6.88880e+04,41.454,0.8833
1.93497e+05,53.766,0.9730
3.24770e+05,56.616,0.9827
3.19779e+05,45.450,0.9827
1.32873e+05,51.084,0.9604
2.36493e+05,59.307,0.9791
1.16707e+05,43.351,0.9395
3.93167e+04,51.572,0.8093
2.00334e+05,53.411,0.9732
2.15827e+05,49.232,0.9662
6.30899e+04,53.109,0.9224
1.74931e+05,55.691,0.9726
2.79732e+05,52.413,0.9772
9.94424e+04,46.153,0.9494
4.12830e+04,45.939,0.8543
1.12475e+05,66.880,0.9469
2.72315e+05,43.580,0.9746
1.88412e+05,47.860,0.9684
2.25703e+05,45.183,0.9655
6.23648e+04,72.403,0.9263
4.59288e+04,40.798,0.8441
2.73045e+05,62.133,0.9836
1.60809e+05,53.978,0.9509
3.12238e+05,45.068,0.9737
1.15190e+05,51.744,0.9576
7.54939e+04,55.132,0.9084
3.90415e+04,49.945,0.8899
2.99852e+05,52.404,0.9848
3.98461e+04,48.696,0.8460
1.78842e+05,64.105,0.9800
4.50900e+04,54.304,0.9118
3.03242e+04,48.298,0.8156
7.98538e+04,43.153,0.8793
1.82078e+05,43.895,0.9316
7.69623e+04,59.832,0.9432
1.68219e+05,51.886,0.9671
3.31068e+05,56.692,0.9847
4.75717e+04,53.518,0.9047
9.89355e+04,47.779,0.9377
4.67534e+04,70.550,0.9246
1.80551e+05,57.059,0.9723
1.08988e+05,59.502,0.9549
1.78363e+05,40.784,0.9616
2.04011e+04,51.829,0.7989
6.34752e+04,36.905,0.8561
2.61250e+05,50.150,0.9841
1.93489e+05,51.005,0.9660
1.68513e+05,59.739,0.9569
2.90801e+04,56.738,0.8660
2.07870e+05,41.064,0.9713
3.26634e+04,40.676,0.8018
1.74900e+05,53.223,0.9725
3.41492e+05,46.252,0.9814
6.89922e+04,61.690,0.9468
2.24777e+05,48.194,0.9706
4.78265e+04,44.950,0.8682
1.39281e+05,43.549,0.9584
2.55254e+04,46.554,0.7806
1.18014e+05,58.262,0.9508
4.06300e+04,43.239,0.8594
1.52969e+05,43.569,0.9484
3.12401e+05,45.004,0.9757
2.97664e+05,60.925,0.9864
3.22665e+04,56.076,0.8699
1.20938e+05,45.832,0.9428
1.64526e+05,52.699,0.9529
2.66186e+04,44.584,0.7713
1.20667e+05,40.864,0.9505
2.45734e+04,51.612,0.7974
1.14701e+05,55.401,0.9593
1.93270e+04,51.685,0.7097
7.78236e+04,80.324,0.9564
8.66447e+04,47.845,0.9305
1.74208e+05,57.601,0.9704
8.84408e+04,56.539,0.9373
1.41797e+05,46.478,0.9506
3.05393e+05,44.194,0.9775
1.39481e+05,56.904,0.9617
1.89575e+05,60.643,0.9718
3.45694e+04,43.891,0.7830
3.99301e+04,47.480,0.8316
1.86132e+04,43.982,0.7178
9.39235e+04,50.464,0.9293
1.26991e+05,47.203,0.9519
8.58603e+04,51.454,0.9320
1.44127e+05,44.869,0.9499
1.54661e+05,64.588,0.9720
1.98480e+04,54.723,0.8121
9.40446e+04,50.977,0.9328
2.45405e+04,54.299,0.8590
3.13511e+05,44.892,0.9778
2.25158e+05,50.519,0.9731
5.16946e+04,48.749,0.8973
2.17278e+05,59.779,0.9807
3.39343e+05,47.603,0.9839
1.72563e+05,45.714,0.9596
1.74166e+05,51.309,0.9701
1.76781e+05,49.394,0.9641
2.70555e+05,43.571,0.9766
1.67178e+05,64.836,0.9724
2.55345e+04,65.760,0.8700
1.15533e+05,56.101,0.9689
1.17503e+05,49.708,0.9383
3.11819e+04,49.720,0.7920
2.19437e+05,44.795,0.9716
1.08706e+05,45.302,0.9466
1.84665e+05,55.681,0.9727
1.10960e+05,55.196,0.9662
1.23941e+05,53.090,0.9654
8.49778e+04,46.104,0.8986
4.64861e+04,48.113,0.8719
5.90292e+04,58.173,0.9347
2.50284e+05,50.032,0.9735
1.04721e+05,59.351,0.9579
1.47811e+05,45.657,0.9429
2.24931e+05,47.502,0.9762
1.00415e+05,52.859,0.9420
5.90721e+04,53.075,0.8715
2.20359e+05,44.909,0.9639
1.35423e+05,62.750,0.9715
1.97704e+05,50.910,0.9718
6.41413e+04,47.048,0.9327
2.75989e+04,65.597,0.8322
1.05063e+05,56.764,0.9390
3.06696e+04,46.245,0.8229
6.16764e+04,62.284,0.9145
2.88897e+04,53.243,0.8542
2.32879e+05,43.345,0.9752
2.39179e+04,58.903,0.8493
5.41593e+04,51.507,0.9130
6.44624e+04,56.231,0.9387
2.39716e+04,45.109,0.7710
7.61071e+04,52.604,0.9193
2.28080e+04,49.788,0.8127
5.46207e+04,44.872,0.8583
5.71438e+04,58.458,0.9237
8.59991e+04,50.653,0.9329
2.34913e+04,50.155,0.8149
1.07181e+05,38.585,0.9263
6.78470e+04,48.743,0.9039
1.84484e+05,41.970,0.9603
2.91852e+04,51.162,0.8460
4.66087e+04,40.917,0.8337
7.63212e+04,51.091,0.9469
1.86577e+05,49.222,0.9756
1.44959e+05,37.579,0.9470
1.38092e+05,47.496,0.9466
1.19553e+05,58.285,0.9555
1.19825e+05,51.847,0.9560
2.14918e+05,53.392,0.9659
4.22839e+04,49.805,0.8623
4.18585e+04,75.239,0.9272
3.03875e+04,62.701,0.8605
2.21865e+04,44.197,0.7582
1.11823e+05,49.590,0.9458
6.74839e+04,41.096,0.8898
4.40555e+04,48.583,0.8967
4.69525e+04,49.910,0.9021
4.24491e+04,49.009,0.8032
4.29982e+04,58.215,0.9080
2.02798e+05,45.092,0.9692
8.25692e+04,59.097,0.9464
5.20827e+04,54.914,0.9238
2.80144e+04,47.097,0.8317
3.14699e+04,40.490,0.7937
1.48287e+05,58.578,0.9628
9.67575e+04,50.398,0.9440
6.24635e+04,42.306,0.9204
2.07361e+04,61.659,0.7889
6.17267e+04,59.811,0.9210
2.67185e+04,40.276,0.7710
4.14214e+04,62.043,0.8684
2.57013e+04,45.345,0.7804
4.71524e+04,73.543,0.9276
2.09811e+04,52.152,0.7538
3.60281e+05,45.950,0.9863
3.44782e+05,59.391,0.9809
3.38450e+04,55.446,0.9037
9.76669e+04,40.994,0.9153
2.44669e+05,48.365,0.9654
9.45366e+04,48.012,0.9434
7.55007e+04,68.458,0.9558
1.46755e+05,45.442,0.9549
2.60046e+05,48.536,0.9745
1.99795e+05,57.473,0.9788
2.43147e+04,42.555,0.8016
2.26377e+05,70.664,0.9826
4.79183e+04,54.882,0.9041
1.74525e+05,56.748,0.9648
1.63038e+05,47.978,0.9732
8.20093e+04,48.536,0.9358
3.65641e+04,53.726,0.8824
6.82894e+04,42.306,0.8889
1.36267e+05,48.733,0.9556
2.00085e+04,63.345,0.8721
3.09828e+05,54.956,0.9863
1.65967e+05,45.551,0.9568
2.07202e+05,56.087,0.9729
1.79849e+05,46.994,0.9631
5.78449e+04,51.043,0.9213
2.22366e+05,44.704,0.9703
3.50278e+04,47.163,0.8141
6.73308e+04,42.276,0.9039
2.16858e+05,57.478,0.9795
9.78098e+04,46.847,0.9418
2.83814e+05,43.352,0.9704
1.64232e+05,39.203,0.9176
6.08598e+04,76.007,0.9538
2.19151e+05,54.519,0.9748
9.66034e+04,48.379,0.9161
9.78807e+04,53.742,0.9342
7.34974e+04,45.403,0.9142
1.41303e+05,61.964,0.9628
1.13225e+05,44.135,0.9481
3.91925e+04,50.854,0.8534
1.88204e+05,51.154,0.9750
2.48633e+04,46.070,0.7749
7.47898e+04,53.770,0.9409
3.30557e+04,51.915,0.8570
1.68625e+05,40.050,0.9588
2.76159e+05,51.501,0.9817
9.45096e+04,50.555,0.9439
1.55095e+05,41.007,0.9655
1.96934e+05,52.779,0.9716
3.92355e+04,45.037,0.8511
1.85653e+05,45.273,0.9658
4.62670e+04,47.904,0.8736
3.10143e+05,44.612,0.9793
1.80642e+05,40.600,0.9527
8.28789e+04,52.922,0.9131
9.61828e+04,52.490,0.9366
1.30078e+05,52.175,0.9619
3.20655e+04,46.308,0.8416
7.82832e+04,70.323,0.9508
1.38467e+05,48.292,0.9581
1.66352e+05,49.397,0.9635
2.86468e+04,51.492,0.8723
4.29666e+04,46.896,0.8206
3.96347e+04,45.843,0.8683
2.63960e+04,51.992,0.7717
1.27028e+05,48.136,0.9525
3.03587e+05,53.936,0.9834
1.65747e+05,49.166,0.9705
4.84030e+04,45.373,0.8254
1.90900e+05,45.365,0.9672
7.38243e+04,40.816,0.9263
2.87256e+05,50.743,0.9824
2.48648e+04,63.425,0.7669
1.00133e+05,44.125,0.9479
1.23470e+05,45.846,0.9418
1.16893e+05,45.280,0.9351
5.99775e+04,49.611,0.9084
1.83205e+05,51.972,0.9634
5.16509e+04,48.618,0.8594
3.95461e+04,48.767,0.8838
8.10009e+04,60.072,0.9462
3.49566e+04,58.996,0.8436
2.87682e+05,42.632,0.9823
2.50880e+04,66.348,0.8985
4.25447e+04,60.156,0.8928
8.35837e+04,45.975,0.9235
5.70748e+04,40.715,0.8887
1.97184e+05,49.594,0.9706
3.18252e+04,61.554,0.8800
1.62281e+05,65.128,0.9648
2.55705e+05,50.876,0.9803
1.47245e+05,49.825,0.9613
6.17505e+04,45.226,0.8853
1.32450e+05,74.899,0.9524
3.39994e+05,52.381,0.9839
9.08262e+04,45.916,0.9100
7.94455e+04,44.255,0.9100
9.47274e+04,42.235,0.9397
1.08033e+05,47.599,0.9479
3.53274e+04,45.677,0.8458
7.72874e+04,59.885,0.9451
1.57186e+05,41.638,0.9385
1.85831e+05,53.149,0.9627
4.49937e+04,57.146,0.8806
3.34051e+04,85.235,0.9135
2.56649e+04,72.917,0.7563
5.98205e+04,53.003,0.8970
2.03418e+04,60.030,0.7551
1.00808e+05,53.692,0.9479
2.32266e+05,44.141,0.9731
5.09054e+04,48.171,0.8948
6.98975e+04,43.326,0.9063
2.21084e+05,47.756,0.9705
2.61437e+05,51.609,0.9736
2.79669e+05,64.710,0.9843
5.66459e+04,59.448,0.9323
7.58117e+04,62.695,0.9583
1.80270e+05,52.071,0.9748
3.16804e+04,58.974,0.9136
3.22856e+05,50.540,0.9839
1.28271e+05,45.146,0.9525
1.90862e+04,46.773,0.6948
3.52523e+05,51.011,0.9853
3.26567e+04,50.706,0.8156
1.98277e+05,46.439,0.9697
2.33807e+04,49.216,0.8225
2.50162e+05,46.512,0.9720
1.71096e+05,47.565,0.9702
3.05343e+05,43.924,0.9790
1.23154e+05,54.726,0.9519
3.72515e+04,50.635,0.8701
1.38017e+05,46.182,0.9537
2.58070e+05,57.792,0.9782
1.45609e+05,58.351,0.9692
1.12774e+05,58.056,0.9323
8.38995e+04,54.384,0.9508
2.99205e+04,49.736,0.7418
6.63442e+04,50.414,0.9356
3.71436e+04,72.355,0.9231
2.22429e+04,50.479,0.7773
5.67400e+04,68.348,0.9286
2.75185e+04,50.205,0.8116
1.85158e+05,53.584,0.9740
2.58584e+05,51.560,0.9780
1.62907e+05,51.180,0.9622
4.00237e+04,49.063,0.8925
2.25604e+05,45.768,0.9678
1.10962e+05,46.265,0.9513
1.49243e+05,43.168,0.9607
1.53356e+05,52.236,0.9681
2.44218e+05,44.950,0.9747
1.97646e+05,53.165,0.9761
2.02701e+04,44.080,0.7376
1.79894e+05,49.981,0.9659
4.68637e+04,54.719,0.9064
2.44706e+04,60.223,0.8068
3.10608e+05,58.799,0.9895
1.03156e+05,50.099,0.9484
8.35427e+04,69.514,0.9588
2.64251e+04,38.387,0.7646
3.31916e+04,48.441,0.8256
1.19358e+05,56.803,0.9612
2.26359e+05,50.234,0.9704
1.51399e+05,52.485,0.9578
1.05737e+05,54.401,0.9620
9.11723e+04,48.862,0.9446
6.47235e+04,50.507,0.9058
2.98053e+04,75.076,0.8714
4.75078e+04,58.033,0.9043
4.50507e+04,49.390,0.9217
1.09531e+05,47.716,0.9355
7.78843e+04,48.517,0.9075
2.36475e+05,54.684,0.9742
1.16791e+05,58.385,0.9589
2.03640e+05,56.238,0.9740
2.17548e+05,41.069,0.9615
2.65217e+05,61.026,0.9783
9.44674e+04,45.878,0.8982
1.97361e+04,51.674,0.7748
1.30221e+05,62.131,0.9701
4.56360e+04,49.101,0.8960
1.77094e+05,47.442,0.9514
