0.75,318015.4008671642,813802.3344377524,813802.3344377524
0.775,301857.0569076121,811975.0918535579,811975.0918535579
0.8,287905.9670847718,809858.6661399046,809858.6661399046
0.825,276289.1535111319,808907.9952568284,808907.9952568284
0.85,266326.94991866726,806168.815513989,806168.815513989
0.875,257884.93506691084,804707.7714662828,804707.7714662828
0.9,250529.86363701144,802985.8262723737,802985.8262723737
0.925,244151.05534078143,800991.8542225285,800991.8542225285
0.95,238448.06153762923,798597.9627783217,798597.9627783217
0.975,233391.7505668474,797838.0508933204,797838.0508933204
1.0,228756.04868278827,795054.1663324493,795054.1663324493
1.025,224618.589010951,793871.6133674795,793871.6133674795
1.05,220856.5355957386,792443.4259538555,792443.4259538555
1.075,217385.50000742372,790797.7034455151,790797.7034455151
1.1,214475.90045192424,788902.8725469756,788902.8725469756
1.125,212118.08471120647,786870.6540408683,786870.6540408683
1.15,209986.12819998563,784630.9762319499,784630.9762319499
1.175,208032.62983690988,784396.2178473665,784396.2178473665
1.2,206301.61017947894,781816.8387913515,781816.8387913515
1.225,204625.54010098963,778981.1945440795,778981.1945440795
1.25,203138.32881905878,778269.2847010002,778269.2847010002
1.275,201684.8987130951,777376.1575899323,777376.1575899323
1.3,200259.07419131784,773837.9264191035,773837.9264191035
