t_s,N,T_uK,power_W
0.61600,265617,4.11781,3.29863
0.62000,264310,4.07023,3.27512
0.62400,262987,4.02232,3.25161
0.62800,261647,3.97406,3.22809
0.63200,260290,3.92551,3.20458
0.63600,258914,3.87666,3.18107
0.64000,257521,3.82748,3.15755
0.64400,256109,3.77799,3.13404
0.64800,254677,3.72821,3.11052
0.65200,253225,3.67815,3.08701
0.65600,251753,3.62778,3.0635
0.66000,250260,3.57714,3.03998
0.66400,248746,3.52623,3.01647
0.66800,247209,3.47508,2.99296
0.67200,245650,3.4236,2.96944
0.67600,244066,3.37187,2.94593
0.68000,242458,3.31989,2.92241
0.68400,240824,3.26766,2.8989
0.68800,239164,3.21511,2.87539
0.69200,237476,3.16232,2.85187
0.69600,235760,3.10932,2.82836
0.70000,234014,3.05606,2.80485
0.70400,232238,3.00252,2.78133
0.70800,230430,2.94876,2.75782
0.71200,228589,2.89476,2.7343
0.71600,226713,2.8405,2.71079
0.72000,224800,2.78597,2.68728
0.72400,222848,2.73121,2.66376
0.72800,220858,2.67624,2.64025
0.73200,218826,2.621,2.61674
0.73600,216773,2.57055,2.59709
0.74000,214755,2.52435,2.58699
0.74400,212800,2.4818,2.57689
0.74800,210908,2.44089,2.56678
0.75200,209071,2.40149,2.55668
0.75600,207286,2.36346,2.54658
0.76000,205545,2.32669,2.53648
0.76400,203846,2.29106,2.52638
0.76800,202185,2.25649,2.51628
0.77200,200557,2.22289,2.50618
0.77600,198960,2.19019,2.49608
0.78000,197391,2.15831,2.48598
0.78400,195847,2.12719,2.47587
0.78800,194326,2.09678,2.46577
0.79200,192826,2.067,2.45567
0.79600,191344,2.03783,2.44557
0.80000,189879,2.00921,2.43547
0.80400,188429,1.98111,2.42537
0.80800,186993,1.95348,2.41527
0.81200,185569,1.9263,2.40517
0.81600,184155,1.89953,2.39506
0.82000,182752,1.87315,2.38496
0.82400,181357,1.84712,2.37486
0.82800,179970,1.82144,2.36476
0.83200,178590,1.79608,2.35466
0.83600,177215,1.77101,2.34456
0.84000,175845,1.7462,2.33446
0.84400,174479,1.72166,2.32436
0.84800,173115,1.69735,2.31426
0.85200,171754,1.67325,2.30415
0.85600,170393,1.64935,2.29405
0.86000,169033,1.62564,2.28395
0.86400,167673,1.60211,2.27385
0.86800,166311,1.57874,2.26375
0.87200,164949,1.55553,2.25365
0.87600,163584,1.53247,2.24355
0.88000,162216,1.50954,2.23345
0.88400,160844,1.48673,2.22334
0.88800,159468,1.46402,2.21324
0.89200,158086,1.44142,2.20314
0.89600,156699,1.41891,2.19304
0.90000,155304,1.39648,2.18294
0.90400,153903,1.37412,2.17284
0.90800,152493,1.35185,2.16274
0.91200,151076,1.32965,2.15264
0.91600,149649,1.3075,2.14253
0.92000,148211,1.28541,2.13243
0.92400,146763,1.26336,2.12233
0.92800,145303,1.24135,2.11223
0.93200,143830,1.21937,2.10213
0.93600,142343,1.19742,2.09203
0.94000,140843,1.1755,2.08193
0.94400,139329,1.15361,2.07183
0.94800,137791,1.13093,2.06173
0.95200,136212,1.10687,2.04535
0.95600,134545,1.08077,2.02768
0.96000,132779,1.05378,2.01001
0.96400,130907,1.02597,1.99234
0.96800,128922,0.997366,1.97467
0.97200,126818,0.968,1.957
0.97600,124587,0.937861,1.93933
0.98000,122223,0.907025,1.92166
0.98400,119715,0.875538,1.90399
0.98800,117057,0.843441,1.88632
0.99200,114237,0.810737,1.86864
0.99600,111242,0.777505,1.85097
1.00000,108063,0.743818,1.8333
1.00400,104685,0.709707,1.81563
1.00800,101090,0.675201,1.79796
1.01200,97257.4,0.640408,1.78029
1.01600,93172,0.605434,1.76262
1.02000,88810.6,0.570351,1.74495
1.02280,85576.4,0.54578,1.73258
