Omega,frame,t,norm,Fz,Lz,peak,pop_c1,pop_c2,pop_c3,pop_c4,pop_c5,pop_c6,pop_c7,pop_c8,pop_c9,pop_c10,pop_c11,pop_c12,pop_c13
-0.5000,22,2.140000e+00,9.993153e-01,5.241994e+00,,NaN,5.267272e-01,2.871907e-01,1.195894e-01,4.528899e-02,1.542023e-02,4.477778e-03,1.068920e-03,2.034662e-04,2.987152e-05,3.237993e-06,2.425463e-07,1.115167e-08,2.360561e-10
-0.5000,23,2.240000e+00,9.992683e-01,5.182337e+00,,NaN,5.045738e-01,2.905218e-01,1.274911e-01,5.119066e-02,1.859054e-02,5.784596e-03,1.486759e-03,3.058511e-04,4.865294e-05,5.723737e-06,4.657471e-07,2.327003e-08,5.352425e-10
-0.5000,24,2.340000e+00,9.992186e-01,5.122067e+00,,NaN,4.836326e-01,2.927070e-01,1.346769e-01,5.710250e-02,2.202480e-02,7.309036e-03,2.013965e-03,4.460003e-04,7.656846e-05,9.735744e-06,8.568285e-07,4.630945e-08,1.152060e-09
-0.5000,25,2.440000e+00,9.991665e-01,5.061131e+00,,NaN,4.638133e-01,2.939103e-01,1.411200e-01,6.296807e-02,2.570154e-02,9.055793e-03,2.663971e-03,6.326942e-04,1.167824e-04,1.598321e-05,1.514609e-06,8.813311e-08,2.359703e-09
-0.5000,26,2.540000e+00,9.991125e-01,4.999502e+00,,NaN,4.450033e-01,2.943135e-01,1.468165e-01,6.872938e-02,2.959377e-02,1.102200e-02,3.446350e-03,8.743537e-04,1.728474e-04,2.535885e-05,2.575701e-06,1.605590e-07,4.602495e-09
-0.5000,27,2.640000e+00,9.990576e-01,4.937184e+00,,NaN,4.270665e-01,2.941140e-01,1.517939e-01,7.432404e-02,3.366816e-02,1.319785e-02,4.365678e-03,1.178025e-03,2.483920e-04,3.890208e-05,4.215868e-06,2.801086e-07,8.549944e-09
-0.5000,28,2.740000e+00,9.990028e-01,4.874231e+00,,NaN,4.098526e-01,2.935186e-01,1.561143e-01,7.968094e-02,3.788198e-02,1.556852e-02,5.422272e-03,1.548987e-03,3.468410e-04,5.774134e-05,6.646952e-06,4.684212e-07,1.514390e-08
-0.5000,29,2.840000e+00,9.989492e-01,4.810738e+00,,NaN,3.932080e-01,2.927234e-01,1.598770e-01,8.472482e-02,4.218112e-02,1.811561e-02,6.613782e-03,1.991037e-03,4.712948e-04,8.304433e-05,1.011269e-05,7.526034e-07,2.565013e-08
-0.5000,30,2.940000e+00,9.988978e-01,4.746782e+00,,NaN,3.769854e-01,2.918817e-01,1.632153e-01,8.939331e-02,4.650442e-02,2.081888e-02,7.936920e-03,2.507290e-03,6.246636e-04,1.160188e-04,1.489064e-05,1.166239e-06,4.175058e-08
-0.5000,31,3.040000e+00,9.988493e-01,4.682364e+00,,1.297743e-02,3.610568e-01,2.910752e-01,1.662815e-01,9.365432e-02,5.079207e-02,2.365869e-02,9.389135e-03,3.101204e-03,8.100314e-04,1.579787e-04,2.130338e-05,1.751386e-06,6.569804e-08
-0.5000,32,3.140000e+00,9.988038e-01,4.617396e+00,,NaN,3.453271e-01,2.903076e-01,1.692225e-01,9.751209e-02,5.499235e-02,2.661764e-02,1.096956e-02,3.777297e-03,1.031024e-03,2.104345e-04,2.973311e-05,2.560912e-06,1.005086e-07
-0.5000,33,3.240000e+00,9.987614e-01,4.551729e+00,,NaN,3.297426e-01,2.895193e-01,1.721602e-01,1.010015e-01,5.906394e-02,2.968052e-02,1.267899e-02,4.541303e-03,1.292025e-03,2.751689e-04,4.063439e-05,3.660533e-06,1.501566e-07
-0.5000,34,3.340000e+00,9.987218e-01,4.485200e+00,,NaN,3.142914e-01,2.886134e-01,1.751792e-01,1.041764e-01,6.297488e-02,3.283308e-02,1.451922e-02,5.399925e-03,1.598260e-03,3.543018e-04,5.454652e-05,5.130623e-06,2.197637e-07
-0.5000,35,3.440000e+00,9.986845e-01,4.417678e+00,,NaN,2.989962e-01,2.874827e-01,1.783253e-01,1.070978e-01,6.670004e-02,3.606027e-02,1.649181e-02,6.360288e-03,1.955749e-03,4.503497e-04,7.210946e-05,7.068331e-06,3.157992e-07
-0.5000,36,3.540000e+00,9.986491e-01,4.349091e+00,,NaN,2.839024e-01,2.860302e-01,1.816131e-01,1.098253e-01,7.021730e-02,3.934409e-02,1.859687e-02,7.429234e-03,2.371197e-03,5.662922e-04,9.408827e-05,9.590847e-06,4.463283e-07
-0.5000,37,3.640000e+00,9.986152e-01,4.279434e+00,,NaN,2.690644e-01,2.841806e-01,1.850377e-01,1.124149e-01,7.350447e-02,4.266115e-02,2.083178e-02,8.612654e-03,2.851821e-03,7.056491e-04,1.214094e-04,1.284072e-05,6.213716e-07
-0.5000,38,3.740000e+00,9.985821e-01,4.208759e+00,,NaN,2.545349e-01,2.818838e-01,1.885848e-01,1.149207e-01,7.653893e-02,4.598103e-02,2.319010e-02,9.914883e-03,3.405160e-03,8.725588e-04,1.552092e-04,1.699392e-05,8.534473e-07
-0.5000,39,3.840000e+00,9.985495e-01,4.137168e+00,,NaN,2.403585e-01,2.791114e-01,1.922388e-01,1.173961e-01,7.929884e-02,4.926647e-02,2.566104e-02,1.133807e-02,4.038786e-03,1.071850e-03,1.968944e-04,2.227113e-05,1.158380e-06
