nu_Hz,hold_s,value
10.0,0.1,0.9870791742522099
10.0,0.1662921348314607,0.9786411337788291
10.0,0.23258426966292134,0.9703027968422776
10.0,0.298876404494382,0.9620625661595905
10.0,0.3651685393258427,0.9539188773349322
10.0,0.4314606741573034,0.9458701980304021
10.0,0.49775280898876406,0.9379150271616004
10.0,0.5640449438202247,0.9300518941170117
10.0,0.6303370786516854,0.9222793580004828
10.0,0.6966292134831461,0.9145960068959914
10.0,0.7629213483146068,0.9070004571538487
10.0,0.8292134831460675,0.8994913526977706
10.0,0.895505617977528,0.8920673643520018
10.0,0.9617977528089887,0.8847271891878598
10.0,1.0280898876404494,0.877469549889059
10.0,1.09438202247191,0.8702931941351936
10.0,1.1606741573033708,0.8631968940027238
10.0,1.2269662921348314,0.8561794453830259
10.0,1.2932584269662921,0.8492396674167567
10.0,1.3595505617977528,0.8423764019441953
10.0,1.4258426966292135,0.835588512970904
10.0,1.4921348314606742,0.8288748861482871
10.0,1.5584269662921348,0.822234428268512
10.0,1.6247191011235955,0.8156660667734386
10.0,1.6910112359550562,0.8091687492769588
10.0,1.7573033707865169,0.8027414431004747
10.0,1.8235955056179776,0.7963831348209766
10.0,1.8898876404494382,0.790092829831395
10.0,1.956179775280899,0.7838695519128612
10.0,2.0224719101123596,0.7777123428184042
10.0,2.08876404494382,0.7716202618678487
10.0,2.155056179775281,0.7655923855534909
10.0,2.2213483146067414,0.7596278071562439
10.0,2.2876404494382023,0.7537256363719392
10.0,2.353932584269663,0.7478849989474609
10.0,2.4202247191011237,0.742105036326438
10.0,2.486516853932584,0.73638490530415
10.0,2.552808988764045,0.7307237776914556
10.0,2.6191011235955055,0.7251208399873774
10.0,2.6853932584269664,0.7195752930601761
10.0,2.751685393258427,0.7140863518365651
10.0,2.8179775280898878,0.7086532449989333
10.0,2.8842696629213482,0.703275214690242
10.0,2.950561797752809,0.6979515162264159
10.0,3.0168539325842696,0.6926814178160237
10.0,3.0831460674157305,0.687464200286986
10.0,3.149438202247191,0.6822991568201665
10.0,3.215730337078652,0.6771855926895921
10.0,3.2820224719101123,0.6721228250091392
10.0,3.348314606741573,0.6671101824855302
10.0,3.4146067415730337,0.6621470051773582
10.0,3.4808988764044946,0.6572326442601223
10.0,3.547191011235955,0.6523664617969347
10.0,3.613483146067416,0.6475478305148806
10.0,3.6797752808988764,0.6427761335867818
10.0,3.746067415730337,0.6380507644182682
10.0,3.8123595505617978,0.6333711264399392
10.0,3.878651685393258,0.6287366329045968
10.0,3.944943820224719,0.6241467066892434
10.0,4.01123595505618,0.6196007801018458
10.0,4.0775280898876405,0.6150982946927167
10.0,4.143820224719101,0.6106387010702826
10.0,4.210112359550561,0.6062214587212899
10.0,4.276404494382023,0.6018460358351349
10.0,4.342696629213483,0.597511909132394
10.0,4.408988764044944,0.5932185636972959
10.0,4.475280898876404,0.5889654928141047
10.0,4.5415730337078655,0.5847521978072855
10.0,4.607865168539326,0.5805781878853643
10.0,4.674157303370786,0.5764429799883618
10.0,4.740449438202247,0.572346098638738
10.0,4.806741573033708,0.568287075795709
10.0,4.873033707865169,0.5642654507129089
10.0,4.939325842696629,0.5602807697992518
10.0,5.00561797752809,0.5563325864829392
10.0,5.071910112359551,0.5524204610785286
10.0,5.138202247191011,0.5485439606569767
10.0,5.204494382022472,0.5447026589185895
10.0,5.270786516853932,0.5408961360687911
10.0,5.337078651685394,0.5371239786966545
10.0,5.403370786516854,0.5333857796561083
10.0,5.4696629213483146,0.5296811379497796
10.0,5.535955056179775,0.5260096586153407
10.0,5.602247191011236,0.5223709526143929
10.0,5.668539325842697,0.5187646367237426
10.0,5.734831460674157,0.5151903334290322
10.0,5.801123595505618,0.5116476708206953
10.0,5.867415730337079,0.5081362824921498
10.0,5.9337078651685395,0.5046558074401509
10.0,6.0,0.5012058899673255
13.277310924369749,0.1,0.981031002014755
13.277310924369749,0.1662921348314607,0.9687557977724129
13.277310924369749,0.23258426966292134,0.9567121777640185
13.277310924369749,0.298876404494382,0.9448940538764282
13.277310924369749,0.3651685393258427,0.9332955444121704
13.277310924369749,0.4314606741573034,0.9219109655313585
13.277310924369749,0.49775280898876406,0.910734823112284
13.277310924369749,0.5640449438202247,0.8997618050070133
13.277310924369749,0.6303370786516854,0.8889867736700742
13.277310924369749,0.6966292134831461,0.878404759139401
13.277310924369749,0.7629213483146068,0.86801095235032
13.277310924369749,0.8292134831460675,0.8578006987642768
13.277310924369749,0.895505617977528,0.8477694922953466
13.277310924369749,0.9617977528089887,0.8379129695184568
13.277310924369749,1.0280898876404494,0.8282269041443256
13.277310924369749,1.09438202247191,0.8187072017469256
13.277310924369749,1.1606741573033708,0.8093498947303026
13.277310924369749,1.2269662921348314,0.8001511375220908
13.277310924369749,1.2932584269662921,0.7911072019820965
13.277310924369749,1.3595505617977528,0.7822144730148689
13.277310924369749,1.4258426966292135,0.7734694443756922
13.277310924369749,1.4921348314606742,0.7648687146603936
13.277310924369749,1.5584269662921348,0.756408983469519
13.277310924369749,1.6247191011235955,0.7480870477382227
13.277310924369749,1.6910112359550562,0.7398997982236482
13.277310924369749,1.7573033707865169,0.7318442161419497
13.277310924369749,1.8235955056179776,0.7239173699477048
13.277310924369749,1.8898876404494382,0.7161164122486972
13.277310924369749,1.956179775280899,0.7084385768495641
13.277310924369749,2.0224719101123596,0.7008811759181048
13.277310924369749,2.08876404494382,0.6934415972683723
13.277310924369749,2.155056179775281,0.6861173017550175
13.277310924369749,2.2213483146067414,0.6789058207736672
13.277310924369749,2.2876404494382023,0.6718047538622999
13.277310924369749,2.353932584269663,0.6648117663990002
13.277310924369749,2.4202247191011237,0.6579245873915455
13.277310924369749,2.486516853932584,0.6511410073547088
13.277310924369749,2.552808988764045,0.6444588762711599
13.277310924369749,2.6191011235955055,0.6378761016322807
13.277310924369749,2.6853932584269664,0.6313906465551621
13.277310924369749,2.751685393258427,0.6250005279725106
13.277310924369749,2.8179775280898878,0.6187038148921072
13.277310924369749,2.8842696629213482,0.6124986267227697
13.277310924369749,2.950561797752809,0.6063831316639194
13.277310924369749,3.0168539325842696,0.6003555451559212
13.277310924369749,3.0831460674157305,0.5944141283886124
13.277310924369749,3.149438202247191,0.5885571868654399
13.277310924369749,3.215730337078652,0.5827830690208572
13.277310924369749,3.2820224719101123,0.5770901648887039
13.277310924369749,3.348314606741573,0.5714769048193802
13.277310924369749,3.4146067415730337,0.5659417582437887
13.277310924369749,3.4808988764044946,0.5604832324820239
13.277310924369749,3.547191011235955,0.5550998715950302
13.277310924369749,3.613483146067416,0.5497902552773323
13.277310924369749,3.6797752808988764,0.5445529977892637
13.277310924369749,3.746067415730337,0.5393867469269475
13.277310924369749,3.8123595505617978,0.5342901830286136
13.277310924369749,3.878651685393258,0.5292620180156664
13.277310924369749,3.944943820224719,0.5243009944671856
13.277310924369749,4.01123595505618,0.5194058847264545
13.277310924369749,4.0775280898876405,0.5145754900382907
13.277310924369749,4.143820224719101,0.5098086397159084
13.277310924369749,4.210112359550561,0.5051041903361974
13.277310924369749,4.276404494382023,0.5004610249622249
13.277310924369749,4.342696629213483,0.4958780523920194
13.277310924369749,4.408988764044944,0.49135420643246097
13.277310924369749,4.475280898876404,0.486888445197458
13.277310924369749,4.5415730337078655,0.4824797504293574
13.277310924369749,4.607865168539326,0.47812712684278524
13.277310924369749,4.674157303370786,0.47382960149000064
13.277310924369749,4.740449438202247,0.46958622314700543
13.277310924369749,4.806741573033708,0.4653960617195727
13.277310924369749,4.873033707865169,0.46125820766848774
13.277310924369749,4.939325842696629,0.45717177145329035
13.277310924369749,5.00561797752809,0.4531358829937675
13.277310924369749,5.071910112359551,0.4491496911486504
13.277310924369749,5.138202247191011,0.4452123632107717
13.277310924369749,5.204494382022472,0.44132308441815987
13.277310924369749,5.270786516853932,0.43748105748045996
13.277310924369749,5.337078651685394,0.4336855021201355
13.277310924369749,5.403370786516854,0.4299356546279028
13.277310924369749,5.4696629213483146,0.4262307674319117
13.277310924369749,5.535955056179775,0.4225701086801781
13.277310924369749,5.602247191011236,0.4189529618357759
13.277310924369749,5.668539325842697,0.4153786252843716
13.277310924369749,5.734831460674157,0.41184641195364546
13.277310924369749,5.801123595505618,0.4083556489441895
13.277310924369749,5.867415730337079,0.40490567717147397
13.277310924369749,5.9337078651685395,0.40149585101853824
13.277310924369749,6.0,0.39812553799897543
16.554621848739497,0.1,0.9725902508405475
16.554621848739497,0.1662921348314607,0.955078367950978
16.554621848739497,0.23258426966292134,0.9380666589319651
16.554621848739497,0.298876404494382,0.9215350503480048
16.554621848739497,0.3651685393258427,0.9054645058976373
16.554621848739497,0.4314606741573034,0.8898369611046759
16.554621848739497,0.49775280898876406,0.8746352628436437
16.554621848739497,0.5640449438202247,0.8598431132895339
16.554621848739497,0.6303370786516854,0.8454450179207795
16.554621848739497,0.6966292134831461,0.8314262372395647
16.554621848739497,0.7629213483146068,0.8177727419048099
16.554621848739497,0.8292134831460675,0.804471171001235
16.554621848739497,0.895505617977528,0.7915087931932147
16.554621848739497,0.9617977528089887,0.7788734705346357
16.554621848739497,1.0280898876404494,0.7665536247266256
16.554621848739497,1.09438202247191,0.754538205633103
16.554621848739497,1.1606741573033708,0.7428166618809062
16.554621848739497,1.2269662921348314,0.7313789133861587
16.554621848739497,1.2932584269662921,0.7202153256620325
16.554621848739497,1.3595505617977528,0.709316685775375
16.554621848739497,1.4258426966292135,0.6986741798307846
16.554621848739497,1.4921348314606742,0.6882793718707128
16.554621848739497,1.5584269662921348,0.6781241840894142
16.554621848739497,1.6247191011235955,0.6682008782668204
16.554621848739497,1.6910112359550562,0.6585020383359512
16.554621848739497,1.7573033707865169,0.6490205540044602
16.554621848739497,1.8235955056179776,0.6397496053570504
16.554621848739497,1.8898876404494382,0.6306826483713931
16.554621848739497,1.956179775280899,0.6218134012852109
16.554621848739497,2.0224719101123596,0.6131358317571357
16.554621848739497,2.08876404494382,0.6046441447682284
16.554621848739497,2.155056179775281,0.5963327712151134
16.554621848739497,2.2213483146067414,0.5881963571492392
16.554621848739497,2.2876404494382023,0.580229753620276
16.554621848739497,2.353932584269663,0.5724280070846701
16.554621848739497,2.4202247191011237,0.5647863503431818
16.554621848739497,2.486516853932584,0.5573001939739177
16.554621848739497,2.552808988764045,0.5499651182297011
16.554621848739497,2.6191011235955055,0.5427768653708719
16.554621848739497,2.6853932584269664,0.535731332406602
16.554621848739497,2.751685393258427,0.5288245642197139
16.554621848739497,2.8179775280898878,0.5220527470517106
16.554621848739497,2.8842696629213482,0.5154122023263185
16.554621848739497,2.950561797752809,0.5088993807913224
16.554621848739497,3.0168539325842696,0.5025108569598358
16.554621848739497,3.0831460674157305,0.4962433238333858
16.554621848739497,3.149438202247191,0.4900935878904157
16.554621848739497,3.215730337078652,0.4840585643248424
16.554621848739497,3.2820224719101123,0.47813527252028953
16.554621848739497,3.348314606741573,0.4723208317466343
16.554621848739497,3.4146067415730337,0.4666124570662474
16.554621848739497,3.4808988764044946,0.4610074554382337
16.554621848739497,3.547191011235955,0.4555032220095925
16.554621848739497,3.613483146067416,0.4500972365830458
16.554621848739497,3.6797752808988764,0.4447870602517944
16.554621848739497,3.746067415730337,0.43957033219217634
16.554621848739497,3.8123595505617978,0.4344447666056597
16.554621848739497,3.878651685393258,0.42940814980219505
16.554621848739497,3.944943820224719,0.42445833741739897
16.554621848739497,4.01123595505618,0.4195932517565254
16.554621848739497,4.0775280898876405,0.4148108792585118
16.554621848739497,4.143820224719101,0.41010926807395204
16.554621848739497,4.210112359550561,0.4054865257510041
16.554621848739497,4.276404494382023,0.4009408170237737
16.554621848739497,4.342696629213483,0.3964703616979099
16.554621848739497,4.408988764044944,0.3920734326285015
16.554621848739497,4.475280898876404,0.38774835378564515
16.554621848739497,4.5415730337078655,0.3834934984032968
16.554621848739497,4.607865168539326,0.3793072872072948
16.554621848739497,4.674157303370786,0.3751881867186426
16.554621848739497,4.740449438202247,0.3711347076283672
16.554621848739497,4.806741573033708,0.36714540324050216
16.554621848739497,4.873033707865169,0.3632188679798739
16.554621848739497,4.939325842696629,0.35935373596160636
16.554621848739497,5.00561797752809,0.3555486796194137
16.554621848739497,5.071910112359551,0.3518024083898619
16.554621848739497,5.138202247191011,0.3481136674500112
16.554621848739497,5.204494382022472,0.34448123650591966
16.554621848739497,5.270786516853932,0.34090392862965685
16.554621848739497,5.337078651685394,0.3373805891425845
16.554621848739497,5.403370786516854,0.3339100945428027
16.554621848739497,5.4696629213483146,0.3304913514747122
16.554621848739497,5.535955056179775,0.32712329573884175
16.554621848739497,5.602247191011236,0.323804891340068
16.554621848739497,5.668539325842697,0.3205351295725575
16.554621848739497,5.734831460674157,0.3173130281397937
16.554621848739497,5.801123595505618,0.31413763030811176
16.554621848739497,5.867415730337079,0.31100800409229756
16.554621848739497,5.9337078651685395,0.30792324147184713
16.554621848739497,6.0,0.3048824576365496
19.831932773109244,0.1,0.9616459625092041
19.831932773109244,0.1662921348314607,0.9375470094613262
19.831932773109244,0.23258426966292134,0.9144335103677673
19.831932773109244,0.298876404494382,0.8922488169146436
19.831932773109244,0.3651685393258427,0.8709404559067411
19.831932773109244,0.4314606741573034,0.8504597559814714
19.831932773109244,0.49775280898876406,0.830761513368831
19.831932773109244,0.5640449438202247,0.8118036920391449
19.831932773109244,0.6303370786516854,0.7935471542023824
19.831932773109244,0.6966292134831461,0.7759554176531737
19.831932773109244,0.7629213483146068,0.7589944369091957
19.831932773109244,0.8292134831460675,0.7426324054793291
19.831932773109244,0.895505617977528,0.726839576931966
19.831932773109244,0.9617977528089887,0.7115881027218146
19.831932773109244,1.0280898876404494,0.6968518849819785
19.831932773109244,1.09438202247191,0.6826064427032201
19.831932773109244,1.1606741573033708,0.6688287899089357
19.831932773109244,1.2269662921348314,0.6554973245966068
19.831932773109244,1.2932584269662921,0.6425917273577181
19.831932773109244,1.3595505617977528,0.6300928687116192
19.831932773109244,1.4258426966292135,0.6179827242965471
19.831932773109244,1.4921348314606742,0.6062442971556603
19.831932773109244,1.5584269662921348,0.5948615464389513
19.831932773109244,1.6247191011235955,0.5838193219147653
19.831932773109244,1.6910112359550562,0.5731033037491886
19.831932773109244,1.7573033707865169,0.5626999470680945
19.831932773109244,1.8235955056179776,0.552596430867026
19.831932773109244,1.8898876404494382,0.5427806108783688
19.831932773109244,1.956179775280899,0.5332409760447943
19.831932773109244,2.0224719101123596,0.5239666082828726
19.831932773109244,2.08876404494382,0.51494714525193
19.831932773109244,2.155056179775281,0.506172745870968
19.831932773109244,2.2213483146067414,0.4976340583511892
19.831932773109244,2.2876404494382023,0.4893221905338123
19.831932773109244,2.353932584269663,0.4812286823425992
19.831932773109244,2.4202247191011237,0.473345480178261
19.831932773109244,2.486516853932584,0.4656649130978077
19.831932773109244,2.552808988764045,0.45817967063613585
