T0_uK,eta_start
20.0,5.170612111600853
22.564102564102566,4.583042553464392
25.12820512820513,4.115385150049659
27.692307692307693,3.734330969489505
30.25641025641026,3.417862243261581
32.820512820512825,3.15084175550677
35.38461538461538,2.9225198891656996
37.94871794871795,2.725052329086936
40.51282051282051,2.552580662689029
43.07692307692308,2.4006413375289677
45.641025641025635,2.265773846656554
48.205128205128204,2.1452539611960986
50.769230769230774,2.03690780153973
53.333333333333336,1.93897954185032
55.8974358974359,1.8500355261691126
58.46153846153846,1.7688936171266079
61.02564102564103,1.6945703559028007
63.58974358974359,1.6262409060680103
66.15384615384616,1.5632083128095602
68.71794871794873,1.5048796444211439
71.28205128205128,1.4507472831110308
73.84615384615384,1.4003741135585646
76.41025641025641,1.3533816936404917
78.97435897435898,1.3094407295612551
81.53846153846153,1.2682633481285113
84.1025641025641,1.2295967826367884
86.66666666666667,1.1932181796001968
89.23076923076924,1.1589303008760534
91.7948717948718,1.1265579461029793
94.35897435897435,1.0959449584371375
96.92307692307692,1.06695170556843
99.48717948717949,1.0394529502702745
102.05128205128204,1.0133360419720265
104.61538461538461,0.9884993742766337
107.17948717948718,0.9648510638872406
109.74358974358975,0.9423078147309966
112.3076923076923,0.9207939376823437
114.87179487179486,0.9002405015733629
117.43589743589743,0.8805845954254728
120.0,0.8617686852668089
