timing_strength,decompress_factor,value
0.0,0.05,671.9065273174288
0.0,0.07435897435897436,681.9842882294524
0.0,0.09871794871794871,685.0425446904626
0.0,0.12307692307692308,685.1465051903349
0.0,0.14743589743589744,683.7307591001702
0.0,0.1717948717948718,681.4325572708135
0.0,0.19615384615384615,678.578964010429
0.0,0.2205128205128205,675.3555626391887
0.0,0.24487179487179486,671.8757740059589
0.0,0.2692307692307692,668.2130104813907
0.0,0.2935897435897436,664.4170146119075
0.0,0.31794871794871793,660.5227755591493
0.0,0.3423076923076923,656.5556833152427
0.0,0.36666666666666664,652.534653091225
0.0,0.391025641025641,648.4740964525365
0.0,0.4153846153846154,644.3852080348545
0.0,0.43974358974358974,640.2768306394703
0.0,0.4641025641025641,636.1560520684889
0.0,0.48846153846153845,632.0286263783642
0.0,0.5128205128205128,627.8992773026603
0.0,0.5371794871794872,623.7719208199082
0.0,0.5615384615384615,619.649831120013
0.0,0.5858974358974359,615.5357662269569
0.0,0.6102564102564103,611.4320643915346
0.0,0.6346153846153846,607.3407189877764
0.0,0.658974358974359,603.2634373825626
0.0,0.6833333333333333,599.2016877049923
0.0,0.7076923076923077,595.1567363727543
0.0,0.732051282051282,591.1296784817152
0.0,0.7564102564102564,587.121462629018
0.0,0.7807692307692308,583.1329113536442
0.0,0.8051282051282052,579.1647380960083
0.0,0.8294871794871795,575.2175613699856
0.0,0.8538461538461538,571.2919166849131
0.0,0.8782051282051282,567.3882666382808
0.0,0.9025641025641026,563.5070095110239
0.0,0.926923076923077,559.6484866284352
0.0,0.9512820512820512,555.8129886977956
0.0,0.9756410256410256,552.0007612924908
0.0,1.0,548.2120096198703
0.02564102564102564,0.05,684.578014202425
0.02564102564102564,0.07435897435897436,694.033361265389
0.02564102564102564,0.09871794871794871,696.693828228963
0.02564102564102564,0.12307692307692308,696.4952461593223
0.02564102564102564,0.14743589743589744,694.8267273443598
0.02564102564102564,0.1717948717948718,692.3054374016074
0.02564102564102564,0.19615384615384615,689.2482106449834
0.02564102564102564,0.2205128205128205,685.834880688818
0.02564102564102564,0.24487179487179486,682.1753936675507
0.02564102564102564,0.2692307692307692,678.3409412620542
0.02564102564102564,0.2935897435897436,674.3797818626936
0.02564102564102564,0.31794871794871793,670.3258754933795
0.02564102564102564,0.3423076923076923,666.2038759303466
0.02564102564102564,0.36666666666666664,662.0321572961366
0.02564102564102564,0.391025641025641,657.8247238472011
0.02564102564102564,0.4153846153846154,653.5924569103747
0.02564102564102564,0.43974358974358974,649.343953441939
0.02564102564102564,0.4641025641025641,645.0861047197484
0.02564102564102564,0.48846153846153845,640.8245049228765
0.02564102564102564,0.5128205128205128,636.5637455324254
0.02564102564102564,0.5371794871794872,632.307631368451
0.02564102564102564,0.5615384615384615,628.0593417581833
0.02564102564102564,0.5858974358974359,623.821552586428
0.02564102564102564,0.6102564102564103,619.5965299970139
0.02564102564102564,0.6346153846153846,615.3862032394698
0.02564102564102564,0.658974358974359,611.1922219631088
0.02564102564102564,0.6833333333333333,607.0160017639914
0.02564102564102564,0.7076923076923077,602.858760756231
0.02564102564102564,0.732051282051282,598.721549209248
0.02564102564102564,0.7564102564102564,594.6052737751495
0.02564102564102564,0.7807692307692308,590.5107174540799
0.02564102564102564,0.8051282051282052,586.4385561733461
0.02564102564102564,0.8294871794871795,582.3893726529695
0.02564102564102564,0.8538461538461538,578.363668079722
0.02564102564102564,0.8782051282051282,574.3618719987178
0.02564102564102564,0.9025641025641026,570.3843507444446
0.02564102564102564,0.926923076923077,566.4314146676386
0.02564102564102564,0.9512820512820512,562.5033243628498
0.02564102564102564,0.9756410256410256,558.6002960618644
0.02564102564102564,1.0,554.7225063268318
0.05128205128205128,0.05,688.4069163356364
0.05128205128205128,0.07435897435897436,697.8251702980556
0.05128205128205128,0.09871794871794871,700.4106730856515
0.05128205128205128,0.12307692307692308,700.1217391100238
0.05128205128205128,0.14743589743589744,698.3554685097399
0.05128205128205128,0.1717948717948718,695.7326083197268
0.05128205128205128,0.19615384615384615,692.5718522492541
0.05128205128205128,0.2205128205128205,689.0541027572756
0.05128205128205128,0.24487179487179486,685.2899680731525
0.05128205128205128,0.2692307692307692,681.3510739293622
0.05128205128205128,0.2935897435897436,677.2859759836108
0.05128205128205128,0.31794871794871793,673.1288448598225
0.05128205128205128,0.3423076923076923,668.9044874636847
0.05128205128205128,0.36666666666666664,664.6313914427337
0.05128205128205128,0.391025641025641,660.3236463726896
0.05128205128205128,0.4153846153846154,655.9921982328976
0.05128205128205128,0.43974358974358974,651.6456931107384
0.05128205128205128,0.4641025641025641,647.2910595050091
0.05128205128205128,0.48846153846153845,642.9339195036287
0.05128205128205128,0.5128205128205128,638.5788850956064
0.05128205128205128,0.5371794871794872,634.2297756426826
0.05128205128205128,0.5615384615384615,629.8897801442758
0.05128205128205128,0.5858974358974359,625.561580140378
0.05128205128205128,0.6102564102564103,621.2474440857577
0.05128205128205128,0.6346153846153846,616.949300734952
0.05128205128205128,0.658974358974359,612.6687968724502
0.05128205128205128,0.6833333333333333,608.4073432172931
0.05128205128205128,0.7076923076923077,604.1661512902404
0.05128205128205128,0.732051282051282,599.9462632989719
0.05128205128205128,0.7564102564102564,595.7485765739602
0.05128205128205128,0.7807692307692308,591.5738637116388
0.05128205128205128,0.8051282051282052,587.4227893054858
0.05128205128205128,0.8294871794871795,583.2959239424135
0.05128205128205128,0.8538461538461538,579.1937559906314
0.05128205128205128,0.8782051282051282,575.1167015898939
0.05128205128205128,0.9025641025641026,571.0651131692541
0.05128205128205128,0.926923076923077,567.0392867500898
0.05128205128205128,0.9512820512820512,563.0394682406245
0.05128205128205128,0.9756410256410256,559.0658588889328
0.05128205128205128,1.0,555.1186200288441
0.07692307692307693,0.05,709.0065558788599
0.07692307692307693,0.07435897435897436,717.7496773082316
0.07692307692307693,0.09871794871794871,719.8633914935454
0.07692307692307693,0.12307692307692308,719.1893590238979
0.07692307692307693,0.14743589743589744,717.0837412415972
0.07692307692307693,0.1717948717948718,714.1492458135222
0.07692307692307693,0.19615384615384615,710.6954058082874
0.07692307692307693,0.2205128205128205,706.8979934505505
0.07692307692307693,0.24487179487179486,702.8645291910234
0.07692307692307693,0.2692307692307692,698.6646738943998
0.07692307692307693,0.2935897435897436,694.3456757068898
0.07692307692307693,0.31794871794871793,689.940802201841
0.07692307692307693,0.3423076923076923,685.4742163406829
0.07692307692307693,0.36666666666666664,680.9639334338826
0.07692307692307693,0.391025641025641,676.4236875840015
0.07692307692307693,0.4153846153846154,671.8641507779107
0.07692307692307693,0.43974358974358974,667.2937530764668
0.07692307692307693,0.4641025641025641,662.7192489115473
0.07692307692307693,0.48846153846153845,658.1461171397691
0.07692307692307693,0.5128205128205128,653.5788494824508
0.07692307692307693,0.5371794871794872,649.0211623376279
0.07692307692307693,0.5615384615384615,644.4761549186965
0.07692307692307693,0.5858974358974359,639.946429112428
0.07692307692307693,0.6102564102564103,635.434181581589
0.07692307692307693,0.6346153846153846,630.941275439777
0.07692307692307693,0.658974358974359,626.4692966828864
0.07692307692307693,0.6833333333333333,622.0195991008966
0.07692307692307693,0.7076923076923077,617.5933403812642
0.07692307692307693,0.732051282051282,613.1915114031442
0.07692307692307693,0.7564102564102564,608.8149602146045
0.07692307692307693,0.7807692307692308,604.4644118180272
0.07692307692307693,0.8051282051282052,600.1404846217074
0.07692307692307693,0.8294871794871795,595.8437042173921
0.07692307692307693,0.8538461538461538,591.574514996493
0.07692307692307693,0.8782051282051282,587.3332900060991
