K3_m6_s,timing_strength,decompress_factor,N0_final
9.999999999999999e-43,0.0,0.1,80031.51581087377
9.999999999999999e-43,0.0,0.18181818181818182,79630.39229007835
9.999999999999999e-43,0.0,0.2636363636363636,79213.92808928549
9.999999999999999e-43,0.0,0.34545454545454546,78788.84926063383
9.999999999999999e-43,0.0,0.42727272727272725,78357.77249027652
9.999999999999999e-43,0.0,0.509090909090909,77922.23800691264
9.999999999999999e-43,0.0,0.5909090909090909,77483.32562678924
9.999999999999999e-43,0.0,0.6727272727272727,77041.86144260115
9.999999999999999e-43,0.0,0.7545454545454545,76598.50965742259
9.999999999999999e-43,0.0,0.8363636363636363,76153.82132166867
9.999999999999999e-43,0.0,0.9181818181818182,75708.26347104224
9.999999999999999e-43,0.0,1.0,75262.23806162717
9.999999999999999e-43,0.09090909090909091,0.1,77564.23894484488
9.999999999999999e-43,0.09090909090909091,0.18181818181818182,77164.69300760774
9.999999999999999e-43,0.09090909090909091,0.2636363636363636,76750.35252054557
9.999999999999999e-43,0.09090909090909091,0.34545454545454546,76327.65914408243
9.999999999999999e-43,0.09090909090909091,0.42727272727272725,75899.1584612699
9.999999999999999e-43,0.09090909090909091,0.509090909090909,75466.36317282192
9.999999999999999e-43,0.09090909090909091,0.5909090909090909,75030.33934696791
9.999999999999999e-43,0.09090909090909091,0.6727272727272727,74591.90483977592
9.999999999999999e-43,0.09090909090909091,0.7545454545454545,74151.71817179851
9.999999999999999e-43,0.09090909090909091,0.8363636363636363,73710.32601760367
9.999999999999999e-43,0.09090909090909091,0.9181818181818182,73268.19175294749
9.999999999999999e-43,0.09090909090909091,1.0,72825.71408544978
9.999999999999999e-43,0.18181818181818182,0.1,75845.31453003647
9.999999999999999e-43,0.18181818181818182,0.18181818181818182,75441.65422868433
9.999999999999999e-43,0.18181818181818182,0.2636363636363636,75023.63641074316
9.999999999999999e-43,0.18181818181818182,0.34545454545454546,74597.45772873308
9.999999999999999e-43,0.18181818181818182,0.42727272727272725,74165.61656112428
9.999999999999999e-43,0.18181818181818182,0.509090909090909,73729.61522507691
9.999999999999999e-43,0.18181818181818182,0.5909090909090909,73290.51922842435
9.999999999999999e-43,0.18181818181818182,0.6727272727272727,72849.14873903159
9.999999999999999e-43,0.18181818181818182,0.7545454545454545,72406.16524723075
9.999999999999999e-43,0.18181818181818182,0.8363636363636363,71962.11827339424
9.999999999999999e-43,0.18181818181818182,0.9181818181818182,71517.47363699735
9.999999999999999e-43,0.18181818181818182,1.0,71072.63200379489
9.999999999999999e-43,0.2727272727272727,0.1,74862.02792710785
9.999999999999999e-43,0.2727272727272727,0.18181818181818182,74449.27381623532
9.999999999999999e-43,0.2727272727272727,0.2636363636363636,74021.65594694232
9.999999999999999e-43,0.2727272727272727,0.34545454545454546,73585.75482441834
9.999999999999999e-43,0.2727272727272727,0.42727272727272725,73144.18867651447
9.999999999999999e-43,0.2727272727272727,0.509090909090909,72698.51930266179
9.999999999999999e-43,0.2727272727272727,0.5909090909090909,72249.84913671858
9.999999999999999e-43,0.2727272727272727,0.6727272727272727,71799.02413605452
9.999999999999999e-43,0.2727272727272727,0.7545454545454545,71346.72501644648
9.999999999999999e-43,0.2727272727272727,0.8363636363636363,70893.51617437549
