t_s,nu_Hz,T_K,T_ideal_K,T_over_Tc,cond_frac
0.0006666666665240406,143.67002722611522,1.5680282596719257e-7,1.5680282596719257e-7,0.8187932753091639,0.4527971000633981
0.002399999999857183,143.08176755488367,1.5510120366242027e-7,1.5616079380061918e-7,0.8163320500039002,0.45721447074505034
0.0041333333331903255,142.49107933518798,1.5342875605983245e-7,1.5551611109329264e-7,0.8139530025640188,0.46147102390424855
0.005866666666523468,141.89793223857745,1.5178919039678913e-7,1.5486874474445504e-7,0.8116797969892685,0.46552253997628623
0.00759999999985661,141.30229530004453,1.5018753981561574e-7,1.542186609586045e-7,0.8095356731438501,0.4694404915527736
0.009333333333189753,140.70413689916182,1.4863776450520131e-7,1.5356582522490748e-7,0.8075098067461421,0.4733428380284013
0.011066666666522895,140.10342474049355,1.47140245206016e-7,1.5291020229582022e-7,0.8055931404433001,0.4770416991651153
0.012799999999856038,139.50012583324866,1.4568686137459164e-7,1.5225175616488134e-7,0.8037569453814808,0.4805959317631442
0.01453333333318918,138.8942064701379,1.442758268240552e-7,1.5159045004363672e-7,0.8020053123259453,0.4839999637706567
0.016266666666522323,138.28563220539715,1.4290511249792607e-7,1.5092624633765378e-7,0.8003397958204366,0.4872531845114061
0.017999999999855465,137.67436783193685,1.4156913249948177e-7,1.5025910662158211e-7,0.7987407766470414,0.49039550803135373
0.019733333333188607,137.0603773575738,1.4026633881959305e-7,1.4958899161321268e-7,0.7972077238439499,0.49327011134705484
0.02146666666652175,136.44362398030037,1.3899682464091384e-7,1.4891586114648647e-7,0.7957467395538397,0.4959882641265317
0.023199999999854892,135.8240700625433,1.377628252387686e-7,1.4823967414340018e-7,0.7943807266490579,0.4985475143358395
0.024933333333188035,135.20167710436047,1.3656482436099795e-7,1.4756038858475296e-7,0.7931222730154291,0.500926312599473
0.026666666666521177,134.57640571552218,1.3540137483571192e-7,1.468779614796758e-7,0.7919722104781975,0.5031254602184638
0.02839999999985432,133.94821558641945,1.3426863993011853e-7,1.461923488338803e-7,0.7909166014617873,0.5051734130984373
