breakpoint,time_s,H_base_W,V_base_W,H_opt_W,V_opt_W
1,0.0,4.0,1.8,4.0,1.8
2,0.5,2.0,1.7,2.0,1.7
3,0.8999999999999999,1.0,1.6,1.0,1.6
4,1.5,0.56,1.5,1.0634042553191492,2.8484042553191493
5,1.8,0.26,1.4,0.7777872340425532,4.188085106382979
6,1.9999999999999998,0.16,1.0,0.5458723404255319,3.4117021276595745
7,2.1,0.12,0.6,0.48,2.4
8,2.3000000000000003,0.099,0.09,0.2795170212765958,0.2541063829787234
9,2.4000000000000004,0.14,0.09,0.2070212765957447,0.1330851063829787
