T0_uK,K3_m6_s,value
27.692307692307693,6.885429477500488e-42,41951.892435019094
27.692307692307693,8.53167852417278e-42,38047.26115684081
27.692307692307693,1.0571532055870346e-41,34602.123768842255
27.692307692307693,1.3099097638483763e-41,31549.78855162902
27.692307692307693,1.6230983175920034e-41,28833.320585330097
27.692307692307693,2.0111676554194557e-41,26404.355747018162
27.692307692307693,2.492021151378044e-41,24223.86196663795
27.692307692307693,3.087842727671721e-41,22259.208554376255
27.692307692307693,3.8261202982015517e-41,20480.21145380754
27.692307692307693,4.740913908963265e-41,18867.666294613082
27.692307692307693,5.874427080289712e-41,17438.97503659742
27.692307692307693,7.278953843983101e-41,16190.085049478272
27.692307692307693,9.019291300867314e-41,15072.654711640922
