t_s,nu_Hz,T_K,T_ideal_K,T_over_Tc,cond_frac
0.0004000000000305981,143.8685856749666,1.5825445203973898e-7,1.5825445203973898e-7,0.8243207242811477,0.451856870385421
0.002666666666697015,143.7151782352109,1.5622219382624993e-7,1.5808570491399603e-7,0.8187173836671473,0.4575071908075369
0.004933333333363432,143.56160686702302,1.5436511006010294e-7,1.579167774681082e-7,0.8139765932827986,0.46143629085245613
0.007200000000029849,143.40787104376423,1.5270393731257228e-7,1.5774766912277653e-7,0.8101884780554229,0.4681833972402086
0.009466666666696266,143.2539702359699,1.512408574419704e-7,1.5757837929559362e-7,0.8073209906949117,0.4738066809880806
0.011733333333362683,143.09990391132828,1.49860968842622e-7,1.574089074010202e-7,0.8047803394198325,0.4787572077642615
0.0140000000000291,142.945671534659,1.4851622830426102e-7,1.5723925285036153e-7,0.8023177707228134,0.4835276161255368
0.016266666666695517,142.79127256789138,1.4720502279176386e-7,1.5706941505174364e-7,0.799930182426284,0.48812669419890353
0.018533333333361934,142.6367064700426,1.4592568363570743e-7,1.5689939341008902e-7,0.7976137332042104,0.49256440203478874
0.02080000000002835,142.48197269719535,1.4467695885631672e-7,1.5672918732709254e-7,0.7953644841777339,0.49684696039459303
0.02306666666669477,142.32707070247588,1.434626493229351e-7,1.5655879620119674e-7,0.7931793479529422,0.5009781833322692
0.025333333333361185,142.171999936031,1.4228307415415683e-7,1.5638821942756694e-7,0.791058355540834,0.5049680970098912
0.027600000000027602,142.0167598450057,1.4113708606300877e-7,1.5621745639806648e-7,0.7890028410899784,0.508816173705166
0.02986666666669402,141.86134987352003,1.4002337636249413e-7,1.5604650650123117e-7,0.7870126617926795,0.5125246145105327
0.032133333333360437,141.70576946264575,1.3894065616610803e-7,1.5587536912224385e-7,0.7850872386020554,0.5160963542047959
0.034400000000026854,141.55001805038293,1.3788748383605752e-7,1.5570404364290846e-7,0.7832246181896245,0.5195367696186158
0.03666666666669327,141.39409507163649,1.368626990109345e-7,1.555325294416243e-7,0.7814238202952343,0.5228406222199622
0.03893333333335969,141.23799995819186,1.358653037707108e-7,1.553608258933593e-7,0.7796841851881791,0.5260168265656439
0.041200000000026105,141.0817321386913,1.3489447087702935e-7,1.5518893236962386e-7,0.7780060225925352,0.5290690215408838
