T0_uK,eta_start,N0_baseline,N0_timing
20.0,5.170612111600853,1168.2669863165052,11891.981504883886
21.265822784810126,4.862837581148421,1168.2675544046706,11890.99326698117
22.531645569620256,4.589644458611993,1168.2682247005043,11889.824679547915
23.79746835443038,4.345514434217739,1168.2690117030413,11893.59688263877
25.06329113924051,4.1260440082471455,1168.2889649553254,11891.975858656713
26.32911392405063,3.927676507850648,1168.2900602623545,11890.070889267936
27.59493670886076,3.747507860701536,1168.2913436136032,11887.829580969166
28.860759493670887,3.583143480846205,1168.292849085649,11885.187283538993
30.126582278481013,3.4325912337518267,1168.3331719266703,11884.589574421729
31.392405063291136,3.2941802969069953,1168.3353156402732,11880.88169308095
32.65822784810126,3.166498890050135,1168.357351104666,11876.470426637343
33.924050632911396,3.0483459463915477,1168.3603863800956,11876.153173976027
35.18987341772152,2.9386932145069595,1168.4035229273632,11869.818349771469
36.45569620253165,2.8366552556699127,1168.407921258201,11864.611557613918
37.72151898734177,2.741465481989714,1168.4332298270133,11860.1224836587
38.9873417721519,2.6524568624445934,1168.5007481278517,11851.173376191051
40.25316455696203,2.5690462692859586,1168.5502356247264,11841.918184212862
41.51898734177215,2.490721687905289,1168.623631606374,11831.482400518993
42.78481012658227,2.4170316971388606,1168.7010188742188,11816.619217860176
44.050632911392405,2.347576763313031,1168.783112339316,11810.123688431748
45.31645569620253,2.282001993388086,1168.8940158067292,11782.089369492078
46.58227848101266,2.2199910696547143,1169.061717117864,11742.844758277304
47.848101265822784,2.161261147177076,1169.2433851099086,11694.641788048411
49.11392405063291,2.1055585402910695,1169.5236068251402,11636.715490393182
50.379746835443036,2.052655059379233,1169.893885168719,11555.979679879543
51.64556962025316,2.0023448863552322,1170.375809956142,11439.981991407094
52.911392405063296,1.9544418986433847,1170.9977110052284,11272.788756446802
54.17721518987342,1.9087773683012494,1171.926976755394,11024.075953276777
55.44303797468354,1.8651979763309015,1173.2273509938982,10640.066935817333
56.70886075949367,1.8235640929306582,1175.1611689081237,10023.433744767444
57.9746835443038,1.7837482830413425,1177.8266564890218,9005.3154102003
59.24050632911393,1.745634003489177,1182.0483498489396,7204.2844175225
60.506329113924046,1.7091144636672275,1188.1190143347687,3877.7767091499663
61.77215189873418,1.6740916262969974,1196.5936517488567,0.0
63.03797468354431,1.6404753285801903,1204.7908695383105,0.0
64.30379746835442,1.6081825071514466,1151.1652021637374,0.0
65.56962025316456,1.5771365128048935,0.0,0.0
66.83544303797468,1.5472665030926798,0.0,0.0
68.10126582278481,1.5185069026634477,0.0,0.0
69.36708860759494,1.4907969226878373,0.0,0.0
70.63291139240506,1.4640801319586645,0.0,0.0
71.89873417721519,1.4383040732974204,0.0,0.0
73.16455696202532,1.4134199197801638,0.0,0.0
74.43037974683544,1.3893821660424062,0.0,0.0
75.69620253164557,1.3661483505567473,0.0,0.0
76.9620253164557,1.3436788053173272,0.0,0.0
78.22784810126582,1.3219364298267555,0.0,0.0
79.49367088607595,1.3008864866766479,0.0,0.0
80.75949367088607,1.2804964163525623,0.0,0.0
82.0253164556962,1.2607356691866276,0.0,0.0
83.29113924050633,1.2415755526336396,0.0,0.0
84.55696202531647,1.2229890922648725,0.0,0.0
85.82278481012659,1.2049509050633256,0.0,0.0
87.08860759493672,1.1874370837688004,0.0,0.0
88.35443037974683,1.170425091164663,0.0,0.0
89.62025316455696,1.1538936633233543,0.0,0.0
90.88607594936708,1.1378227209372351,0.0,0.0
92.15189873417721,1.1221932879573282,0.0,0.0
93.41772151898734,1.1069874168467952,0.0,0.0
94.68354430379748,1.0921881198301266,0.0,0.0
95.9493670886076,1.0777793055843468,0.0,0.0
97.21518987341773,1.063745720876217,0.0,0.0
98.48101265822785,1.0500728967004302,0.0,0.0
99.74683544303797,1.0367470985189529,0.0,0.0
101.01265822784809,1.023755280241773,0.0,0.0
102.27848101265822,1.0110850416249193,0.0,0.0
103.54430379746836,0.9987245887933188,0.0,0.0
104.81012658227849,0.9866626976243174,0.0,0.0
106.07594936708861,0.9748886797529056,0.0,0.0
107.34177215189874,0.9633923509822344,0.0,0.0
108.60759493670886,0.9521640019031874,0.0,0.0
109.87341772151899,0.9411943705448558,0.0,0.0
111.13924050632912,0.9304746168940031,0.0,0.0
112.40506329113923,0.9199962991361879,0.0,0.0
113.67088607594937,0.9097513514843372,0.0,0.0
114.9367088607595,0.8997320634723952,0.0,0.0
116.20253164556962,0.8899310606023255,0.0,0.0
117.46835443037975,0.8803412862423866,0.0,0.0
118.73417721518987,0.8709559846832995,0.0,0.0
120.0,0.8617686852668089,0.0,0.0
