power_factor,final_nu_Hz
0.01,14.389564059880321
0.030204081632653063,25.008086025933128
0.05040816326530612,32.30710726028476
0.07061224489795918,38.23733767372692
0.09081632653061225,43.364026626014436
0.1110204081632653,47.94563189768971
0.13122448979591836,52.12608205990389
0.15142857142857144,55.99529662179588
0.1716326530612245,59.61390824807561
0.19183673469387755,63.0250971396082
0.2120408163265306,66.26090613856802
0.23224489795918368,69.34589025422629
0.2524489795918367,72.29935897363313
0.2726530612244898,75.13682266934994
0.29285714285714287,77.8709633540796
0.3130612244897959,80.51230804379838
0.333265306122449,83.06970903636629
0.35346938775510206,85.55069475015166
0.3736734693877551,87.96173136700244
0.39387755102040817,90.30842152273382
0.41408163265306125,92.5956576237506
0.4342857142857143,94.82774184605428
0.45448979591836736,97.00848126050107
0.4746938775510204,99.14126410993588
0.49489795918367346,101.22912161114078
0.5151020408163265,103.27477850380608
0.5353061224489796,105.28069475386869
0.5555102040816327,107.24910023260965
0.5757142857142857,109.18202376559715
0.5959183673469388,111.08131762991692
0.6161224489795918,112.94867834218142
0.6363265306122449,114.78566440149503
0.656530612244898,116.59371151541454
0.676734693877551,118.37414573202537
0.6969387755102041,120.12819481967526
0.7171428571428572,121.85699817195946
0.7373469387755102,123.56161546503021
0.7575510204081632,125.24303425410561
0.7777551020408163,126.90217666384665
0.7979591836734694,128.53990530130795
0.8181632653061225,130.1570284991029
0.8383673469387755,131.75430497924293
0.8585714285714285,133.33244801401656
0.8787755102040816,134.89212914865533
0.8989795918367347,136.4339815409071
0.9191836734693878,137.95860296462723
0.9393877551020409,139.46655851779926
0.9595918367346938,140.9583830697763
0.9797959183673469,142.43458347779466
1.0,143.8956405988032
