power_factor,tau_s,value
0.01,0.05,693.0260851061757
0.01,0.13977272727272727,4413.676443658129
0.01,0.22954545454545455,4508.335563013396
0.01,0.31931818181818183,4264.324395369431
0.01,0.4090909090909091,3845.1390587607
0.01,0.49886363636363634,3421.433259226329
0.01,0.5886363636363636,3029.302923383274
0.01,0.678409090909091,2736.290389582681
0.01,0.7681818181818182,2466.008603345407
0.01,0.8579545454545454,2256.074219155922
0.01,0.9477272727272728,2032.4719520420704
0.01,1.0375,1858.483606747347
0.01,1.1272727272727272,1700.106951483027
0.01,1.2170454545454545,1555.0474259895718
0.01,1.3068181818181819,1425.359161847653
0.01,1.396590909090909,1305.8526895829855
0.01,1.4863636363636363,1197.537110202501
0.01,1.5761363636363637,1110.2907289757077
0.01,1.665909090909091,1028.9450536510158
0.01,1.7556818181818181,944.109546740403
0.01,1.8454545454545455,875.1171300725864
0.01,1.9352272727272728,810.7138076835531
0.01,2.025,750.8518477966832
0.01,2.1147727272727272,694.8892408342494
0.01,2.2045454545454546,642.5833604903105
0.01,2.294318181818182,599.6561603645855
0.01,2.3840909090909093,553.5160605909068
0.01,2.473863636363636,510.15774545681734
0.01,2.5636363636363635,474.50673092174475
0.01,2.653409090909091,435.8449152494077
0.01,2.743181818181818,403.89932435961373
0.01,2.8329545454545455,369.11347709580696
0.01,2.922727272727273,340.6159030560066
0.01,3.0125,313.3172548268776
0.01,3.102272727272727,283.3953892800887
0.01,3.1920454545454544,258.85671172592447
0.01,3.2818181818181817,235.23502559795043
0.01,3.371590909090909,212.74959941648603
0.01,3.4613636363636364,187.68414382372202
0.01,3.5511363636363638,167.21060358149998
0.01,3.640909090909091,147.45558378913756
0.01,3.730681818181818,128.48105643937515
0.01,3.8204545454545453,110.28798471319942
0.01,3.9102272727272727,92.88145658620124
0.01,4.0,75.94466466868425
0.030204081632653063,0.05,5751.984919470473
0.030204081632653063,0.13977272727272727,6748.855815606128
0.030204081632653063,0.22954545454545455,6028.8295387300295
0.030204081632653063,0.31931818181818183,5348.0016624586515
0.030204081632653063,0.4090909090909091,4678.322885447398
0.030204081632653063,0.49886363636363634,4096.067079905594
0.030204081632653063,0.5886363636363636,3650.3656897622914
0.030204081632653063,0.678409090909091,3255.4588565222666
0.030204081632653063,0.7681818181818182,2913.921725613828
0.030204081632653063,0.8579545454545454,2615.9045770504
0.030204081632653063,0.9477272727272728,2355.7405727562636
0.030204081632653063,1.0375,2148.004082568179
0.030204081632653063,1.1272727272727272,1963.1307345996174
0.030204081632653063,1.2170454545454545,1796.145956831474
0.030204081632653063,1.3068181818181819,1648.587927931595
0.030204081632653063,1.396590909090909,1513.8569078181754
0.030204081632653063,1.4863636363636363,1403.6575400288702
0.030204081632653063,1.5761363636363637,1292.7797243929685
0.030204081632653063,1.665909090909091,1200.46965908245
0.030204081632653063,1.7556818181818181,1115.649489046662
0.030204081632653063,1.8454545454545455,1037.4590364534706
0.030204081632653063,1.9352272727272728,965.1114271029123
0.030204081632653063,2.025,898.2853992214145
0.030204081632653063,2.1147727272727272,836.1762179191237
0.030204081632653063,2.2045454545454546,778.4640219169569
0.030204081632653063,2.294318181818182,724.4643178408019
0.030204081632653063,2.3840909090909093,674.1647145520537
0.030204081632653063,2.473863636363636,631.7332082844291
0.030204081632653063,2.5636363636363635,587.3604193736155
0.030204081632653063,2.653409090909091,549.6308111174449
0.030204081632653063,2.743181818181818,510.1323427108432
0.030204081632653063,2.8329545454545455,476.5664088632593
0.030204081632653063,2.922727272727273,441.35568067325494
0.030204081632653063,3.0125,411.3880693342544
0.030204081632653063,3.102272727272727,382.7576838576465
0.030204081632653063,3.1920454545454544,355.6430512018301
0.030204081632653063,3.2818181818181817,326.7542304866138
0.030204081632653063,3.371590909090909,302.2173790708039
0.030204081632653063,3.4613636363636364,278.699600123422
0.030204081632653063,3.5511363636363638,256.26939663616804
0.030204081632653063,3.640909090909091,234.67365605300756
0.030204081632653063,3.730681818181818,214.1230120922787
0.030204081632653063,3.8204545454545453,194.37444662541793
0.030204081632653063,3.9102272727272727,175.38880627895833
0.030204081632653063,4.0,157.1041791416137
0.05040816326530612,0.05,7180.4960716099995
0.05040816326530612,0.13977272727272727,7344.589716843369
0.05040816326530612,0.22954545454545455,6377.419099782466
